,PL9AB7~1,
Wavenumbers [1/cm],Intensity,
997.136,3690.52,
994.226,3783.8073,
991.315,3793.8416,
988.404,3745.8799,
985.494,3705.6944,
982.583,3669.7191,
979.673,3622.0645,
976.762,3631.7454,
973.852,3660.5503,
970.941,3649.0113,
968.030,3602.7777,
965.120,3683.4284,
962.209,3666.3776,
959.299,3681.9145,
956.388,3677.1808,
953.477,3683.5301,
950.567,3697.0887,
947.656,3673.7309,
944.746,3698.368,
941.835,3697.8804,
938.925,3702.7644,
936.014,3673.633,
933.103,3646.384,
930.193,3647.3075,
927.282,3621.9042,
924.372,3610.9113,
921.461,3508.6132,
918.551,3456.8148,
915.640,3453.5739,
912.729,3454.5708,
909.819,3426.0543,
906.908,3415.1028,
903.998,3410.5232,
901.087,3426.0492,
898.176,3462.7001,
895.266,3510.9091,
892.355,3555.9971,
889.445,3585.3714,
886.534,3602.1974,
883.624,3635.1046,
880.713,3657.6657,
877.802,3661.6787,
874.892,3634.2769,
871.981,3541.7973,
869.071,3427.3457,
866.160,3424.059,
863.250,3495.4527,
860.339,3598.9627,
857.428,3659.6473,
854.518,3570.3927,
851.607,3532.1175,
848.697,3482.1675,
845.786,3430.3241,
842.875,3407.491,
839.965,3436.8451,
837.054,3512.2815,
834.144,3581.8967,
831.233,3566.8354,
828.323,3561.4023,
825.412,3556.6556,
822.501,3523.4786,
819.591,3501.1658,
816.680,3434.7948,
813.770,3399.7049,
810.859,3369.5479,
807.949,3332.1682,
805.038,3299.2788,
802.127,3338.7889,
799.217,3342.5,
796.306,3298.797,
793.396,3263.1641,
790.485,3256.973,
787.574,3248.7455,
784.664,3281.55,
781.753,3268.7124,
778.843,3285.4744,
775.932,3306.3273,
773.022,3301.7562,
770.111,3361.4394,
767.200,3372.3518,
764.290,3382.5903,
761.379,3376.2901,
758.469,3349.3386,
755.558,3317.6247,
752.648,3288.299,
749.737,3281.8472,
746.826,3291.2906,
743.916,3298.0324,
741.005,3281.1811,
738.095,3234.0923,
735.184,3149.8434,
732.274,3093.7828,
729.363,3117.2273,
726.452,3219.1942,
723.542,3283.9457,
720.631,3278.3255,
717.721,3273.7815,
714.810,3293.818,
711.899,3320.4109,
708.989,3285.7131,
706.078,3303.93,
703.168,3299.9989,
700.257,3272.2211,
697.347,3245.0647,
694.436,3260.1252,
691.525,3209.4855,
688.615,3206.0469,
685.704,3232.9481,
682.794,3252.9044,
679.883,3221.6081,
676.973,3224.0122,
674.062,3239.1759,
671.151,3239.6101,
668.241,3245.4626,
665.330,3297.6345,
662.420,3321.5964,
659.509,3284.5946,
656.598,3285.1667,
653.688,3300.4768,
650.777,3243.959,
647.867,3257.4966,
644.956,3261.7383,
642.046,3216.065,
639.135,3156.9979,
636.224,3181.8422,
633.314,3250.1209,
630.403,3300.0166,
627.493,3324.8044,
624.582,3325.4983,
621.672,3312.0344,
618.761,3306.1804,
615.850,3371.1695,
612.940,3432.6722,
610.029,3448.4728,
607.119,3460.3173,
604.208,3425.9993,
601.297,3448.8888,
598.387,3483.6337,
595.476,3481.4024,
592.566,3533.3489,
589.655,3468.6405,
586.745,3428.934,
583.834,3419.6187,
580.923,3384.2583,
578.013,3344.2369,
575.102,3357.0171,
572.192,3391.6497,
569.281,3414.767,
566.371,3371.7227,
563.460,3404.8898,
560.549,3431.2201,
557.639,3432.2946,
554.728,3404.7956,
551.818,3409.4775,
548.907,3414.7659,
545.996,3422.5543,
543.086,3442.4111,
540.175,3497.695,
537.265,3515.2613,
534.354,3515.9848,
531.444,3511.2213,
528.533,3514.5283,
525.622,3571.1725,
522.712,3568.9379,
519.801,3565.992,
516.891,3593.246,
513.980,3676.0957,
511.070,3692.6565,
508.159,3761.9266,
505.248,3835.5029,
502.338,3842.607,
499.427,3880.4268,
496.517,3961.7727,
493.606,4010.7796,
490.695,4003.2445,
487.785,4030.1871,
484.874,4039.0236,
481.964,4024.4736,
479.053,3994.4327,
476.143,3969.0899,
473.232,3962.4642,
470.321,3959.0403,
467.411,3944.5837,
464.500,3908.3424,
461.590,3981.0877,
458.679,4018.0088,
455.769,4026.774,
452.858,4020.0791,
449.947,4054.456,
447.037,4125.2099,
444.126,4155.0394,
441.216,4134.9708,
438.305,4131.9231,
435.395,4204.9313,
