,PL6EEA~1,
Wavenumbers [1/cm],Intensity,
676.973,1532.6372,
674.062,1536.9535,
671.151,1532.9884,
668.241,1519.407,
665.330,1503.1671,
662.420,1546.2986,
659.509,1537.3469,
656.598,1530.587,
653.688,1533.9748,
650.777,1529.2609,
647.867,1503.7784,
644.956,1509.8889,
642.046,1501.7849,
639.135,1491.2343,
636.224,1532.9022,
633.314,1488.4416,
630.403,1531.5164,
627.493,1568.3569,
624.582,1570.1267,
621.672,1583.5906,
618.761,1552.2075,
615.850,1561.9606,
612.940,1579.1496,
610.029,1582.8348,
607.119,1593.1,
604.208,1613.2954,
601.297,1629.5998,
598.387,1626.9463,
595.476,1598.605,
592.566,1593.0956,
589.655,1581.7588,
586.745,1563.1059,
583.834,1543.9292,
580.923,1536.144,
578.013,1539.2829,
575.102,1526.9325,
572.192,1532.8455,
569.281,1558.5942,
566.371,1544.507,
563.460,1576.9875,
560.549,1580.8921,
557.639,1571.1993,
554.728,1575.948,
551.818,1604.8197,
548.907,1606.8591,
545.996,1603.3474,
543.086,1601.1184,
540.175,1596.4465,
537.265,1614.232,
534.354,1623.1318,
531.444,1629.3049,
528.533,1642.2219,
525.622,1671.7079,
522.712,1659.9224,
519.801,1659.5814,
516.891,1678.751,
513.980,1681.8482,
511.070,1727.2032,
508.159,1770.0033,
505.248,1782.8558,
502.338,1744.6838,
499.427,1797.9403,
496.517,1818.3472,
493.606,1831.5373,
490.695,1848.6599,
487.785,1852.5089,
484.874,1882.2051,
481.964,1884.8361,
479.053,1863.7348,
476.143,1853.7513,
473.232,1840.8951,
470.321,1832.719,
467.411,1821.5272,
464.500,1799.6098,
461.590,1818.7533,
458.679,1841.7344,
455.769,1861.166,
452.858,1873.7952,
449.947,1889.8378,
447.037,1911.3278,
444.126,1919.7977,
441.216,1915.051,
438.305,1920.3845,
435.395,1915.8799,
432.484,1929.3783,
429.573,1958.3376,
426.663,1984.9425,
423.752,1990.6121,
420.842,1936.4093,
417.931,1853.9648,
415.020,1797.088,
412.110,1798.0515,
409.199,1865.1396,
406.289,1956.7551,
403.378,2026.0328,
400.468,1998.817,
397.557,1972.1298,
394.646,1962.936,
391.736,1984.6803,
388.825,2002.0277,
385.915,1989.5626,
383.004,1975.5527,
380.094,1980.8525,
377.183,2014.7139,
374.272,2049.6357,
371.362,2082.8981,
368.451,2111.8545,
365.541,2123.863,
362.630,2124.94,
359.719,2132.596,
356.809,2154.6719,
353.898,2147.1839,
350.988,2163.0271,
348.077,2176.673,
345.167,2173.5034,
342.256,2180.9741,
339.345,2151.7705,
336.435,2130.232,
333.524,2145.3264,
330.614,2119.9911,
327.703,2141.9025,
324.793,2167.2893,
321.882,2159.1593,
318.971,2173.2847,
316.061,2188.3796,
313.150,2193.1203,
310.240,2173.8252,
307.329,2184.5592,
304.418,2200.0679,
301.508,2199.3403,
298.597,2147.5112,
295.687,2179.0187,
292.776,2219.0418,
289.866,2259.8437,
286.955,2301.2123,
284.044,2344.4425,
281.134,2405.7458,
278.223,2476.8973,
275.313,2502.6873,
272.402,2493.6024,
269.492,2494.2148,
266.581,2518.1776,
263.670,2518.9127,
260.760,2551.5128,
257.849,2578.5587,
254.939,2571.2199,
252.028,2618.8988,
249.117,2632.0999,
246.207,2623.2838,
243.296,2612.3033,
240.386,2582.3934,
237.475,2571.3511,
234.565,2573.7537,
231.654,2545.9991,
228.743,2532.6452,
225.833,2493.5864,
222.922,2417.5327,
220.012,2426.2753,
217.101,2431.0879,
214.191,2423.9455,
211.280,2393.392,
208.369,2382.3784,
205.459,2381.7183,
202.548,2397.5289,
199.638,2457.7578,
196.727,2425.7564,
193.816,2392.523,
190.906,2391.4297,
187.995,2400.118,
185.085,2442.372,
182.174,2483.3826,
179.264,2473.2639,
176.353,2504.8047,
173.442,2511.5231,
170.532,2485.8326,
167.621,2440.4111,
164.711,2386.0796,
161.800,2315.6841,
158.890,2220.68,
155.979,2046.3165,
153.068,1892.2469,
150.158,1738.2284,
147.247,1491.9708,
144.337,1206.82,
141.426,925.45119,
138.516,668.08723,
135.605,492.38705,
132.694,343.56682,
129.784,221.26126,
126.873,134.73055,
123.963,97.207545,
121.052,70.793431,
118.141,42.237351,
115.231,40.703859,
112.320,39.701364,
