,PLCF80~1,
Wavenumbers [1/cm],Intensity,
607.119,3136.1654,
604.208,3146.8152,
601.297,3116.4773,
598.387,3104.2323,
595.476,3159.8007,
592.566,3159.0137,
589.655,3142.6777,
586.745,3125.6296,
583.834,3118.1688,
580.923,3129.5006,
578.013,3067.5066,
575.102,3050.3014,
572.192,3065.9528,
569.281,3090.0946,
566.371,3063.4854,
563.460,3106.7304,
560.549,3103.4602,
557.639,3080.1436,
554.728,3082.5995,
551.818,3109.9106,
548.907,3162.1904,
545.996,3183.3216,
543.086,3162.4934,
540.175,3128.233,
537.265,3124.4264,
534.354,3142.4376,
531.444,3166.7268,
528.533,3183.3097,
525.622,3203.4844,
522.712,3200.594,
519.801,3234.063,
516.891,3293.9969,
513.980,3284.7054,
511.070,3319.7967,
508.159,3387.8849,
505.248,3439.3656,
502.338,3422.089,
499.427,3497.7286,
496.517,3524.6629,
493.606,3540.9792,
490.695,3565.5496,
487.785,3584.7944,
484.874,3584.6439,
481.964,3586.6125,
479.053,3595.3683,
476.143,3609.9596,
473.232,3571.3078,
470.321,3574.8515,
467.411,3573.8544,
464.500,3512.6507,
461.590,3543.2803,
458.679,3549.1235,
455.769,3552.8612,
452.858,3575.8964,
449.947,3672.1517,
447.037,3674.2789,
444.126,3669.8992,
441.216,3687.6957,
438.305,3721.2207,
435.395,3707.5172,
432.484,3737.0497,
429.573,3792.23,
426.663,3793.7503,
423.752,3755.517,
420.842,3645.7111,
417.931,3537.4606,
415.020,3546.5609,
412.110,3701.2454,
409.199,3788.6818,
406.289,3827.0245,
403.378,3845.7188,
400.468,3799.6031,
397.557,3785.9033,
394.646,3810.3081,
391.736,3874.5269,
388.825,3894.8912,
385.915,3892.3599,
383.004,3894.2979,
380.094,3918.3741,
377.183,3928.1563,
374.272,3962.3563,
371.362,4009.7722,
368.451,4058.5529,
365.541,4036.7873,
362.630,4080.5829,
359.719,4124.8347,
356.809,4131.8297,
353.898,4131.0809,
350.988,4111.3455,
348.077,4076.5792,
345.167,4038.1188,
342.256,4161.3851,
339.345,4130.9774,
336.435,4084.8115,
333.524,4115.4522,
330.614,4102.0394,
327.703,4106.0895,
324.793,4108.4614,
321.882,4092.9327,
318.971,4116.7229,
316.061,4155.6388,
313.150,4194.1107,
310.240,4214.1478,
307.329,4189.8627,
304.418,4230.4858,
301.508,4273.3488,
298.597,4207.4517,
295.687,4236.4143,
292.776,4266.2084,
289.866,4295.929,
286.955,4348.3785,
284.044,4455.1774,
281.134,4548.4226,
278.223,4623.8565,
