,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_CTR_0mgL_16h_785nm_133mW_3s_1acc_0_RamanShift__2__12-58-50-746,
Raman shift [1/cm],Intensity,
985.494,3289.494,
982.583,3227.822,
979.673,3169.8547,
976.762,3147.1782,
973.852,3119.5644,
970.941,3100.7302,
968.030,3119.5569,
965.120,3066.9538,
962.209,3085.7097,
959.299,3085.3338,
956.388,3093.3944,
953.477,3123.0705,
950.567,3148.6008,
947.656,3132.5462,
944.746,3145.2895,
941.835,3119.961,
938.925,3126.378,
936.014,3152.0964,
933.103,3169.1095,
930.193,3161.0808,
927.282,3139.7669,
924.372,3100.869,
921.461,3054.6366,
918.551,3018.9614,
915.640,2984.7525,
912.729,2961.0219,
909.819,2957.8674,
906.908,2889.631,
903.998,2946.3227,
901.087,3003.2479,
898.176,3029.261,
895.266,3043.6188,
892.355,3072.0162,
889.445,3088.8015,
886.534,3120.6001,
883.624,3153.1155,
880.713,3202.6206,
877.802,3214.9472,
874.892,3174.4489,
871.981,3184.8689,
869.071,3142.2628,
866.160,3121.7658,
863.250,3119.0202,
860.339,3130.1084,
857.428,3131.2921,
854.518,3074.3564,
851.607,3090.9978,
848.697,3086.9968,
845.786,3075.0526,
842.875,3090.6443,
839.965,3133.2584,
837.054,3126.0146,
834.144,3138.4458,
831.233,3098.878,
828.323,3074.9076,
825.412,3079.9241,
822.501,3086.0024,
819.591,3025.6752,
816.680,3013.4583,
813.770,2956.9958,
810.859,2937.0585,
807.949,2948.0164,
805.038,2939.7666,
802.127,2955.406,
799.217,2961.3473,
796.306,2961.1723,
793.396,2939.6305,
790.485,2895.0296,
787.574,2849.7085,
784.664,2924.3387,
781.753,2894.261,
778.843,2894.9287,
775.932,2917.875,
773.022,2922.4397,
770.111,2951.8725,
767.200,2911.2415,
764.290,2898.4529,
761.379,2887.8467,
758.469,2873.1769,
755.558,2879.152,
752.648,2787.9164,
749.737,2757.472,
746.826,2686.0703,
743.916,2555.4716,
741.005,2355.2188,
738.095,1871.3403,
735.184,1418.447,
732.274,1320.3014,
729.363,1642.5231,
726.452,2233.5387,
723.542,2569.4369,
720.631,2737.7246,
717.721,2786.1664,
714.810,2823.6589,
711.899,2881.875,
708.989,2881.875,
706.078,2853.8294,
703.168,2847.4822,
700.257,2834.6727,
697.347,2808.2671,
694.436,2780.0676,
691.525,2750.3268,
688.615,2769.0314,
685.704,2783.0116,
682.794,2782.3431,
679.883,2783.6587,
676.973,2778.8505,
674.062,2767.6657,
671.151,2768.45,
668.241,2778.3045,
665.330,2782.1187,
662.420,2766.144,
659.509,2787.0024,
656.598,2789.1908,
653.688,2782.6166,
650.777,2810.7949,
647.867,2778.9418,
644.956,2776.8282,
642.046,2794.3859,
639.135,2812.7789,
636.224,2805.054,
633.314,2840.7813,
630.403,2852.8311,
627.493,2852.9546,
624.582,2862.5881,
621.672,2919.6117,
618.761,2946.1931,
615.850,2928.5296,
612.940,2922.561,
610.029,2948.7706,
607.119,2936.1365,
604.208,2922.0948,
601.297,2924.3528,
598.387,2940.1873,
595.476,2958.4238,
592.566,2932.4505,
589.655,2928.5229,
586.745,2902.8369,
583.834,2844.5012,
580.923,2757.5717,
578.013,2707.3487,
575.102,2714.5242,
572.192,2767.3899,
569.281,2843.7328,
566.371,2893.0381,
563.460,2919.039,
560.549,2948.3407,
557.639,2977.9319,
554.728,2999.2837,
551.818,2989.92,
548.907,3040.8939,
545.996,3072.1535,
543.086,3066.5329,
540.175,3060.3037,
537.265,3088.1219,
534.354,3087.3361,
531.444,3086.7427,
528.533,3119.5103,
525.622,3184.6899,
522.712,3182.4927,
519.801,3190.969,
516.891,3224.6921,
513.980,3238.6294,
511.070,3284.2489,
508.159,3322.4552,
505.248,3356.1428,
502.338,3394.5016,
499.427,3450.0735,
496.517,3465.4407,
493.606,3469.2399,
490.695,3478.2287,
487.785,3495.1641,
484.874,3484.9505,
481.964,3518.5723,
479.053,3560.0632,
476.143,3494.0184,
473.232,3503.5437,
470.321,3503.5227,
467.411,3495.5957,
464.500,3487.692,
461.590,3440.9819,
458.679,3425.6738,
455.769,3441.8337,
452.858,3486.0448,
449.947,3535.7003,
447.037,3490.6598,
444.126,3469.2932,
441.216,3492.4198,
438.305,3484.0386,
435.395,3499.9216,
432.484,3505.541,
429.573,3497.1475,
426.663,3481.1845,
423.752,3441.517,
420.842,3428.0718,
417.931,3442.8639,
415.020,3481.5402,
412.110,3509.9447,
409.199,3596.6475,
406.289,3670.2336,
403.378,3649.7623,
400.468,3616.4985,
397.557,3602.276,
394.646,3568.1696,
391.736,3481.1325,
388.825,3364.2267,
385.915,3271.3337,
383.004,3262.992,
380.094,3377.5547,
377.183,3508.4856,
374.272,3665.3723,
371.362,3794.8361,
368.451,3861.8294,
365.541,3861.0789,
362.630,3870.7073,
359.719,3875.9153,
356.809,3871.4123,
353.898,3913.345,
350.988,3942.7771,
348.077,3948.0011,
345.167,3922.929,
342.256,3904.2523,
339.345,3943.5153,
336.435,3977.6007,
333.524,3964.3213,
330.614,3978.4792,
327.703,4013.1659,
324.793,4049.8665,
321.882,4072.8714,
318.971,4071.3845,
316.061,4122.148,
313.150,4196.4297,
310.240,4262.478,
307.329,4314.8996,
304.418,4319.3726,
301.508,4273.5026,
298.597,4170.5847,
295.687,4153.0709,
292.776,4229.7088,
289.866,4430.9958,
286.955,4849.1145,
284.044,5215.6372,
281.134,5527.5489,
278.223,5786.0237,
275.313,5998.9748,
272.402,6169.931,
269.492,6326.7804,
266.581,6487.2677,
263.670,6744.5808,
260.760,6865.8895,
257.849,6965.0764,
254.939,7125.7966,
252.028,7102.5404,
249.117,7047.1923,
246.207,6985.488,
243.296,6956.9385,
240.386,6855.2732,
237.475,6764.4563,
234.565,6682.744,
231.654,6554.9269,
228.743,6414.5275,
225.833,6264.7125,
222.922,6107.5559,
220.012,5972.0446,
217.101,5861.1377,
214.191,5777.2315,
211.280,5728.4915,
208.369,5635.3908,
205.459,5602.2555,
202.548,5611.2315,
199.638,5572.7721,
196.727,5588.4999,
193.816,5587.5126,
190.906,5546.094,
187.995,5580.8471,
185.085,5614.6264,
182.174,5652.7827,
179.264,5704.0991,
176.353,5731.0207,
173.442,5720.759,
170.532,5678.5987,
167.621,5650.4807,
164.711,5567.1932,
161.800,5443.8237,
158.890,5282.6047,
155.979,4907.8694,
153.068,4517.2949,
150.158,4086.5383,
147.247,3479.1507,
144.337,2878.8038,
141.426,2282.5679,
138.516,1689.6989,
135.605,1209.2615,
132.694,833.75354,
129.784,554.17193,
126.873,376.10461,
123.963,254.51448,
121.052,170.61133,
118.141,122.066,
115.231,94.162756,
112.320,77.791369,
109.410,68.01154,
106.499,53.05628,
103.589,48.754491,
100.678,44.343918,
97.767,35.101729,
94.857,32.796033,
91.946,33.487443,
89.036,34.746021,
86.125,27.653968,
83.215,28.529602,
80.304,29.677837,
77.393,26.136987,
74.483,24.56473,
71.572,23.875,
68.662,23.528663,
65.751,19.996407,
62.840,21.28351,
59.930,24.249572,
57.019,25.659736,
54.109,18.111909,
51.198,13.779828,
48.288,15.903312,
45.377,19.420203,
42.466,19.638342,
39.556,17.990119,
36.645,18.692309,
33.735,19.394248,
30.824,18.549678,
27.914,14.342627,
25.003,17.610825,
22.092,19.552095,
19.182,19.35554,
16.271,34.044833,
13.361,125.43097,
10.450,317.39265,
7.539,750.34818,
4.629,1213.976,
1.718,1418.2197,
-1.192,1011.7844,
-4.103,611.68038,
-7.013,268.91432,
-9.924,-1.125,
