,Pliquid_AuCOFNPs-citrate13new_1E-1mgmL_100uL_ctr_1E-2mgL_16h_785nm_133mW_3s_1acc_1_RamanShift__4__49,
Raman shift [1/cm],Intensity,
365.541,5849.3363,
362.630,5850.2825,
359.719,5868.6129,
356.809,5914.5562,
353.898,5917.5514,
350.988,5925.4273,
348.077,5933.4079,
345.167,5938.6777,
342.256,5944.6543,
339.345,5983.0438,
336.435,6035.3617,
333.524,6087.7038,
330.614,6098.136,
327.703,6151.6887,
324.793,6192.4146,
321.882,6172.3624,
318.971,6167.1583,
316.061,6203.9518,
313.150,6263.775,
310.240,6326.1127,
307.329,6351.958,
304.418,6373.2298,
301.508,6370.8334,
298.597,6308.6384,
295.687,6376.517,
292.776,6444.7085,
289.866,6550.3817,
286.955,6830.3587,
284.044,6945.0099,
281.134,7083.9093,
278.223,7267.8234,
275.313,7414.4576,
272.402,7584.7918,
269.492,7743.9928,
266.581,7877.2591,
263.670,7973.5677,
260.760,8114.7322,
257.849,8238.3919,
254.939,8295.6348,
252.028,8443.3155,
249.117,8524.0437,
246.207,8572.3161,
243.296,8645.5198,
240.386,8652.069,
237.475,8594.1311,
234.565,8509.3921,
231.654,8553.9455,
228.743,8508.1397,
225.833,8468.2897,
222.922,8465.4148,
220.012,8359.0458,
217.101,8308.6721,
214.191,8279.4799,
211.280,8236.5596,
208.369,8267.0157,
205.459,8257.0245,
202.548,8231.4141,
199.638,8312.6868,
196.727,8266.5675,
193.816,8230.0077,
190.906,8253.7971,
187.995,8294.3425,
185.085,8324.925,
182.174,8340.6326,
179.264,8330.5139,
176.353,8346.0353,
173.442,8358.638,
170.532,8351.6899,
167.621,8242.8226,
164.711,8092.4944,
161.800,7898.0947,
158.890,7648.3492,
155.979,7171.4557,
153.068,6567.4909,
150.158,5855.7913,
147.247,5058.8643,
144.337,4224.4759,
141.426,3349.3587,
138.516,2426.0027,
135.605,1753.4488,
132.694,1201.9284,
129.784,772.64441,
126.873,512.33715,
123.963,351.82074,
121.052,246.29542,
118.141,185.61375,
115.231,149.13591,
112.320,121.24229,
109.410,99.011632,
106.499,76.222664,
103.589,70.814746,
100.678,66.029053,
97.767,54.654052,
94.857,56.453967,
91.946,50.119004,
89.036,39.713694,
86.125,41.84131,
83.215,40.782239,
80.304,36.980673,
77.393,29.898974,
74.483,37.236619,
71.572,36.664423,
68.662,28.167198,
65.751,26.047844,
62.840,25.856702,
59.930,26.749572,
57.019,28.159736,
54.109,22.403392,
51.198,18.676609,
48.288,19.369338,
45.377,18.665959,
42.466,19.199439,
39.556,19.684289,
36.645,15.471147,
33.735,11.259509,
30.824,9.2585479,
27.914,12.063249,
25.003,18.601375,
22.092,20.437573,
19.182,16.146171,
16.271,9.15127,
13.361,28.290815,
10.450,55.730825,
7.539,40.367887,
4.629,-214.04261,
1.718,-525.59914,
-1.192,-776.57118,
-4.103,-558.26517,
-7.013,-275.6241,
-9.924,1.375,
