,PL6C8D~1,
Wavenumbers [1/cm],Intensity,
420.842,1929.405,
417.931,1731.1789,
415.020,1697.0528,
412.110,1856.0983,
409.199,2004.3615,
406.289,2137.9697,
403.378,2260.6573,
400.468,2196.3978,
397.557,2169.1911,
394.646,2192.2337,
391.736,2273.203,
388.825,2314.6857,
385.915,2315.6989,
383.004,2303.0196,
380.094,2298.4087,
377.183,2348.0721,
374.272,2407.4686,
371.362,2425.5664,
368.451,2379.7472,
365.541,2427.031,
362.630,2436.0513,
359.719,2462.4718,
356.809,2530.6549,
353.898,2493.9637,
350.988,2486.0449,
348.077,2488.1654,
345.167,2489.8967,
342.256,2510.0676,
339.345,2491.9605,
336.435,2479.4804,
333.524,2500.818,
330.614,2467.286,
327.703,2500.5144,
324.793,2538.0081,
321.882,2526.8786,
318.971,2528.3655,
316.061,2527.8984,
313.150,2531.2631,
310.240,2545.3633,
307.329,2563.7409,
304.418,2564.9476,
301.508,2552.9519,
298.597,2534.4415,
295.687,2574.1867,
292.776,2598.0417,
289.866,2611.9709,
286.955,2650.3846,
284.044,2686.235,
281.134,2759.4182,
278.223,2861.8508,
275.313,2916.3781,
272.402,2938.9122,
269.492,2944.9739,
266.581,2937.8271,
263.670,2895.1866,
260.760,2918.9194,
257.849,2970.8654,
254.939,3025.1727,
252.028,3054.105,
249.117,3074.9252,
246.207,3095.0197,
243.296,3126.4972,
240.386,3072.4117,
237.475,3036.4964,
234.565,3021.5481,
231.654,2981.377,
228.743,2980.3548,
225.833,2961.4833,
222.922,2906.5205,
220.012,2920.3631,
217.101,2913.0978,
214.191,2885.7943,
211.280,2835.5994,
208.369,2823.1284,
205.459,2844.0278,
202.548,2885.5101,
199.638,2906.5539,
196.727,2871.6923,
193.816,2866.3548,
190.906,2920.2655,
187.995,2902.8889,
185.085,2920.0449,
182.174,2946.8544,
179.264,2950.4682,
176.353,2964.9721,
173.442,2963.0859,
170.532,2942.7667,
167.621,2916.0906,
164.711,2848.4347,
161.800,2743.0017,
158.890,2594.0181,
155.979,2433.4995,
153.068,2268.8346,
150.158,2087.4898,
147.247,1838.3604,
144.337,1503.4977,
141.426,1169.7332,
138.516,877.24155,
135.605,627.51104,
132.694,428.82132,
129.784,278.61756,
126.873,184.93556,
123.963,121.48753,
121.052,79.659613,
118.141,58.956455,
115.231,56.032719,
112.320,50.215005,
109.410,41.966026,
106.499,31.995853,
103.589,22.031437,
100.678,14.516891,
97.767,10.962204,
94.857,16.418912,
91.946,14.44078,
89.036,7.9878979,
86.125,8.6971032,
83.215,8.875,
80.304,8.1567019,
77.393,6.0321921,
74.483,13.736619,
71.572,14.251479,
68.662,8.3598725,
65.751,13.30503,
62.840,12.948192,
59.930,9.5639966,
57.019,4.6284227,
54.109,12.235252,
51.198,16.065344,
48.288,11.824038,
45.377,5.4936354,
42.466,7.8216321,
39.556,14.184289,
36.645,9.9711472,
33.735,7.8365031,
30.824,6.875,
27.914,6.875,
25.003,7.4976375,
22.092,11.749855,
19.182,20.172477,
16.271,29.265849,
13.361,134.02491,
10.450,315.54236,
7.539,563.44432,
4.629,713.58495,
1.718,696.58824,
-1.192,379.38747,
-4.103,180.88093,
-7.013,54.55321,
-9.924,-1.125,
