,PL3EDD~1,
Wavenumbers [1/cm],Intensity,
839.965,1735.1982,
837.054,1792.9041,
834.144,1817.7667,
831.233,1837.9572,
828.323,1820.4018,
825.412,1797.2007,
822.501,1799.0504,
819.591,1779.2169,
816.680,1742.5672,
813.770,1702.2999,
810.859,1694.906,
807.949,1702.8372,
805.038,1689.9148,
802.127,1708.8468,
799.217,1687.5179,
796.306,1689.2737,
793.396,1677.9378,
790.485,1650.9414,
787.574,1660.1543,
784.664,1674.0962,
781.753,1688.0317,
778.843,1692.1548,
775.932,1694.6373,
773.022,1702.2302,
770.111,1693.2369,
767.200,1702.5221,
764.290,1702.7356,
761.379,1705.3514,
758.469,1711.3694,
755.558,1706.3332,
752.648,1696.558,
749.737,1689.4027,
746.826,1686.625,
743.916,1682.9951,
741.005,1664.4545,
738.095,1583.2668,
735.184,1522.8558,
732.274,1465.8122,
729.363,1470.9553,
726.452,1561.5351,
723.542,1644.0932,
720.631,1648.625,
717.721,1655.4991,
714.810,1680.801,
711.899,1705.1596,
708.989,1668.848,
706.078,1687.8563,
703.168,1687.7672,
700.257,1674.7233,
697.347,1662.7987,
694.436,1670.1449,
691.525,1652.4612,
688.615,1634.789,
685.704,1635.6906,
682.794,1653.242,
679.883,1671.4087,
676.973,1666.6005,
674.062,1661.1584,
671.151,1655.5567,
668.241,1659.9637,
665.330,1686.0956,
662.420,1674.9133,
659.509,1688.4983,
656.598,1695.0285,
653.688,1685.4139,
650.777,1663.7339,
647.867,1637.4551,
644.956,1632.8633,
642.046,1612.4805,
639.135,1599.3937,
636.224,1662.5375,
633.314,1645.0708,
630.403,1683.7834,
627.493,1715.9294,
624.582,1711.8559,
621.672,1677.0081,
618.761,1713.622,
615.850,1728.9309,
612.940,1734.0157,
610.029,1736.3891,
607.119,1722.9654,
604.208,1769.1959,
601.297,1787.1294,
598.387,1777.5993,
595.476,1758.6649,
592.566,1769.6839,
589.655,1745.0615,
586.745,1733.2288,
583.834,1734.2096,
580.923,1725.5113,
578.013,1706.6777,
575.102,1678.6815,
572.192,1670.1998,
569.281,1687.5934,
566.371,1698.5501,
