,PLA9BE~1,
Wavenumbers [1/cm],Intensity,
444.126,1091.5455,
441.216,1098.8834,
438.305,1086.6925,
435.395,1100.0796,
432.484,1113.4178,
429.573,1113.8999,
426.663,1083.4943,
423.752,988.94069,
420.842,811.9942,
417.931,630.46968,
415.020,565.25089,
412.110,731.27102,
409.199,875.6405,
406.289,965.19773,
403.378,975.07428,
400.468,996.99812,
397.557,1000.9151,
394.646,1010.3899,
391.736,1045.497,
388.825,1092.2593,
385.915,1087.9054,
383.004,1071.4289,
380.094,1071.4588,
377.183,1100.0529,
374.272,1135.6818,
371.362,1171.0674,
368.451,1199.4529,
365.541,1190.4465,
362.630,1197.2861,
359.719,1198.1927,
356.809,1183.6764,
353.898,1211.382,
350.988,1221.7124,
348.077,1225.7425,
345.167,1229.1296,
342.256,1211.9471,
339.345,1194.2456,
336.435,1198.5452,
333.524,1238.2719,
330.614,1215.172,
327.703,1217.7547,
324.793,1229.0623,
321.882,1234.9676,
318.971,1221.5856,
316.061,1218.9533,
313.150,1224.4643,
310.240,1235.596,
307.329,1229.5683,
304.418,1237.9429,
301.508,1248.0461,
298.597,1236.9399,
295.687,1221.778,
292.776,1222.0834,
289.866,1232.3114,
286.955,1233.7888,
284.044,1282.07,
281.134,1335.1796,
278.223,1386.5147,
275.313,1444.7263,
272.402,1429.1166,
269.492,1391.2562,
266.581,1349.1638,
263.670,1295.4956,
260.760,1345.2979,
257.849,1406.2831,
254.939,1409.9525,
252.028,1432.4392,
249.117,1440.0863,
246.207,1451.5011,
243.296,1499.8155,
240.386,1482.7983,
237.475,1464.853,
234.565,1456.0353,
231.654,1462.6088,
228.743,1450.7665,
225.833,1432.4629,
222.922,1413.7134,
220.012,1429.0131,
217.101,1428.1114,
214.191,1418.0659,
211.280,1404.9716,
208.369,1400.6359,
205.459,1372.2502,
202.548,1347.7939,
199.638,1439.2257,
196.727,1404.9881,
193.816,1402.1227,
190.906,1483.0034,
187.995,1397.5685,
185.085,1411.0299,
182.174,1464.2889,
179.264,1483.8035,
176.353,1460.3688,
173.442,1441.2867,
170.532,1431.4879,
167.621,1418.5103,
164.711,1372.429,
161.800,1316.0592,
158.890,1263.5191,
155.979,1122.6882,
153.068,1044.0666,
150.158,997.44836,
147.247,853.13996,
144.337,684.37837,
141.426,528.72453,
138.516,405.41923,
135.605,301.34835,
132.694,208.98981,
129.784,133.6134,
126.873,95.711522,
123.963,61.822774,
121.052,37.184083,
118.141,25.047749,
115.231,20.026008,
112.320,22.659995,
109.410,27.091026,
106.499,17.120853,
103.589,13.879491,
100.678,13.271622,
97.767,13.982559,
94.857,12.614022,
91.946,11.596889,
89.036,10.548408,
86.125,7.7115873,
83.215,4.3453982,
80.304,1.0422693,
77.393,-1.7904105,
74.483,9.1372943,
71.572,12.101183,
68.662,7.138535,
65.751,8.5514372,
62.840,11.40851,
59.930,11.752566,
57.019,3.2915818,
54.109,5.5829651,
51.198,7.0951722,
48.288,4.9716878,
45.377,1.4547975,
42.466,2.8855354,
39.556,6.8848814,
36.645,6.1826912,
33.735,4.9615031,
30.824,5.5462088,
27.914,10.454436,
25.003,12.867912,
22.092,14.322905,
19.182,15.32036,
16.271,25.113222,
13.361,149.95844,
10.450,365.2778,
7.539,651.5871,
4.629,634.09415,
1.718,422.27557,
-1.192,12.35458,
-4.103,-105.6283,
-7.013,-101.7886,
-9.924,4,
