,PL6A3E~1,
Wavenumbers [1/cm],Intensity,
71.572,7.5379437,
68.662,5.8328025,
65.751,7.9521557,
62.840,8.625,
59.930,8.2504276,
57.019,6.8402636,
54.109,7.2221608,
51.198,6.1169536,
48.288,2.5966878,
45.377,-0.92020254,
42.466,1.3349741,
39.556,6.1645257,
36.645,3.3557648,
33.735,4.1827454,
30.824,5.1832261,
27.914,3.7808756,
25.003,7.9834623,
22.092,14.822759,
19.182,23.808063,
16.271,29.403984,
13.361,158.90531,
10.450,391.55646,
7.539,728.14447,
4.629,828.0168,
1.718,702.9959,
-1.192,257.52054,
-4.103,71.799069,
-7.013,-6.8146644,
-9.924,3.625,
