,PL9DE3~1,
Wavenumbers [1/cm],Intensity,
22.092,10.30195,
19.182,18.024594,
16.271,26.418476,
13.361,159.55906,
10.450,385.34514,
7.539,661.87803,
4.629,886.58219,
1.718,925.62109,
-1.192,586.1117,
-4.103,274.16009,
-7.013,70.347763,
-9.924,0.75,
