,PL680D~1,
Wavenumbers [1/cm],Intensity,
901.087,1391.1527,
898.176,1392.4223,
895.266,1399.5537,
892.355,1445.4874,
889.445,1464.7905,
886.534,1456.5263,
883.624,1470.3501,
880.713,1477.3646,
877.802,1457.0737,
874.892,1412.8888,
871.981,1379.0933,
869.071,1261.3001,
866.160,1255.3642,
863.250,1337.3602,
860.339,1433.797,
857.428,1478.1357,
854.518,1453.0084,
851.607,1423.0539,
848.697,1355.2836,
845.786,1308.7112,
842.875,1309.0029,
839.965,1350.0355,
837.054,1392.2378,
834.144,1424.5592,
831.233,1426.8753,
828.323,1417.4564,
825.412,1407.2993,
822.501,1403.3644,
819.591,1411.6284,
816.680,1370.2083,
813.770,1364.887,
810.859,1364.7163,
807.949,1360.3238,
805.038,1357.3816,
802.127,1345.0347,
799.217,1313.314,
796.306,1333.5239,
793.396,1342.8596,
790.485,1318.9798,
787.574,1312.9648,
784.664,1341.6687,
781.753,1340.1652,
778.843,1358.4386,
775.932,1362.9741,
773.022,1329.7221,
770.111,1373.8713,
767.200,1359.3648,
764.290,1350.9856,
761.379,1351.6321,
758.469,1353.9916,
755.558,1346.097,
752.648,1320.0297,
749.737,1316.8334,
746.826,1307.6181,
743.916,1292.2451,
741.005,1275.2635,
738.095,1207.8777,
735.184,1159.1166,
732.274,1129.7276,
729.363,1151.498,
726.452,1228.6921,
723.542,1288.5872,
720.631,1294.1686,
717.721,1310.9147,
714.810,1322.875,
711.899,1326.6374,
708.989,1342.7759,
706.078,1335.6633,
703.168,1350.8772,
700.257,1352.7984,
697.347,1337.7013,
694.436,1329.9405,
691.525,1332.3519,
688.615,1333.5039,
685.704,1330.4215,
682.794,1329.8537,
679.883,1341.3251,
676.973,1306.8662,
674.062,1336.2457,
671.151,1348.9851,
668.241,1340.3045,
665.330,1345.2153,
662.420,1352.4039,
659.509,1345.6209,
656.598,1335.2493,
653.688,1326.0347,
650.777,1320.037,
647.867,1324.815,
644.956,1301.109,
642.046,1265.1451,
639.135,1241.5344,
636.224,1262.8631,
633.314,1260.4812,
630.403,1319.5873,
627.493,1362.0272,
624.582,1365.2876,
621.672,1371.6235,
618.761,1359.716,
615.850,1368.5477,
612.940,1385.7057,
610.029,1398.3489,
607.119,1395.1904,
604.208,1392.745,
601.297,1402.8424,
598.387,1415.0215,
595.476,1418.9149,
592.566,1429.9339,
589.655,1382.6354,
586.745,1363.6864,
583.834,1375.1925,
580.923,1379.6096,
578.013,1335.6645,
575.102,1316.4184,
572.192,1331.9548,
569.281,1364.5322,
566.371,1334.7925,
563.460,1394.6617,
560.549,1403.333,
557.639,1387.5606,
554.728,1393.9388,
551.818,1379.1128,
548.907,1399.6421,
545.996,1410.9871,
543.086,1403.1974,
540.175,1395.4109,
537.265,1432.5375,
534.354,1459.4173,
531.444,1456.2702,
528.533,1417.0338,
525.622,1433.3287,
522.712,1442.9425,
519.801,1445.3475,
516.891,1450.5437,
513.980,1488.4842,
511.070,1503.8489,
508.159,1544.2149,
505.248,1577.6174,
502.338,1562.7109,
499.427,1591.2687,
496.517,1621.5012,
493.606,1638.202,
490.695,1639.9775,
487.785,1662.3015,
484.874,1644.5496,
481.964,1631.2139,
479.053,1634.7585,
476.143,1659.3333,
473.232,1605.4809,
470.321,1593.6065,
467.411,1591.7185,
464.500,1556.515,
461.590,1581.7844,
458.679,1618.5909,
455.769,1633.4231,
452.858,1616.3745,
449.947,1649.9875,
447.037,1679.3251,
444.126,1682.0447,
441.216,1663.5947,
438.305,1673.4999,
435.395,1702.4117,
432.484,1691.0364,
429.573,1660.3776,
426.663,1683.9419,
423.752,1599.395,
420.842,1412.082,
417.931,1236.2452,
415.020,1244.5871,
412.110,1428.5099,
409.199,1566.7796,
406.289,1643.8268,
403.378,1652.7188,
400.468,1606.6031,
397.557,1629.9221,
394.646,1660.2187,
391.736,1645.8891,
388.825,1677.5668,
385.915,1709.2271,
383.004,1732.3015,
380.094,1741.7963,
377.183,1759.8558,
374.272,1799.6129,
371.362,1824.4601,
368.451,1814.878,
365.541,1831.3898,
362.630,1842.4299,
359.719,1852.3145,
356.809,1864.2343,
353.898,1886.6982,
350.988,1888.5351,
348.077,1897.0722,
345.167,1925.2478,
342.256,1893.1239,
339.345,1879.6235,
336.435,1878.9285,
333.524,1885.7946,
330.614,1851.5174,
327.703,1859.871,
324.793,1881.4841,
321.882,1891.9255,
318.971,1912.7419,
316.061,1900.8308,
313.150,1896.5797,
310.240,1947.0436,
307.329,1928.1505,
304.418,1938.5691,
301.508,1946.4996,
298.597,1892.4491,
295.687,1870.944,
292.776,1896.6252,
289.866,1949.7912,
286.955,1977.8628,
284.044,2044.4924,
281.134,2112.7198,
278.223,2171.294,
275.313,2201.5051,
272.402,2203.8087,
269.492,2185.0324,
266.581,2150.0867,
263.670,2139.059,
260.760,2170.3523,
257.849,2217.2726,
254.939,2261.3056,
252.028,2260.4273,
249.117,2258.0477,
246.207,2267.0502,
243.296,2310.2404,
240.386,2312.263,
237.475,2282.4452,
234.565,2237.5652,
231.654,2241.9475,
228.743,2229.6415,
225.833,2196.0931,
222.922,2143.3019,
220.012,2173.9012,
217.101,2205.9572,
214.191,2201.9921,
211.280,2112.5142,
208.369,2105.2022,
205.459,2120.0465,
202.548,2151.0227,
199.638,2198.1899,
196.727,2154.8631,
193.816,2127.0128,
190.906,2152.0624,
187.995,2128.8936,
185.085,2162.0135,
182.174,2205.7203,
179.264,2197.7699,
176.353,2179.574,
173.442,2173.5006,
170.532,2180.211,
