,PLF92A~1,
Wavenumbers [1/cm],Intensity,
1174.681,1420.5188,
1171.771,1428.6414,
1168.860,1364.339,
1165.950,1337.1615,
1163.039,1343.9978,
1160.129,1326.7105,
1157.218,1319.7782,
1154.307,1341.3688,
1151.397,1353.7833,
1148.486,1329.3757,
1145.576,1324.6624,
1142.665,1314.0075,
1139.754,1335.093,
1136.844,1326.1189,
1133.933,1328.3361,
1131.023,1312.8807,
1128.112,1294.4814,
1125.202,1300.2603,
1122.291,1291.2584,
1119.380,1313.177,
1116.470,1318.4721,
1113.559,1304.4333,
1110.649,1298.1605,
1107.738,1320.1652,
1104.828,1338.8767,
1101.917,1333.2787,
1099.006,1327.6301,
1096.096,1343.91,
1093.185,1340.398,
1090.275,1313.4191,
1087.364,1307.125,
1084.453,1306.0001,
1081.543,1313.013,
1078.632,1316.8571,
1075.722,1308.5788,
1072.811,1333.2419,
1069.901,1348.9606,
1066.990,1333.9584,
1064.079,1341.6937,
1061.169,1337.1836,
1058.258,1348.1819,
1055.348,1372.0673,
1052.437,1371.3887,
1049.527,1392.4537,
1046.616,1375.0771,
1043.705,1373.125,
1040.795,1384.6181,
1037.884,1391.125,
1034.974,1395.9665,
1032.063,1410.0863,
1029.153,1431.8254,
1026.242,1454.3143,
1023.331,1419.294,
1020.421,1414.9134,
1017.510,1423.4086,
1014.600,1437.1607,
1011.689,1448.9802,
1008.778,1437.4902,
1005.868,1358.3876,
1002.957,1387.6396,
1000.047,1435.077,
997.136,1498.1111,
994.226,1560.1245,
991.315,1584.8602,
988.404,1564.151,
985.494,1589.1085,
982.583,1543.711,
979.673,1524.687,
976.762,1516.6024,
973.852,1512.799,
970.941,1530.0934,
968.030,1564.6046,
965.120,1505.2754,
962.209,1541.0821,
959.299,1564.123,
956.388,1571.685,
953.477,1569.2478,
950.567,1567.4778,
947.656,1572.5653,
944.746,1560.6715,
941.835,1588.4685,
938.925,1604.3377,
936.014,1588.892,
933.103,1569.4781,
930.193,1569.9252,
927.282,1568.85,
924.372,1563.7764,
921.461,1551.3426,
918.551,1532.0207,
915.640,1513.901,
912.729,1504.6617,
909.819,1506.7922,
906.908,1511.8468,
903.998,1514.5111,
901.087,1522.7631,
898.176,1528.0794,
895.266,1535.473,
892.355,1551.795,
889.445,1566.0626,
886.534,1587.8317,
883.624,1594.8163,
880.713,1591.0214,
877.802,1561.8076,
874.892,1484.5034,
871.981,1340.9488,
869.071,1206.4473,
866.160,1276.2696,
863.250,1410.9089,
860.339,1513.7397,
857.428,1552.2903,
854.518,1571.429,
851.607,1478.2372,
848.697,1416.0413,
845.786,1347.8991,
842.875,1347.469,
839.965,1446.9848,
837.054,1533.2459,
834.144,1544.0197,
831.233,1566.1236,
828.323,1594.9187,
825.412,1599.9586,
822.501,1571.0186,
819.591,1575.977,
816.680,1552.0865,
813.770,1524.1974,
810.859,1528.7234,
807.949,1545.7152,
805.038,1535.3197,
802.127,1545.1972,
799.217,1545.3796,
796.306,1554.2061,
793.396,1558.7891,
790.485,1563.1271,
787.574,1592.5957,
784.664,1578.6538,
781.753,1554.6535,
778.843,1559.3176,
775.932,1583.1496,
773.022,1599.9838,
770.111,1592.6256,
767.200,1584.5119,
764.290,1593.1047,
761.379,1595.217,
758.469,1593.0308,
755.558,1617.5933,
752.648,1566.2733,
749.737,1548.2915,
