,PLABB4~1,
Wavenumbers [1/cm],Intensity,
697.347,6551.0055,
694.436,6546.8494,
691.525,6509.0705,
688.615,6515.9689,
685.704,6554.6619,
682.794,6601.5983,
679.883,6629.1818,
676.973,6680.4695,
674.062,6671.0945,
671.151,6642.3418,
668.241,6610.3451,
665.330,6577.4548,
662.420,6526.3359,
659.509,6524.1291,
656.598,6568.688,
653.688,6643.6492,
650.777,6722.7373,
647.867,6807.148,
644.956,6768.9132,
642.046,6660.0765,
639.135,6559.8576,
636.224,6574.8591,
633.314,6571.6833,
630.403,6534.2199,
627.493,6510.4113,
624.582,6506.5184,
621.672,6478.0066,
618.761,6516.3918,
615.850,6559.1793,
612.940,6601.2933,
610.029,6626.7206,
607.119,6577.7635,
604.208,6527.4342,
601.297,6497.9076,
598.387,6507.2259,
595.476,6557.6522,
592.566,6555.291,
589.655,6431.7759,
586.745,6388.3093,
583.834,6400.4299,
580.923,6335.3062,
578.013,6406.717,
575.102,6406.373,
572.192,6417.5995,
569.281,6468.093,
566.371,6491.5717,
563.460,6516.45,
560.549,6523.9259,
557.639,6537.1831,
554.728,6582.4225,
551.818,6638.6053,
548.907,6699.0186,
545.996,6723.2656,
543.086,6713.0428,
540.175,6713.8214,
537.265,6720.3935,
534.354,6752.4747,
531.444,6793.5786,
528.533,6828.1792,
525.622,6888.7031,
522.712,6981.3597,
519.801,7056.1697,
516.891,7101.8568,
513.980,7141.3458,
511.070,7246.301,
508.159,7369.5837,
505.248,7496.6812,
502.338,7615.6764,
499.427,7711.3836,
496.517,7797.9658,
493.606,7866.747,
490.695,7923.0341,
487.785,8017.7183,
484.874,8056.7853,
481.964,8051.6028,
479.053,8028.6329,
476.143,8040.1523,
473.232,7966.7764,
470.321,7946.6334,
467.411,7971.8304,
464.500,8020.8143,
461.590,8097.3884,
458.679,8124.3779,
455.769,8197.559,
452.858,8353.0787,
449.947,8412.6654,
447.037,8446.1116,
444.126,8507.1962,
441.216,8595.0186,
438.305,8636.1629,
435.395,8712.0281,
432.484,8738.8729,
429.573,8727.1825,
426.663,8737.0644,
423.752,8527.2545,
420.842,8277.8616,
417.931,8076.9469,
415.020,8031.4454,
412.110,8718.323,
409.199,9093.1243,
406.289,9234.1579,
403.378,9274.291,
400.468,9101.9243,
397.557,9086.4645,
394.646,9199.2918,
391.736,9402.9816,
388.825,9375.0751,
385.915,9374.8579,
383.004,9422.9932,
380.094,9532.7466,
377.183,9667.4399,
374.272,9691.8483,
371.362,9701.7722,
368.451,9758.6225,
365.541,9869.7018,
362.630,9916.2622,
359.719,9934.6105,
356.809,9945.875,
353.898,9945.875,
350.988,9930.6854,
348.077,9928.6201,
345.167,9956.3887,
342.256,9986.2714,
339.345,9935.886,
336.435,9906.0824,
333.524,9965.754,
330.614,10025.366,
327.703,10030.526,
324.793,10069.949,
321.882,10219.94,
318.971,10246.704,
316.061,10346.701,
313.150,10471.668,
310.240,10567.401,
307.329,10612.324,
304.418,10642.098,
301.508,10649.407,
298.597,10617.569,
295.687,10598.621,
292.776,10660.042,
289.866,10794.863,
286.955,10975.113,
284.044,11061.595,
281.134,11139.088,
278.223,11218.527,
275.313,11270.844,
272.402,11335.318,
269.492,11391.619,
266.581,11431.241,
263.670,11450.356,
260.760,11571.322,
257.849,11737.952,
254.939,11912.616,
252.028,11926.457,
249.117,11959.655,
246.207,11997.663,
243.296,12012.304,
240.386,12068.073,
237.475,12117.621,
234.565,12147.769,
231.654,12128.049,
228.743,12153.794,
225.833,12177.399,
222.922,12183.355,
220.012,12236.54,
217.101,12260.254,
214.191,12283.486,
211.280,12338.773,
208.369,12316.635,
205.459,12302.278,
202.548,12301.755,
199.638,12312.64,
196.727,12357.515,
193.816,12367.803,
190.906,12321.338,
187.995,12391.569,
185.085,12443.773,
182.174,12487.412,
179.264,12533.669,
176.353,12589.497,
173.442,12628.389,
170.532,12638.306,
167.621,12564.767,
164.711,12324.662,
161.800,11983.577,
158.890,11566.855,
155.979,10897.083,
153.068,10071.572,
150.158,9084.3921,
147.247,7853.104,
144.337,6527.7249,
141.426,5193.0848,
138.516,3886.909,
135.605,2765.361,
132.694,1870.2263,
129.784,1198.1972,
126.873,809.88173,
123.963,560.72303,
121.052,390.51477,
118.141,286.28508,
115.231,228.3188,
112.320,183.6932,
109.410,149.14808,
106.499,119.23756,
103.589,116.79678,
100.678,111.45473,
97.767,89.415662,
94.857,83.331088,
91.946,82.487443,
89.036,82.842838,
86.125,70.077143,
83.215,58.911195,
80.304,51.635567,
77.393,50.927397,
74.483,48.909595,
71.572,48.237352,
68.662,49.42914,
65.751,55.080749,
62.840,50.131172,
59.930,42.687714,
57.019,41.982632,
54.109,35.306231,
51.198,29.065344,
48.288,24.858013,
45.377,22.747878,
42.466,20.638342,
39.556,18.759881,
36.645,18.057691,
33.735,20.471242,
30.824,21.770565,
27.914,18.264689,
25.003,20.988187,
22.092,18.031432,
19.182,7.6232885,
16.271,-0.071102946,
13.361,-84.887848,
10.450,-278.97423,
7.539,-754.52699,
4.629,-1220.4485,
1.718,-1476.1246,
-1.192,-1264.1927,
-4.103,-808.11034,
-7.013,-370.60119,
-9.924,-3.125,
