,PL5ACF~1,
Wavenumbers [1/cm],Intensity,
83.215,62.348035,
80.304,55.052837,
77.393,51.511987,
74.483,50.594865,
71.572,47.713535,
68.662,43.111465,
65.751,41.698563,
62.840,37.878086,
59.930,36.310148,
57.019,44.06605,
54.109,39.875552,
51.198,36.25,
48.288,36.221688,
45.377,32.704797,
42.466,30.013342,
39.556,27.789526,
36.645,24.980765,
33.735,20.615261,
30.824,17.912661,
27.914,20.016187,
25.003,23.985825,
22.092,23.666764,
19.182,17.380451,
16.271,-9.2001738,
13.361,-77.068285,
10.450,-220.77266,
7.539,-598.56127,
4.629,-1080.8958,
1.718,-1373.3976,
-1.192,-1153.7971,
-4.103,-751.4256,
-7.013,-355.91468,
-9.924,-3.75,
