,PLB20C~1,
Wavenumbers [1/cm],Intensity,
257.849,11037.724,
254.939,11242.477,
252.028,11227.753,
249.117,11227.521,
246.207,11248.763,
243.296,11301.469,
240.386,11442.947,
237.475,11540.481,
234.565,11576.984,
231.654,11550.69,
228.743,11538.796,
225.833,11563.09,
222.922,11629.872,
220.012,11645.901,
217.101,11668.3,
214.191,11705.358,
211.280,11769.375,
208.369,11733.756,
205.459,11759.24,
202.548,11825.621,
199.638,11816.913,
196.727,11877.356,
193.816,11884.594,
190.906,11798.629,
187.995,11898.545,
185.085,11918.466,
182.174,11917.404,
179.264,11973.78,
176.353,12031.387,
173.442,12080.066,
170.532,12098.66,
167.621,11957.348,
164.711,11761.455,
161.800,11453.725,
158.890,10969.349,
155.979,10379.184,
153.068,9614.4238,
150.158,8667.971,
147.247,7479.76,
144.337,6189.0687,
141.426,4902.92,
138.516,3671.3008,
135.605,2606.5385,
132.694,1788.3008,
129.784,1187.0779,
126.873,786.60524,
123.963,534.97303,
121.052,368.44753,
118.141,273.49857,
115.231,212.01595,
112.320,169.33229,
109.410,139.53443,
106.499,110.33607,
103.589,107.48653,
100.678,102.79121,
97.767,83.595899,
94.857,80.353044,
91.946,79.125,
89.036,76.867042,
86.125,62.682936,
83.215,59.125,
80.304,59.364433,
77.393,60.072603,
74.483,54.228785,
71.572,49.313239,
68.662,45.84793,
65.751,43.022126,
62.840,39.234788,
59.930,37.810576,
57.019,44.156314,
54.109,34.376105,
51.198,27.728219,
48.288,29.119338,
45.377,28.415959,
42.466,24.827245,
39.556,20.700593,
36.645,24.211544,
33.735,23.567255,
30.824,21.683226,
27.914,20.280876,
25.003,21.992912,
22.092,20.218859,
19.182,13.873289,
16.271,6.1788971,
13.361,-57.986407,
10.450,-213.74848,
7.539,-631.34106,
4.629,-1129.184,
1.718,-1448.1181,
-1.192,-1298.9292,
-4.103,-830.80725,
-7.013,-377.91901,
-9.924,-4.875,
