,PLA0AC~1,
Raman shift [1/cm],Intensity,
778.843,6221.6431,
775.932,6271.1991,
773.022,6273.4361,
770.111,6301.2338,
767.200,6290.1827,
764.290,6283.2356,
761.379,6279.5495,
758.469,6267.2895,
755.558,6230.0521,
752.648,6227.6083,
749.737,6199.0551,
746.826,6123.5163,
743.916,6010.8451,
741.005,5875.19,
738.095,5663.2902,
735.184,5446.489,
732.274,5401.1529,
729.363,5532.684,
726.452,5771.3305,
723.542,5960.7286,
720.631,6081.2186,
717.721,6128.8733,
714.810,6150.9261,
711.899,6167.1151,
708.989,6154.2043,
706.078,6122.8742,
703.168,6092.0506,
700.257,6045.7695,
697.347,6015.0366,
694.436,6062.9646,
691.525,5983.3879,
688.615,5995.6838,
685.704,6041.1851,
682.794,6054.955,
679.883,5981.7201,
676.973,6039.4188,
674.062,6026.8779,
671.151,6021.0149,
668.241,6043.0374,
665.330,6080.6334,
662.420,6070.2499,
659.509,6070.0298,
656.598,6047.7565,
653.688,6029.3173,
650.777,6069.585,
647.867,6053.6584,
644.956,6002.4504,
642.046,5986.8067,
639.135,6023.5226,
636.224,6089.117,
633.314,6087.5292,
630.403,6059.9293,
627.493,6092.9751,
624.582,6178.2439,
621.672,6187.7478,
618.761,6229.1617,
615.850,6288.959,
612.940,6343.8602,
610.029,6376.125,
607.119,6376.125,
604.208,6364.0548,
601.297,6377.0716,
598.387,6382.2266,
595.476,6352.1305,
592.566,6373.3814,
589.655,6379.0687,
586.745,6363.2002,
583.834,6330.3654,
580.923,6292.234,
578.013,6310.2829,
575.102,6351.8347,
572.192,6359.8316,
569.281,6344.2466,
566.371,6450.6834,
563.460,6432.2008,
560.549,6473.7256,
557.639,6532.5421,
554.728,6541.0466,
551.818,6571.4789,
548.907,6617.7369,
545.996,6658.2878,
543.086,6698.0624,
540.175,6772.0338,
537.265,6816.2361,
534.354,6847.1791,
531.444,6902.9731,
528.533,7010.981,
525.622,7079.2644,
522.712,7156.6206,
519.801,7241.805,
516.891,7340.4178,
513.980,7470.4996,
511.070,7521.5685,
508.159,7626.4748,
505.248,7777.704,
502.338,7943.9716,
499.427,8041.2224,
496.517,8167.2461,
493.606,8248.1629,
490.695,8270.033,
487.785,8370.1058,
484.874,8377.0779,
481.964,8362.9889,
479.053,8342.7707,
476.143,8312.0522,
473.232,8318.0384,
470.321,8284.6318,
467.411,8239.7935,
464.500,8221.4159,
461.590,8232.902,
458.679,8236.6753,
455.769,8258.2343,
452.858,8302.0571,
449.947,8282.1949,
447.037,8256.2816,
444.126,8270.222,
441.216,8311.246,
438.305,8271.6256,
435.395,8246.4559,
432.484,8276.1332,
429.573,8331.2375,
426.663,8327.4368,
423.752,8282.4902,
420.842,8284.5892,
417.931,8319.1747,
415.020,8351.0257,
412.110,8406.2644,
409.199,8470.1347,
406.289,8552.038,
403.378,8662.1045,
400.468,8656.0566,
397.557,8609.9081,
394.646,8541.7291,
391.736,8470.8011,
388.825,8491.9195,
385.915,8514.623,
383.004,8541.9744,
380.094,8577.3497,
377.183,8640.5577,
374.272,8818.2452,
371.362,8951.359,
368.451,8955.377,
365.541,9091.224,
362.630,9057.1137,
359.719,9050.5113,
356.809,9180.2449,
353.898,9264.8591,
350.988,9298.9747,
348.077,9313.0619,
345.167,9329.9687,
342.256,9425.5935,
339.345,9443.5592,
336.435,9446.5063,
333.524,9479.6482,
330.614,9591.4216,
327.703,9666.1706,
324.793,9718.5613,
321.882,9760.235,
318.971,9805.585,
316.061,9901.2085,
313.150,9988.1274,
310.240,9997.7749,
307.329,9976.6859,
304.418,10075.274,
301.508,10181.463,
298.597,10100.018,
295.687,10082.289,
292.776,10194.209,
289.866,10406.856,
286.955,10638.077,
284.044,10918.432,
281.134,11199.132,
278.223,11475.561,
275.313,11772.513,
272.402,12038.441,
269.492,12260.536,
266.581,12438.785,
263.670,12657.869,
260.760,12901.87,
257.849,13133.335,
254.939,13322.677,
252.028,13407.643,
249.117,13509.02,
246.207,13611.634,
243.296,13687.034,
240.386,13642.886,
237.475,13661.612,
234.565,13720.25,
231.654,13619.457,
228.743,13589.494,
225.833,13524.585,
222.922,13392.586,
220.012,13423.914,
217.101,13358.555,
214.191,13278.377,
211.280,13272.557,
208.369,13249.249,
205.459,13272.061,
202.548,13334.532,
199.638,13400.566,
196.727,13376.095,
193.816,13367.39,
190.906,13412.481,
187.995,13422.617,
185.085,13472.465,
182.174,13520.403,
179.264,13506.671,
176.353,13524.348,
173.442,13590.959,
170.532,13679.128,
167.621,13593.332,
164.711,13343.605,
161.800,12976.429,
158.890,12499.969,
155.979,11706.139,
153.068,10754.191,
150.158,9642.6099,
