,PL57AE~1,
Raman shift [1/cm],Intensity,
301.508,1800.8911,
298.597,1664.6544,
295.687,1629.4216,
292.776,1636.4584,
289.866,1695.2871,
286.955,1852.6356,
284.044,2018.0699,
281.134,2188.5129,
278.223,2344.5619,
275.313,2395.4049,
272.402,2487.4514,
269.492,2565.453,
266.581,2609.227,
263.670,2638.6342,
260.760,2653.3936,
257.849,2692.2299,
254.939,2786.9008,
252.028,2909.7309,
249.117,2920.9493,
246.207,2854.691,
243.296,2760.2583,
240.386,2674.378,
237.475,2612.6105,
234.565,2578.01,
231.654,2577.2796,
228.743,2535.1231,
225.833,2484.3067,
222.922,2440.2122,
220.012,2463.5259,
217.101,2480.9393,
214.191,2463.3678,
211.280,2370.9801,
208.369,2308.2815,
205.459,2272.3415,
202.548,2260.8799,
199.638,2271.039,
196.727,2267.3628,
193.816,2249.88,
190.906,2218.9218,
187.995,2213.1296,
185.085,2196.9393,
182.174,2186.8056,
179.264,2207.7658,
176.353,2197.9502,
173.442,2165.746,
170.532,2118.7728,
167.621,2098.5855,
164.711,2097.3295,
161.800,2065.9807,
158.890,1963.0596,
155.979,1833.5074,
153.068,1687.7351,
150.158,1525.1224,
147.247,1337.0189,
144.337,1103.8547,
141.426,867.19406,
138.516,645.67467,
135.605,464.01557,
132.694,318.92405,
129.784,209.58172,
126.873,145.22004,
123.963,93.997301,
121.052,56.059745,
118.141,33.214881,
115.231,38.809563,
112.320,34.770461,
109.410,24.625092,
106.499,16.791385,
103.589,15.685254,
100.678,16.668243,
97.767,18.090119,
94.857,21.589945,
91.946,21.109446,
89.036,16.996021,
86.125,9.9039682,
83.215,16.088805,
80.304,20.012375,
77.393,10.806166,
74.483,8.1595951,
71.572,8.2120563,
68.662,9.986465,
65.751,8.5735628,
62.840,7.161596,
59.930,6.8741448,
57.019,9.6944727,
54.109,13.707965,
51.198,15.220172,
48.288,13.0797,
45.377,7.4526759,
42.466,9.6594127,
39.556,14.973814,
36.645,7.9519121,
33.735,12.355982,
30.824,19.229435,
27.914,22.735311,
25.003,24.992912,
22.092,26.770809,
19.182,28.468243,
16.271,38.960595,
13.361,175.04135,
10.450,453.71908,
7.539,1020.7512,
4.629,1592.5441,
1.718,1892.4106,
-1.192,1573.8155,
-4.103,941.86259,
-7.013,390.78454,
-9.924,3.125,
