,PL8D1F~1,
Wavenumbers [1/cm],Intensity,
272.402,3372.6104,
269.492,3296.2287,
266.581,3131.1699,
263.670,3201.7472,
260.760,3269.6619,
257.849,3341.354,
254.939,3422.0811,
252.028,3372.4559,
249.117,3364.5457,
246.207,3384.7544,
243.296,3410.3757,
240.386,3474.5062,
237.475,3490.605,
234.565,3462.6296,
231.654,3453.1346,
228.743,3438.4669,
225.833,3415.4047,
222.922,3383.3096,
220.012,3365.8243,
217.101,3341.9685,
214.191,3324.2178,
211.280,3327.8551,
208.369,3289.7746,
205.459,3274.7183,
202.548,3283.3841,
199.638,3302.2509,
196.727,3266.3661,
193.816,3239.2322,
190.906,3245.09,
187.995,3272.6029,
185.085,3283.0707,
182.174,3284.3209,
179.264,3285.0436,
176.353,3331.9019,
173.442,3356.6748,
170.532,3345.8923,
167.621,3275.2367,
164.711,3234.0512,
161.800,3166.6924,
158.890,3027.785,
155.979,2901.3004,
153.068,2749.2594,
150.158,2557.6325,
147.247,2272.6054,
144.337,1928.6324,
141.426,1549.7311,
138.516,1141.82,
135.605,813.59532,
132.694,553.82807,
129.784,361.08017,
126.873,253.09556,
123.963,167.38915,
121.052,106.37698,
118.141,74.251395,
115.231,58.492452,
112.320,47.888641,
109.410,39.53425,
106.499,26.003301,
103.589,28.727545,
100.678,30.952026,
97.767,25.264526,
94.857,21.660055,
91.946,21.334333,
89.036,22.56051,
86.125,19.014484,
83.215,19.186841,
80.304,19.646135,
77.393,18.229795,
74.483,18.125,
71.572,16.675592,
68.662,14.125,
65.751,14.125,
62.840,11.71649,
59.930,10.810576,
57.019,17.156314,
54.109,10.95907,
51.198,9.1410928,
48.288,16.0797,
45.377,10.452676,
42.466,5.2394646,
39.556,2.2761858,
36.645,9.2980879,
33.735,10.086503,
30.824,8.2414521,
27.914,5.4367511,
25.003,13.219287,
22.092,17.479191,
19.182,16.491126,
16.271,27.682968,
13.361,97.450986,
10.450,235.80185,
7.539,518.61958,
4.629,786.77952,
1.718,968.48355,
-1.192,966.39212,
-4.103,590.58526,
-7.013,241.10913,
-9.924,-3.875,
