,PLB1A0~1,
Wavenumbers [1/cm],Intensity,
222.922,5977.5006,
220.012,6044.5277,
217.101,6160.1017,
214.191,6265.4617,
211.280,6292.3779,
208.369,6356.2738,
205.459,6415.5203,
202.548,6470.7817,
199.638,6536.8158,
196.727,6612.6063,
193.816,6686.9722,
190.906,6756.27,
187.995,6838.8088,
185.085,6896.6921,
182.174,6951.5098,
179.264,7033.1824,
176.353,7060.3168,
173.442,7049.7092,
170.532,7007.9985,
167.621,6961.8561,
164.711,6774.361,
161.800,6495.7046,
158.890,6142.3183,
155.979,5749.4682,
153.068,5344.7047,
150.158,4896.2289,
147.247,4272.3284,
144.337,3574.0628,
141.426,2851.1199,
138.516,2122.7584,
135.605,1512.624,
132.694,1036.3624,
129.784,677.17748,
126.873,424.73665,
123.963,283.46192,
121.052,193.27844,
118.141,137.59408,
115.231,110.37333,
112.320,88.784102,
109.410,72.056961,
106.499,59.950322,
103.589,51.772455,
100.678,44.930405,
97.767,38.531966,
94.857,34.910055,
91.946,33.375,
89.036,32.471817,
86.125,26.798175,
83.215,28.029602,
80.304,27.980673,
77.393,20.898974,
74.483,22.340405,
71.572,23.375,
68.662,22.82086,
65.751,17.169251,
62.840,13.448192,
59.930,12.124145,
57.019,14.944473,
54.109,20.152287,
51.198,20.057298,
48.288,12.403312,
45.377,15.920203,
42.466,14.901684,
39.556,11.605237,
36.645,13.009618,
33.735,17.009739,
30.824,20.154113,
27.914,19.452938,
25.003,15.016538,
22.092,17.541473,
19.182,29.290315,
16.271,57.26992,
13.361,212.51363,
10.450,542.46354,
7.539,1309.9121,
4.629,1988.0083,
1.718,2357.9041,
-1.192,2102.0521,
-4.103,1310.3958,
-7.013,571.38068,
-9.924,1.375,
