,PL425B~1,
Wavenumbers [1/cm],Intensity,
988.404,3049.5828,
985.494,3004.3247,
982.583,3041.1567,
979.673,3045.0367,
976.762,3031.5838,
973.852,3041.5064,
970.941,3048.3099,
968.030,3020.4251,
965.120,3093.432,
962.209,3077.2337,
959.299,3064.5845,
956.388,3070.5794,
953.477,3087.9536,
950.567,3096.2715,
947.656,3085.5108,
944.746,3116.0948,
941.835,3102.9234,
938.925,3081.0746,
936.014,3107.9195,
933.103,3104.3065,
930.193,3030.1029,
927.282,3018.3002,
924.372,2977.7111,
921.461,2932.7344,
918.551,2852.8545,
915.640,2820.798,
912.729,2831.8392,
909.819,2800.8294,
906.908,2765.4475,
903.998,2698.2801,
901.087,2717.7809,
898.176,2757.1106,
895.266,2793.3699,
892.355,2831.7406,
889.445,2854.4008,
886.534,2901.2528,
883.624,2922.611,
880.713,2943.3003,
877.802,2914.7708,
874.892,2798.6499,
871.981,2636.1462,
869.071,2494.126,
866.160,2564.7144,
863.250,2713.389,
860.339,2835.2741,
857.428,2880.3521,
854.518,2872.154,
851.607,2756.4964,
848.697,2653.9619,
845.786,2591.0707,
842.875,2624.8259,
839.965,2745.6897,
837.054,2810.0348,
834.144,2768.5972,
831.233,2751.834,
828.323,2749.4783,
825.412,2741.1972,
822.501,2705.4997,
819.591,2627.8181,
816.680,2587.0384,
813.770,2568.1025,
810.859,2560.695,
807.949,2546.6487,
805.038,2515.3009,
802.127,2513.6546,
799.217,2523.1901,
796.306,2494.716,
793.396,2479.065,
790.485,2493.3423,
787.574,2497.6832,
784.664,2528.8475,
781.753,2555.3005,
778.843,2582.1628,
775.932,2605.6727,
773.022,2614.8085,
770.111,2584.5581,
767.200,2590.8744,
764.290,2568.0734,
761.379,2546.7429,
758.469,2537.8961,
755.558,2520.2326,
752.648,2511.2719,
749.737,2470.3326,
746.826,2431.7836,
743.916,2401.7271,
741.005,2366.7793,
738.095,2280.7203,
735.184,2178.2573,
732.274,2148.3367,
729.363,2206.6157,
726.452,2323.9716,
723.542,2404.1015,
720.631,2476.544,
717.721,2495.2086,
714.810,2492.358,
711.899,2498.2129,
708.989,2531.2968,
706.078,2501.0505,
703.168,2513.5383,
700.257,2512.06,
697.347,2486.0658,
694.436,2466.7619,
691.525,2476.4075,
688.615,2459.0038,
685.704,2464.336,
682.794,2489.7766,
679.883,2500.8244,
676.973,2508.0367,
674.062,2522.2616,
671.151,2505.8302,
668.241,2477.6442,
665.330,2485.2563,
662.420,2501.231,
659.509,2485.4521,
656.598,2481.8567,
653.688,2508.0631,
650.777,2563.608,
647.867,2566.7933,
644.956,2513.0148,
642.046,2433.8942,
639.135,2370.3384,
636.224,2373.691,
633.314,2411.8,
630.403,2413.8143,
627.493,2443.0667,
624.582,2481.7257,
621.672,2406.4863,
618.761,2465.815,
615.850,2472.8273,
612.940,2468.9892,
610.029,2479.1326,
607.119,2464.9192,
604.208,2462.08,
601.297,2478.9481,
598.387,2481.3085,
595.476,2443.7228,
592.566,2446.084,
589.655,2414.7534,
586.745,2403.1416,
583.834,2405.8887,
580.923,2389.4526,
578.013,2381.6053,
575.102,2384.6623,
572.192,2391.3583,
569.281,2404.936,
566.371,2451.8934,
563.460,2467.082,
560.549,2458.3435,
557.639,2455.2425,
554.728,2485.4362,
551.818,2500.2622,
548.907,2527.2671,
545.996,2543.2776,
543.086,2538.125,
540.175,2508.5365,
537.265,2510.1214,
534.354,2536.0828,
531.444,2553.8122,
528.533,2538.1003,
525.622,2560.6028,
522.712,2617.074,
519.801,2661.1926,
516.891,2685.6992,
513.980,2721.3168,
511.070,2756.9,
508.159,2787.6924,
505.248,2816.0138,
502.338,2847.4821,
499.427,2949.364,
496.517,3001.9545,
493.606,3032.6042,
490.695,3055.4629,
487.785,3062.391,
484.874,3093.8725,
481.964,3083.9222,
479.053,3049.9933,
476.143,3064.5846,
473.232,3020.897,
470.321,3003.9866,
467.411,3014.8837,
464.500,3045.7133,
461.590,3054.1365,
458.679,3071.9082,
455.769,3112.2257,
452.858,3172.5795,
449.947,3173.3435,
447.037,3219.007,
444.126,3254.0455,
441.216,3269.3207,
438.305,3302.8457,
435.395,3283.2414,
432.484,3290.0874,
429.573,3310.2224,
426.663,3279.0566,
423.752,3076.3407,
420.842,2816.8727,
417.931,2603.9586,
415.020,2577.4161,
412.110,3026.4421,
409.199,3286.8544,
406.289,3372.4792,
403.378,3329.3105,
400.468,3273.3669,
397.557,3309.9999,
394.646,3395.1682,
391.736,3487.3209,
388.825,3512.9648,
385.915,3466.7484,
383.004,3453.1941,
380.094,3539.573,
377.183,3580.2067,
374.272,3629.4946,
371.362,3672.6844,
368.451,3696.9925,
365.541,3655.713,
