,PLEC39~1,
Wavenumbers [1/cm],Intensity,
1704.407,1689.3208,
1701.496,1726.285,
1698.586,1698.5845,
1695.675,1773.6638,
1692.764,1764.7992,
1689.854,1777.3937,
1686.943,1753.8431,
1684.033,1808.5843,
1681.122,1876.8445,
1678.211,1869.0857,
1675.301,1897.9106,
1672.390,1902.2094,
1669.480,1972.1685,
1666.569,1993.127,
1663.659,2004.8292,
1660.748,2115.2699,
1657.837,2128.825,
1654.927,2121.9606,
1652.016,2163.2636,
1649.106,2214.3917,
1646.195,2232.5894,
1643.285,2339.6862,
1640.374,2413.108,
1637.463,2467.2158,
1634.553,2589.5073,
1631.642,2691.4875,
1628.732,2827.6814,
1625.821,2942.1583,
1622.911,3182.6363,
1620.000,3444.6739,
1617.089,3660.6816,
1614.179,3851.5854,
1611.268,4135.2556,
1608.358,4376.6688,
1605.447,4520.9439,
1602.536,4621.2568,
1599.626,4615.1209,
1596.715,4601.2936,
1593.805,4597.317,
1590.894,4523.9044,
1587.984,4488.8833,
1585.073,4422.0396,
1582.162,4325.0067,
1579.252,4297.3621,
1576.341,4257.35,
1573.431,4268.3625,
1570.520,4219.7292,
1567.610,4156.0581,
1564.699,4118.9741,
1561.788,4027.198,
1558.878,3972.8826,
1555.967,3893.3089,
1553.057,3820.0004,
1550.146,3751.6801,
1547.235,3633.451,
1544.325,3534.6749,
1541.414,3462.2554,
1538.504,3436.8175,
1535.593,3414.8898,
1532.683,3324.8727,
1529.772,3225.0693,
1526.861,3211.5886,
1523.951,3244.7185,
1521.040,3225.1663,
1518.130,3183.7186,
1515.219,3081.9588,
1512.309,3093.5179,
1509.398,3003.1407,
1506.487,2995.1105,
1503.577,2967.5627,
1500.666,2930.4038,
1497.756,2887.2205,
1494.845,2898.318,
1491.934,2809.9843,
1489.024,2805.1718,
1486.113,2753.0759,
1483.203,2686.8283,
1480.292,2656.9387,
1477.382,2612.5876,
1474.471,2567.7006,
1471.560,2490.2387,
1468.650,2425.3701,
1465.739,2433.2601,
1462.829,2447.4032,
1459.918,2398.3808,
1457.008,2370.1694,
1454.097,2363.9002,
1451.186,2353.9807,
1448.276,2357.6689,
1445.365,2358.0032,
1442.455,2380.1475,
1439.544,2332.8401,
1436.633,2322.3406,
1433.723,2355.8784,
1430.812,2344.8969,
1427.902,2306.1804,
1424.991,2313.7625,
1422.081,2325.0097,
1419.170,2312.175,
1416.259,2352.9333,
1413.349,2285.9654,
1410.438,2344.2738,
1407.528,2360.6877,
1404.617,2315.9466,
1401.707,2267.6227,
1398.796,2277.6258,
1395.885,2315.4803,
1392.975,2299.52,
1390.064,2257.2309,
1387.154,2231.8872,
1384.243,2206.4836,
1381.332,2229.8813,
1378.422,2252.3424,
1375.511,2394.7331,
1372.601,2489.157,
1369.690,2517.5733,
1366.780,2595.4513,
1363.869,2675.2976,
1360.958,2697.3398,
1358.048,2751.5847,
1355.137,2823.1695,
1352.227,2904.3271,
1349.316,2988.8851,
1346.406,3058.0153,
1343.495,3135.453,
