,PL0CF0~1,
Raman shift [1/cm],Intensity,
481.964,4566.6764,
479.053,4519.0425,
476.143,4483.7162,
473.232,4526.8224,
470.321,4517.7383,
467.411,4485.9544,
464.500,4475.4224,
461.590,4472.3595,
458.679,4499.565,
455.769,4505.8016,
452.858,4473.3972,
449.947,4510.8298,
447.037,4529.4217,
444.126,4523.5606,
441.216,4503.2197,
438.305,4513.1249,
435.395,4546.6262,
432.484,4531.8268,
429.573,4493.8901,
426.663,4521.2551,
423.752,4524.8948,
420.842,4448.3201,
417.931,4387.9584,
415.020,4498.6787,
412.110,4577.8562,
409.199,4623.1039,
406.289,4642.4839,
403.378,4645.5307,
400.468,4654.6027,
397.557,4657.5,
394.646,4635.4137,
391.736,4575.7656,
388.825,4584.0621,
385.915,4530.0875,
383.004,4491.6362,
380.094,4526.0261,
377.183,4653.9471,
374.272,4718.8101,
371.362,4785.8831,
368.451,4889.5972,
365.541,4924.1218,
362.630,4937.3237,
359.719,4952.6347,
356.809,4982.1796,
353.898,4993.4116,
350.988,4981.3104,
348.077,4988.8286,
345.167,5038.5,
342.256,5038.5,
339.345,5048.0658,
336.435,5057.888,
333.524,5061.0068,
330.614,5045.3585,
327.703,5075.4116,
324.793,5118.8116,
321.882,5148.3522,
318.971,5087.3899,
316.061,5133.399,
313.150,5224.9785,
310.240,5293.9953,
307.329,5292.9268,
304.418,5305.1786,
301.508,5321.5,
298.597,5321.5,
295.687,5325.5634,
292.776,5366.6669,
289.866,5475.5246,
286.955,5731.8624,
284.044,5969.6348,
281.134,6180.1828,
278.223,6368.0619,
275.313,6563.3286,
272.402,6679.4365,
269.492,6780.7111,
266.581,6889.2265,
263.670,6983.3296,
260.760,7095.6485,
257.849,7212.764,
254.939,7325.048,
252.028,7428.5621,
249.117,7412.2239,
246.207,7353.5082,
243.296,7380.5936,
240.386,7297.9581,
237.475,7201.0189,
234.565,7102.3952,
231.654,7000.1415,
228.743,6949.7316,
225.833,6878.1921,
222.922,6760.0007,
220.012,6684.9595,
217.101,6591.3091,
214.191,6505.5121,
211.280,6458.9545,
208.369,6452.1359,
205.459,6416.1645,
202.548,6355.6002,
199.638,6304.0792,
196.727,6312.5151,
193.816,6363.2248,
190.906,6445.0717,
187.995,6347.3284,
185.085,6390.1026,
182.174,6448.0763,
179.264,6346.8891,
176.353,6418.8013,
173.442,6421.2679,
170.532,6346.3562,
167.621,6370.8694,
164.711,6257.6706,
161.800,6055.3722,
158.890,5779.7165,
155.979,5479.6057,
153.068,5057.3068,
150.158,4520.0331,
147.247,3882.4915,
144.337,3183.4183,
141.426,2508.1461,
138.516,1899.5054,
135.605,1348.8002,
132.694,914.71148,
129.784,589.22215,
126.873,382.54962,
123.963,270.50437,
121.052,195.40344,
118.141,139.71908,
115.231,98.99749,
112.320,79.534549,
109.410,74.272803,
106.499,67.863406,
103.589,59.216692,
100.678,52.141891,
97.767,48.587204,
94.857,41.57011,
91.946,38.5,
89.036,38.274204,
86.125,36.855794,
83.215,38.092761,
80.304,37.584539,
77.393,31.919179,
74.483,22.983246,
71.572,21.761169,
68.662,26.322453,
65.751,14.312784,
62.840,18.207232,
59.930,26.874572,
57.019,28.284736,
54.109,21.33407,
51.198,17.404828,
48.288,19.567949,
45.377,28.008486,
42.466,29.026684,
39.556,25.154644,
36.645,23.048074,
33.735,21.980752,
30.824,21.058226,
27.914,19.655876,
25.003,20.122637,
22.092,21.791618,
19.182,24.98054,
16.271,39.669833,
13.361,164.77261,
10.450,397.00816,
7.539,795.04792,
4.629,962.5243,
1.718,902.97626,
-1.192,513.27247,
-4.103,239.87763,
-7.013,66.921897,
-9.924,1.5,
