,PL4BF0~1,
Raman shift [1/cm],Intensity,
158.890,10550.753,
155.979,9846.2173,
153.068,9027.7702,
150.158,8079.7438,
147.247,6885.7892,
144.337,5671.8882,
141.426,4469.9334,
138.516,3296.3825,
135.605,2361.134,
132.694,1610.0367,
129.784,1037.4445,
126.873,686.31571,
123.963,471.46933,
121.052,328.88029,
118.141,243.21205,
115.231,188.87165,
112.320,155.01319,
109.410,134.64799,
106.499,112.57117,
103.589,107.875,
100.678,98.36824,
97.767,73.485425,
94.857,71.489022,
91.946,71.681222,
89.036,71.633123,
86.125,63.831865,
83.215,56.565796,
80.304,50.198971,
77.393,45.241782,
74.483,42.909595,
71.572,42.599704,
68.662,43.32086,
65.751,37.669251,
62.840,35.875,
59.930,37.186003,
57.019,42.121577,
54.109,32.723266,
51.198,26.176609,
48.288,26.8297,
45.377,21.202676,
42.466,21.348316,
39.556,25.105237,
36.645,26.509618,
33.735,21.163267,
30.824,17.200322,
27.914,21.407373,
25.003,18.139175,
22.092,13.291764,
19.182,7.71482,
16.271,2.818389,
13.361,-6.2897856,
10.450,-78.263105,
7.539,-439.29215,
4.629,-930.17891,
1.718,-1358.5727,
-1.192,-1542.6189,
-4.103,-1055.6826,
-7.013,-506.0128,
-9.924,-2.125,
