,PLIQUI~2,
Wavenumbers [1/cm],Intensity,
653.688,6540.4055,
650.777,6641.1751,
647.867,6661.0833,
644.956,6555.2913,
642.046,6371.8271,
639.135,6208.7096,
636.224,6210.4072,
633.314,6391.4251,
630.403,6468.243,
627.493,6485.2752,
624.582,6482.7377,
621.672,6501.7456,
618.761,6545.8165,
615.850,6562.8059,
612.940,6571.3061,
610.029,6587.6294,
607.119,6618.425,
604.208,6580.3192,
601.297,6550.5385,
598.387,6559.284,
595.476,6610.0089,
592.566,6573.0167,
589.655,6504.9504,
586.745,6481.4813,
583.834,6497.5742,
580.923,6508.3057,
578.013,6476.1316,
575.102,6470.9415,
572.192,6494.2225,
569.281,6534.4526,
566.371,6550.8877,
563.460,6577.1914,
560.549,6579.7035,
557.639,6586.8081,
554.728,6631.3085,
551.818,6675.7865,
548.907,6690.3753,
545.996,6728.1023,
543.086,6783.3388,
540.175,6787.232,
537.265,6827.3354,
534.354,6818.4188,
531.444,6822.9231,
528.533,6900.749,
525.622,6960.497,
522.712,6993.5229,
519.801,7064.5458,
516.891,7174.7765,
513.980,7255.3033,
511.070,7368.8565,
508.159,7466.9874,
505.248,7559.0486,
502.338,7663.0469,
499.427,7784.2246,
496.517,7854.9646,
493.606,7934.3008,
490.695,8037.3143,
487.785,8071.9549,
484.874,8088.4858,
481.964,8116.925,
479.053,8124.0469,
476.143,8021.9078,
473.232,7985.285,
470.321,8008.5335,
467.411,8038.4087,
464.500,8018.6442,
461.590,8063.8229,
458.679,8156.2927,
455.769,8265.609,
452.858,8370.8056,
449.947,8460.1855,
447.037,8511.8718,
444.126,8568.9909,
441.216,8635.3207,
438.305,8668.8457,
435.395,8712.8382,
432.484,8750.1701,
429.573,8746.6972,
426.663,8631.916,
423.752,7901.3687,
420.842,6950.5097,
417.931,6228.7761,
415.020,6359.9721,
412.110,7603.8527,
409.199,8442.3627,
406.289,8793.8122,
403.378,8640.8699,
400.468,8454.8953,
397.557,8596.0183,
394.646,8928.7919,
391.736,9317.162,
388.825,9306.6027,
385.915,9354.0584,
383.004,9423.0567,
380.094,9488.1854,
377.183,9560.4231,
374.272,9642.9197,
371.362,9701.3865,
368.451,9719.5576,
365.541,9786.3553,
362.630,9806.1387,
359.719,9812.5314,
356.809,9824.1828,
353.898,9818.9412,
350.988,9856.559,
348.077,9872.6563,
345.167,9833.7705,
342.256,9878.5946,
339.345,9894.6886,
336.435,9895.0017,
333.524,9889.416,
330.614,9918.4771,
327.703,9928.5268,
324.793,9948.8343,
321.882,10004.716,
318.971,10093.929,
316.061,10203.607,
313.150,10313.983,
310.240,10402.295,
307.329,10491.971,
304.418,10607.66,
301.508,10709.029,
298.597,10726.059,
295.687,10741.722,
292.776,10774.75,
289.866,10856.495,
286.955,11069.986,
284.044,11204.862,
281.134,11308.824,
278.223,11404.272,
275.313,11553.117,
272.402,11640.267,
269.492,11588.613,
266.581,11386.454,
263.670,11329.845,
260.760,11495.812,
257.849,11787.991,
254.939,12146.859,
252.028,12173.215,
249.117,12281.545,
246.207,12451.641,
243.296,12649.291,
240.386,12766.49,
237.475,12830.178,
234.565,12864.879,
231.654,12956.177,
228.743,13011.173,
225.833,13055.489,
222.922,13105.469,
220.012,13297.808,
217.101,13413.497,
214.191,13505,
211.280,13626.486,
208.369,13659.048,
205.459,13717.212,
202.548,13798.781,
199.638,13864.09,
196.727,13933.393,
193.816,14023.266,
190.906,14138.405,
187.995,14192.706,
185.085,14298.505,
182.174,14397.263,
179.264,14403.768,
176.353,14489.083,
173.442,14539.038,
170.532,14523.506,
167.621,14351.914,
164.711,14101.054,
161.800,13675.896,
158.890,12971.283,
155.979,12169.253,
153.068,11250.047,
150.158,10191.581,
147.247,8881.318,
144.337,7371.6158,
141.426,5830.2234,
138.516,4329.7701,
135.605,3113.2456,
132.694,2138.3174,
129.784,1388.3593,
126.873,889.91379,
123.963,610.38105,
121.052,428.75728,
118.141,310.96345,
115.231,247.25924,
112.320,195.65821,
109.410,156.40934,
106.499,135.04469,
103.589,124.89746,
100.678,116.15405,
97.767,104.77905,
94.857,92.026197,
91.946,86.903111,
89.036,85.016246,
86.125,69.41373,
83.215,70.278283,
80.304,69.711346,
77.393,55.547948,
74.483,49.914055,
71.572,47.137648,
