,PLD7AB~1,
Raman shift [1/cm],Intensity,
36.645,7.2403681,
33.735,8.6539877,
30.824,12.941774,
27.914,14.344124,
25.003,20.103737,
22.092,25.437427,
19.182,29.774594,
16.271,38.168476,
13.361,166.67302,
10.450,449.91591,
7.539,1097.2542,
4.629,1640.8683,
1.718,1887.0882,
-1.192,1543.3959,
-4.103,928.29068,
-7.013,389.85552,
-9.924,1.5,
