,PLAB12~1,
Wavenumbers [1/cm],Intensity,
391.736,4102.0765,
388.825,4166.9403,
385.915,4211.5453,
383.004,4227.718,
380.094,4214.3801,
377.183,4261.0337,
374.272,4302.2246,
371.362,4328.6489,
368.451,4335.4559,
365.541,4342.9613,
362.630,4349.3699,
359.719,4355.3677,
356.809,4362.6311,
353.898,4389.5879,
350.988,4399.7124,
348.077,4383.9947,
345.167,4344.0112,
342.256,4423.2004,
339.345,4420.4912,
336.435,4393.0033,
333.524,4381.7146,
330.614,4436.111,
327.703,4426.3029,
324.793,4418.272,
321.882,4468.0451,
318.971,4486.6311,
316.061,4555.5042,
313.150,4640.6309,
310.240,4703.7108,
307.329,4701.7122,
304.418,4739.212,
301.508,4795.0585,
298.597,4829.1177,
295.687,4837.4179,
292.776,4890.0003,
289.866,4979.617,
286.955,5072.6964,
284.044,5137.8649,
281.134,5194.6607,
278.223,5249.8081,
275.313,5316.8619,
272.402,5293.2413,
269.492,5214.353,
266.581,5093.1205,
263.670,4954.9066,
260.760,5092.6103,
257.849,5325.5725,
254.939,5527.3902,
252.028,5563.2969,
249.117,5655.0312,
246.207,5790.8598,
243.296,5952.6399,
240.386,6055.5419,
237.475,6105.9944,
234.565,6123.3178,
231.654,6182.4788,
228.743,6252.5368,
225.833,6313.9036,
222.922,6359.0384,
220.012,6402.7517,
217.101,6507.7824,
214.191,6613.1466,
211.280,6650.2472,
208.369,6733.0648,
205.459,6794.358,
202.548,6841.9137,
199.638,6922.4608,
196.727,7024.28,
193.816,7111.0818,
190.906,7169.3617,
187.995,7236.696,
185.085,7283.1699,
182.174,7312.7218,
179.264,7326.4543,
176.353,7421.5537,
173.442,7462.3981,
170.532,7429.3149,
167.621,7320.4476,
164.711,7144.3666,
161.800,6873.8803,
158.890,6469.3934,
155.979,6091.8957,
153.068,5650.5294,
150.158,5134.9988,
147.247,4506.0727,
144.337,3778.8058,
141.426,3029.0723,
138.516,2288.5236,
135.605,1610.2865,
132.694,1086.9157,
129.784,702.77807,
126.873,455.34315,
123.963,315.08692,
121.052,219.80423,
118.141,151.26964,
115.231,118.31376,
112.320,93.56183,
109.410,76.091026,
106.499,66.120853,
103.589,56.156437,
100.678,49.185135,
97.767,47.052322,
94.857,42.842066,
91.946,37.775113,
89.036,32.096817,
86.125,26.423175,
83.215,27.654602,
80.304,29.042269,
77.393,26.20959,
74.483,24.034595,
71.572,23.362352,
68.662,23.44586,
65.751,17.794251,
62.840,17.445106,
59.930,17.50171,
57.019,11.861055,
54.109,13.985804,
51.198,12.380689,
48.288,4.0566244,
45.377,11.090405,
42.466,13.587781,
39.556,13.230237,
36.645,14.634618,
33.735,17.596242,
30.824,20.883548,
27.914,23.688249,
25.003,24.622637,
22.092,23.385477,
19.182,21.052612,
16.271,53.229158,
13.361,204.65967,
10.450,533.69898,
7.539,1339.5549,
4.629,1977.0334,
1.718,2314.2825,
-1.192,2106.5334,
-4.103,1288.2067,
-7.013,541.38266,
-9.924,2,
