,PLC19D~1,
Wavenumbers [1/cm],Intensity,
1206.698,6634.3553,
1203.787,6512.2098,
1200.877,6540.62,
1197.966,6740.2334,
1195.055,6862.0256,
1192.145,6985.6867,
1189.234,7179.2041,
1186.324,7351.9856,
1183.413,7446.3312,
1180.503,7474.9245,
1177.592,7453.4818,
1174.681,7370.5206,
1171.771,7317.7445,
1168.860,7339.1787,
1165.950,7284.8097,
1163.039,7304.0749,
1160.129,7291.7065,
1157.218,7231.426,
1154.307,7144.6952,
1151.397,7085.7199,
1148.486,7104.9128,
1145.576,7022.5427,
1142.665,6868.0459,
1139.754,6814.5686,
1136.844,6829.0603,
1133.933,6772.3883,
1131.023,6729.971,
1128.112,6692.042,
1125.202,6622.7041,
1122.291,6651.3807,
1119.380,6665.765,
1116.470,6616.3434,
1113.559,6614.8895,
1110.649,6596.6046,
1107.738,6531.5966,
1104.828,6492.572,
1101.917,6493.0069,
1099.006,6469.7551,
1096.096,6487.4863,
1093.185,6507.6804,
1090.275,6539.193,
1087.364,6561.3447,
1084.453,6673.4308,
1081.543,6759.6322,
1078.632,6782.8001,
1075.722,6828.7724,
1072.811,6858.3335,
1069.901,6817.2903,
1066.990,6719.6752,
1064.079,6653.6971,
1061.169,6647.6098,
1058.258,6653.7447,
1055.348,6663.0056,
1052.437,6709.6455,
1049.527,6743.3913,
1046.616,6772.9315,
1043.705,6740.7948,
1040.795,6751.3207,
1037.884,6779.9393,
1034.974,6821.2023,
1032.063,6873.7419,
1029.153,6910.8852,
1026.242,6941.1587,
1023.331,7047.2433,
1020.421,7063.3703,
1017.510,7046.1226,
1014.600,7103.1876,
1011.689,7207.7976,
1008.778,7259.907,
1005.868,7411.196,
1002.957,7628.0053,
1000.047,7854.1701,
997.136,8153.545,
994.226,8301.204,
991.315,8298.7327,
988.404,8303.4168,
985.494,8180.461,
982.583,8189.8831,
979.673,8163.4474,
976.762,8186.7148,
973.852,8194.3376,
970.941,8188.1799,
968.030,8241.6896,
965.120,8357.3789,
962.209,8388.0704,
959.299,8347.2138,
956.388,8349.5286,
953.477,8344.4655,
950.567,8331.0268,
947.656,8381.9185,
944.746,8387.0158,
941.835,8420.4523,
938.925,8397.3216,
936.014,8380.2383,
933.103,8362.3015,
930.193,8321.6617,
927.282,8277.8881,
924.372,8178.9521,
921.461,8015.2879,
918.551,7917.0991,
915.640,7822.7833,
912.729,7678.4065,
909.819,7511.3578,
906.908,7481.873,
903.998,7449.2308,
901.087,7488.988,
898.176,7522.9307,
895.266,7573.0989,
892.355,7691.0078,
889.445,7828.6476,
886.534,7858.4705,
883.624,7925.4777,
880.713,8021.5963,
877.802,8040.7839,
874.892,7906.5083,
871.981,7677.5214,
869.071,7519.6284,
866.160,7644.7311,
863.250,7778.2511,
860.339,7854.7907,
857.428,7883.1891,
854.518,7866.8559,
851.607,7749.5341,
848.697,7544.915,
845.786,7464.8828,
842.875,7536.7615,
839.965,7678.799,
837.054,7745.6035,
834.144,7777.0961,
831.233,7749.9191,
828.323,7692.6951,
825.412,7650.928,
822.501,7616.2917,
819.591,7427.8727,
816.680,7318.8844,
813.770,7237.4913,
810.859,7140.1738,
807.949,7047.9182,
805.038,7004.5752,
802.127,6957.6569,
799.217,6948.0323,
796.306,6919.5741,
793.396,6884.8453,
790.485,6844.5612,
787.574,6782.4536,
784.664,6893.1687,
781.753,7014.5686,
778.843,7122.5698,
775.932,7195.2868,
773.022,7216.2905,
770.111,7177.8643,
767.200,7050.3948,
764.290,6991.0243,
761.379,6975.0684,
758.469,6968.0183,
755.558,6946.8642,
752.648,6900.4318,
749.737,6871.0135,
746.826,6839.7363,
743.916,6790.5613,
741.005,6710.1274,
738.095,6585.0984,
735.184,6474.432,
732.274,6442.0349,
729.363,6519.8758,
726.452,6677.5754,
723.542,6756.8959,
720.631,6874.4018,
717.721,6925.2897,
714.810,6947.5283,
711.899,6967.0718,
708.989,6979.1757,
706.078,7011.3021,
703.168,6970.0651,
700.257,6921.7471,
697.347,6908.9011,
694.436,6945.0023,
691.525,6862.2104,
688.615,6876.3245,
685.704,6919.4248,
682.794,6958.5052,
679.883,6982.0337,
676.973,6977.2255,
674.062,7023.4681,
671.151,7034.0318,
668.241,6994.9049,
665.330,6934.5861,
662.420,6899.4419,
659.509,6899.2342,
656.598,6937.4372,
653.688,7017.9066,
650.777,7139.7882,
647.867,7214.6431,
644.956,7205.8648,
642.046,7089.9172,
639.135,6936.0927,
636.224,6890.4887,
633.314,6938.125,
630.403,6907.6828,
627.493,6860.5826,
624.582,6836.4877,
621.672,6855.4956,
618.761,6784.0558,
615.850,6870.3456,
612.940,6963.0069,
610.029,6956.1771,
607.119,6871.6866,
604.208,6873.1902,
601.297,6862.2945,
598.387,6859.8618,
595.476,6886.5704,
592.566,6836.9851,
589.655,6773.8272,
586.745,6767.2503,
583.834,6795.4933,
580.923,6788.9372,
578.013,6737.1448,
575.102,6747.9143,
572.192,6770.1801,
569.281,6786.9514,
566.371,6840.9524,
563.460,6852.5992,
560.549,6873.7666,
557.639,6910.4381,
554.728,6958.334,
551.818,6975.5009,
548.907,7055.4266,
545.996,7122.9119,
543.086,7143.3586,
540.175,7102.0904,
537.265,7079.6945,
534.354,7102.8531,
531.444,7164.4597,
528.533,7244.9189,
525.622,7240.2632,
522.712,7338.7575,
519.801,7427.6903,
516.891,7482.744,
513.980,7559.3993,
511.070,7621.1891,
508.159,7724.4812,
505.248,7860.5699,
502.338,8009.4747,
499.427,8153.8073,
496.517,8257.3004,
493.606,8361.7617,
490.695,8471.1757,
487.785,8485.032,
484.874,8493.066,
481.964,8484.2069,
479.053,8460.2634,
476.143,8431.0808,
473.232,8383.2082,
470.321,8400.7701,
467.411,8454.7119,
464.500,8505.1699,
461.590,8580.9782,
458.679,8631.4156,
455.769,8709.7561,
452.858,8835.09,
449.947,8900.7881,
