,PLD84B~1,
Raman shift [1/cm],Intensity,
190.906,6430.9963,
187.995,6470.0936,
185.085,6494.9735,
182.174,6496.0679,
179.264,6453.4247,
176.353,6510.7806,
173.442,6497.7674,
170.532,6411.3568,
167.621,6391.8905,
164.711,6309.3665,
161.800,6156.065,
158.890,5911.3577,
155.979,5530.5653,
153.068,5070.0281,
150.158,4532.6467,
147.247,3897.9769,
144.337,3219.6184,
141.426,2544.0545,
138.516,1893.1172,
135.605,1358.2079,
132.694,932.10792,
129.784,607.37156,
126.873,395.69312,
123.963,269.54076,
121.052,186.22818,
118.141,134.82723,
115.231,109.75504,
112.320,94.117733,
109.410,84.306961,
106.499,72.200322,
103.589,59.540419,
100.678,51.081757,
97.767,49.659881,
94.857,37.151197,
91.946,33.640554,
89.036,36.737898,
86.125,37.447103,
83.215,33.377637,
80.304,29.146135,
77.393,27.729795,
74.483,23.039055,
71.572,24.248521,
68.662,30.001593,
65.751,23.643533,
62.840,26.44202,
59.930,29.377566,
57.019,20.916582,
54.109,19.027839,
51.198,16.815344,
48.288,12.687287,
45.377,20.424446,
42.466,20.739465,
39.556,17.43083,
36.645,22.346162,
33.735,18.951764,
30.824,15.287661,
27.914,17.391187,
25.003,18.870275,
22.092,21.562427,
19.182,25.922477,
16.271,35.015849,
13.361,130.50284,
10.450,294.36458,
7.539,513.63561,
4.629,588.69637,
1.718,486.31508,
-1.192,97.308428,
-4.103,-25.295338,
-7.013,-50.485389,
-9.924,-0.375,
