,PL2F1D~1,
Raman shift [1/cm],Intensity,
461.590,4117.7108,
458.679,4114.5976,
455.769,4134.6298,
452.858,4190.7721,
449.947,4236.608,
447.037,4230.2242,
444.126,4232.5697,
441.216,4269.8746,
438.305,4361.3064,
435.395,4375.9669,
432.484,4361.9969,
429.573,4345.4376,
426.663,4364.4411,
423.752,4402.2658,
420.842,4393.339,
417.931,4380.1602,
415.020,4437.037,
412.110,4519.4774,
409.199,4546.555,
406.289,4555.0691,
403.378,4588.854,
400.468,4545.7623,
397.557,4545.3679,
394.646,4529.18,
391.736,4453.0282,
388.825,4516.3836,
385.915,4495.0855,
383.004,4473.9916,
380.094,4511.4185,
377.183,4558.8245,
374.272,4627.9064,
371.362,4680.2979,
368.451,4696.237,
365.541,4749.525,
362.630,4756.8989,
359.719,4747.7444,
356.809,4741.8124,
353.898,4771.7643,
350.988,4785.4249,
348.077,4785.9343,
345.167,4777.6272,
342.256,4809.7511,
339.345,4813.6857,
336.435,4809.2776,
333.524,4810.3288,
330.614,4820.761,
327.703,4818.8659,
324.793,4821.4759,
321.882,4842.9838,
318.971,4836.2928,
316.061,4886.7379,
313.150,4935.9953,
310.240,4916.7002,
307.329,4951.7318,
304.418,4946.85,
301.508,4931.2862,
298.597,4958.6816,
295.687,4929.1697,
292.776,4944.4168,
289.866,5016.5812,
286.955,5156.939,
284.044,5259.8574,
281.134,5354.6563,
278.223,5448.5504,
275.313,5548.0259,
272.402,5566.0955,
269.492,5603.9235,
266.581,5700.2474,
263.670,5843.6075,
260.760,5889.1791,
257.849,5901.7253,
254.939,5926.6773,
252.028,5976.9453,
249.117,6024.3233,
246.207,6063.3035,
243.296,6083.8005,
240.386,6030.4957,
237.475,6002.9209,
234.565,6002.664,
231.654,5981.4829,
228.743,5925.2169,
225.833,5855.2908,
222.922,5782.7962,
220.012,5778.4248,
217.101,5719.0955,
214.191,5680.6375,
211.280,5752.6563,
208.369,5666.4974,
205.459,5647.1528,
202.548,5671.8384,
199.638,5595.6452,
196.727,5623.7924,
193.816,5648.7755,
190.906,5631.5683,
187.995,5619.2599,
185.085,5643.3713,
182.174,5673.4329,
179.264,5667.6508,
176.353,5647.7766,
173.442,5616.6968,
170.532,5579.6559,
167.621,5568.1203,
164.711,5493.5228,
161.800,5345.44,
158.890,5100.7327,
155.979,4757.5995,
153.068,4350.7278,
150.158,3884.2444,
147.247,3350.8059,
144.337,2798.7143,
141.426,2213.1255,
138.516,1582.2612,
135.605,1134.6598,
132.694,781.77866,
129.784,513.73946,
126.873,332.81161,
123.963,228.84972,
121.052,158.73633,
118.141,110.191,
115.231,86.551178,
112.320,72.763641,
109.410,63.863829,
106.499,47.484259,
103.589,49.04229,
100.678,49.74054,
97.767,41.209289,
94.857,38.228044,
91.946,35.387557,
89.036,32.322613,
86.125,28.067381,
83.215,27.53092,
80.304,29.197163,
77.393,32.738013,
74.483,33,
71.572,25.752958,
68.662,13.346337,
65.751,16.878593,
62.840,18.481702,
59.930,20.872862,
57.019,27.923682,
54.109,18.848266,
51.198,13.206437,
48.288,15.97735,
45.377,13.163838,
42.466,14.061097,
39.556,16.654644,
36.645,14.548074,
33.735,12.961503,
30.824,11.337339,
27.914,9.2338133,
25.003,7.1320876,
22.092,6,
19.182,5.7940542,
16.271,-0.50135696,
13.361,13.436861,
10.450,-5.345277,
7.539,-245.56576,
4.629,-618.31131,
1.718,-972.9313,
-1.192,-1181.3775,
-4.103,-850.69034,
-7.013,-431.20211,
-9.924,1,
