,PLCF6D~1,
Raman shift [1/cm],Intensity,
327.703,6489.7597,
324.793,6513.6257,
321.882,6490.0012,
318.971,6542.0422,
316.061,6553.0386,
313.150,6558.1154,
310.240,6597.4476,
307.329,6684.6314,
304.418,6653.6737,
301.508,6574.1027,
298.597,6567.4389,
295.687,6630.5356,
292.776,6672.5417,
289.866,6726.7078,
286.955,6906.2181,
284.044,7068.4949,
281.134,7232.6709,
278.223,7395.8444,
275.313,7525.531,
272.402,7615.0316,
269.492,7733.068,
266.581,7896.8132,
263.670,7979.8886,
260.760,8079.0982,
257.849,8168.1485,
254.939,8226.1253,
252.028,8271.0295,
249.117,8279.1953,
246.207,8299.1807,
243.296,8416.3066,
240.386,8445.1998,
237.475,8426.2135,
234.565,8376.6985,
231.654,8343.8312,
228.743,8235.6102,
225.833,8143.8008,
222.922,8105.1808,
220.012,8111.7378,
217.101,8117.8007,
214.191,8116.8481,
211.280,8100.1165,
208.369,8067.9256,
205.459,8043.293,
202.548,8050.3096,
199.638,8174.3956,
196.727,8210.8231,
193.816,8191.4819,
190.906,8129.3733,
187.995,8172.0907,
185.085,8216.6649,
182.174,8242.2355,
179.264,8214.0477,
176.353,8285.2054,
173.442,8321.4366,
170.532,8307.0026,
167.621,8265.186,
164.711,8163.4774,
161.800,7970.7894,
158.890,7645.4725,
155.979,7190.9747,
153.068,6619.9784,
150.158,5928.2981,
147.247,5066.7554,
144.337,4203.4773,
141.426,3339.6718,
138.516,2475.8179,
135.605,1771.3835,
132.694,1210.6666,
129.784,786.72631,
126.873,524.27365,
123.963,357.63004,
121.052,242.69621,
118.141,169.1643,
115.231,138.32047,
112.320,111.47138,
109.410,89.28425,
106.499,75.753301,
103.589,73.435254,
100.678,71.702026,
97.767,66.014526,
94.857,56.173153,
91.946,49.859446,
89.036,46.084715,
86.125,41.120278,
83.215,37.751319,
80.304,35.396135,
77.393,33.979795,
74.483,34.530135,
71.572,32.700887,
68.662,28.736465,
65.751,27.323563,
62.840,26.875,
59.930,27.436859,
57.019,29.552105,
54.109,25.694874,
51.198,22.271781,
48.288,20.835363,
45.377,15.911716,
42.466,19.646071,
