,PL12AC~1,
Wavenumbers [1/cm],Intensity,
877.802,6702.6504,
874.892,6586.8683,
871.981,6345.2986,
869.071,6103.8643,
866.160,6229.6602,
863.250,6414.0342,
860.339,6535.5524,
857.428,6577.5305,
854.518,6578.4635,
851.607,6387.0876,
848.697,6173.1041,
845.786,6132.5173,
842.875,6235.6665,
839.965,6376.4763,
837.054,6469.4976,
834.144,6424.745,
831.233,6389.3353,
828.323,6372.0434,
825.412,6364.7804,
822.501,6333.5739,
819.591,6198.0444,
816.680,6113.0704,
813.770,6030.9762,
810.859,5957.4495,
807.949,5891.2267,
805.038,5836.0907,
802.127,5853.3764,
799.217,5816.2397,
796.306,5776.8917,
793.396,5744.5419,
790.485,5714.6816,
787.574,5682.1341,
784.664,5843.6962,
781.753,5868.3031,
778.843,5904.7165,
775.932,5984.1969,
773.022,6050.4444,
770.111,5911.4561,
767.200,5885.2511,
764.290,5880.5779,
761.379,5858.5496,
758.469,5815.2108,
755.558,5782.0729,
752.648,5784.5167,
749.737,5737.9992,
746.826,5693.8849,
743.916,5640.1684,
741.005,5541.8599,
738.095,5398.9696,
735.184,5269.0206,
732.274,5238.7251,
729.363,5327.3156,
726.452,5499.5346,
723.542,5629.8469,
720.631,5724.1574,
717.721,5771.0496,
714.810,5816.4543,
711.899,5878.4159,
708.989,5931.6729,
706.078,5919.1792,
703.168,5876.5306,
700.257,5809.3302,
697.347,5755.4342,
694.436,5775.1746,
691.525,5781.605,
688.615,5777.9687,
685.704,5795.7213,
682.794,5810.8299,
679.883,5776.1542,
676.973,5890.7502,
674.062,5899.3241,
671.151,5868.2068,
668.241,5828.2788,
665.330,5793.2815,
662.420,5778.1056,
659.509,5787.0637,
656.598,5819.965,
653.688,5880.2249,
650.777,5969.8632,
647.867,6024.8098,
644.956,5957.7488,
642.046,5827.3242,
639.135,5708.4366,
636.224,5695.3342,
633.314,5762.025,
630.403,5738.7977,
627.493,5732.5082,
624.582,5762.4091,
621.672,5741.8173,
618.761,5703.763,
615.850,5739.9359,
612.940,5780.7077,
610.029,5786.6305,
607.119,5802.4231,
604.208,5823.1704,
601.297,5779.6527,
598.387,5735.1658,
595.476,5756.8625,
592.566,5797.7901,
589.655,5703.2813,
586.745,5672.3022,
583.834,5702.0237,
580.923,5694.7346,
578.013,5650.7895,
575.102,5672.8417,
572.192,5704.4311,
569.281,5721.9052,
566.371,5754.7754,
563.460,5743.1852,
560.549,5753.5675,
557.639,5791.4108,
554.728,5846.5566,
551.818,5839.5337,
548.907,5914.7861,
545.996,5957.0018,
543.086,5953.3816,
540.175,5987.642,
537.265,5946.5432,
534.354,5937.0237,
531.444,5971.0298,
