,PLAA27~1,
Raman shift [1/cm],Intensity,
266.581,4738.8841,
263.670,4835.1927,
260.760,4896.4325,
257.849,4936.4952,
254.939,4963.6489,
252.028,5008.8784,
249.117,4973.008,
246.207,4927.994,
243.296,4997.5375,
240.386,4957.9846,
237.475,4920.3218,
234.565,4877.6834,
231.654,4735.989,
228.743,4707.1507,
225.833,4656.4725,
222.922,4537.8109,
220.012,4512.3115,
217.101,4444.6234,
214.191,4382.5629,
211.280,4381.108,
208.369,4313.0459,
205.459,4275.209,
202.548,4275.6463,
199.638,4319.9109,
196.727,4270.8022,
193.816,4240.944,
190.906,4269.781,
187.995,4235.0279,
185.085,4231.9843,
182.174,4266.8772,
179.264,4358.6685,
176.353,4352.3397,
173.442,4364.0284,
170.532,4393.3554,
167.621,4327.7466,
164.711,4253.2387,
161.800,4158.9912,
158.890,4033.0389,
155.979,3833.2265,
153.068,3524.0343,
150.158,3135.1169,
147.247,2759.6279,
144.337,2300.7088,
141.426,1825.1673,
138.516,1361.3386,
135.605,966.63167,
132.694,663.17428,
129.784,438.89614,
126.873,284.42809,
123.963,198.36927,
121.052,141.1358,
118.141,101.15729,
115.231,77.551178,
112.320,57.832738,
109.410,43.590934,
106.499,41.454469,
103.589,39.319237,
100.678,35.555405,
97.767,29.156966,
94.857,29,
91.946,26.581335,
89.036,22.548408,
86.125,19.711587,
83.215,16.345398,
80.304,14,
77.393,14,
74.483,24.482159,
71.572,25.651775,
68.662,17.376593,
65.751,11.018533,
62.840,9.963404,
59.930,10.812714,
57.019,10.107632,
54.109,9.4028392,
51.198,8.3967814,
48.288,7,
45.377,7,
42.466,8.236658,
39.556,10.230237,
36.645,11.634618,
33.735,8.8845092,
30.824,6,
27.914,6,
25.003,14.716925,
22.092,18.062573,
19.182,14.068649,
16.271,16.167119,
13.361,78.532865,
10.450,193.76858,
7.539,372.53731,
4.629,353.94305,
1.718,188.22964,
-1.192,-153.37118,
-4.103,-179.98525,
-7.013,-117.62022,
-9.924,4.2194735E-17,
