,PL93DE~1,
Raman shift [1/cm],Intensity,
639.135,2431.4269,
636.224,2437.8694,
633.314,2461.6875,
630.403,2496.7193,
627.493,2504.8437,
624.582,2491.4003,
621.672,2516.7441,
618.761,2513.9503,
615.850,2541.9524,
612.940,2578.3868,
610.029,2598.0152,
607.119,2569.5885,
604.208,2559.6499,
601.297,2546.2811,
598.387,2544.6356,
595.476,2562.0704,
592.566,2512.4851,
589.655,2547.1586,
586.745,2555.5611,
583.834,2516.207,
580.923,2446.6221,
578.013,2425.4342,
575.102,2436.9576,
572.192,2470.1152,
569.281,2505.9064,
566.371,2501.2107,
563.460,2528.9687,
560.549,2540.2627,
557.639,2542.7042,
554.728,2552.1296,
551.818,2573.9784,
548.907,2622.6277,
545.996,2644.5294,
543.086,2631.7303,
540.175,2617.7146,
537.265,2625.4414,
534.354,2626.7432,
531.444,2638.4042,
528.533,2674.0259,
525.622,2677.9056,
522.712,2668.4352,
519.801,2690.7729,
516.891,2738.5325,
513.980,2742.404,
511.070,2780.0804,
508.159,2814.8527,
505.248,2845.5141,
502.338,2875.4729,
499.427,2900.1716,
496.517,2937.2954,
493.606,2958.0581,
490.695,2954.4618,
487.785,2966.7784,
484.874,2999.7687,
481.964,3030.8695,
479.053,3030.8933,
476.143,2947.9534,
473.232,2948.5052,
470.321,2959.995,
467.411,2960.1261,
464.500,2932.0991,
461.590,2945.8824,
458.679,2966.8091,
455.769,2969.4077,
452.858,2945.0681,
449.947,2948.1239,
447.037,2990.6165,
444.126,3012.2045,
441.216,3002.3531,
438.305,3000.0673,
435.395,2989.9155,
432.484,2979.3322,
429.573,2976.7201,
426.663,2998.004,
423.752,2949.5358,
420.842,2902.6323,
417.931,2872.5345,
415.020,2871.7762,
412.110,2966.8597,
409.199,3038.9138,
406.289,3081.6857,
403.378,3093.6347,
400.468,3059.615,
397.557,3026.1274,
394.646,3015.2545,
391.736,3040.925,
388.825,2952.68,
385.915,2906.5266,
383.004,2902.4561,
380.094,2942.3548,
377.183,3052.2163,
374.272,3141.3703,
371.362,3192.2216,
368.451,3197.6648,
365.541,3229.1873,
362.630,3267.247,
359.719,3303.2927,
356.809,3330.3422,
353.898,3323.603,
350.988,3342.907,
348.077,3350.0049,
345.167,3324.2419,
342.256,3333.9538,
339.345,3341.5329,
336.435,3357.1313,
333.524,3386.3272,
330.614,3372.9144,
327.703,3384.6656,
324.793,3410.5772,
321.882,3441.7644,
318.971,3447.712,
316.061,3469.2826,
313.150,3484.9,
310.240,3469.3156,
307.329,3504.4818,
304.418,3540.6358,
301.508,3563.0085,
298.597,3548.9405,
295.687,3486.7984,
292.776,3527.3337,
289.866,3670.2116,
286.955,3885.9195,
284.044,4057.1649,
281.134,4218.7322,
278.223,4374.2583,
275.313,4507.6291,
272.402,4615.3337,
269.492,4721.8622,
266.581,4831.1132,
263.670,4878.1648,
260.760,4946.0779,
257.849,5030.138,
254.939,5128.4783,
252.028,5186.9337,
249.117,5163.0673,
246.207,5107.2347,
243.296,5101.3784,
240.386,5134.7056,
237.475,5097.4271,
234.565,4996.5564,
231.654,4919.1357,
228.743,4854.9945,
