,PL02EB~1,
Raman shift [1/cm],Intensity,
231.654,9188.4858,
228.743,9050.1911,
225.833,8965.266,
222.922,8990.0648,
220.012,8940.523,
217.101,8821.3247,
214.191,8728.1443,
211.280,8773.9745,
208.369,8722.8771,
205.459,8632.8942,
202.548,8556.1773,
199.638,8665.0247,
196.727,8688.5274,
193.816,8697.2016,
190.906,8717.6351,
187.995,8782.0733,
185.085,8805.7936,
182.174,8786.2196,
179.264,8708.1609,
176.353,8739.1033,
173.442,8755.2115,
170.532,8728.4137,
167.621,8591.4283,
164.711,8489.2046,
161.800,8287.0942,
158.890,7867.4931,
155.979,7395.4652,
153.068,6784.5755,
150.158,6048.0504,
147.247,5217.3796,
144.337,4264.5057,
141.426,3340.3884,
138.516,2518.831,
135.605,1789.3976,
132.694,1216.8951,
129.784,790.52946,
126.873,524.50116,
123.963,353.71562,
121.052,239.87897,
118.141,175.62779,
115.231,140.55705,
112.320,118.74955,
109.410,104.96612,
106.499,87.162238,
103.589,74.410928,
100.678,65.473648,
97.767,60.497085,
94.857,52.059131,
91.946,47.971889,
89.036,47.826592,
86.125,50.663413,
83.215,49.782239,
80.304,45.262375,
77.393,36.056166,
74.483,32.75446,
71.572,32.099704,
68.662,32.405255,
65.751,22.51494,
62.840,26.60053,
59.930,33.063997,
57.019,28.128423,
54.109,22.597713,
51.198,19.978219,
48.288,21.448612,
45.377,30.592527,
42.466,31.077245,
39.556,26.029644,
36.645,23.923074,
33.735,22.336503,
30.824,21.816774,
27.914,23.219124,
25.003,25.86555,
22.092,26.083382,
19.182,23.69536,
16.271,33.488222,
13.361,144.84678,
10.450,334.6818,
7.539,580.4888,
4.629,662.44637,
1.718,555.57492,
-1.192,151.92823,
-4.103,15.301272,
-7.013,-27.464105,
-9.924,0.375,
