,PL041B~1,
Raman shift [1/cm],Intensity,
27.914,1.6235023,
25.003,2.245275,
22.092,2.3541909,
19.182,1.1372972,
16.271,5.334238,
13.361,61.789537,
10.450,135.67791,
7.539,127.99644,
4.629,-98.085039,
1.718,-403.57623,
-1.192,-715.19983,
-4.103,-527.73161,
-7.013,-266.07954,
-9.924,-3,
