,PL718D~1,
Raman shift [1/cm],Intensity,
33.735,10.028758,
30.824,8.7294349,
27.914,12.235311,
25.003,6.3986252,
22.092,2.625,
19.182,3.1513058,
16.271,19.239579,
13.361,71.142461,
10.450,127.01456,
7.539,88.607218,
4.629,-174.89056,
1.718,-504.31634,
-1.192,-804.08849,
-4.103,-619.96797,
-7.013,-332.2684,
-9.924,-2.375,
