,PLF44C~1,
Wavenumbers [1/cm],Intensity,
493.606,7645.5183,
490.695,7658.339,
487.785,7659.8786,
484.874,7729.271,
481.964,7772.5236,
479.053,7766.7034,
476.143,7710.6421,
473.232,7661.0832,
470.321,7666.4807,
467.411,7680.4881,
464.500,7652.034,
461.590,7766.895,
458.679,7841.4977,
455.769,7896.6042,
452.858,7950.9078,
449.947,8044.8713,
447.037,8110.2388,
444.126,8172.6583,
441.216,8233.152,
438.305,8262.1054,
435.395,8254.9792,
432.484,8269.5459,
429.573,8284.2798,
426.663,8224.9889,
423.752,7778.6588,
420.842,7285.7122,
417.931,6924.7548,
415.020,6916.4129,
412.110,7773.5756,
409.199,8338.0025,
406.289,8569.3615,
403.378,8477.7101,
400.468,8355.239,
397.557,8459.5727,
394.646,8638.759,
391.736,8759.1049,
388.825,8820.9518,
385.915,8836.9962,
383.004,8862.8227,
380.094,8939.4189,
377.183,9082.3894,
374.272,9169.3469,
371.362,9204.4158,
368.451,9196.4532,
365.541,9251.2423,
362.630,9306.5468,
359.719,9336.8694,
356.809,9332.7044,
353.898,9391.8595,
350.988,9437.9618,
348.077,9442.506,
345.167,9395.0388,
342.256,9452.5631,
339.345,9485.5994,
336.435,9515.3926,
333.524,9554.9841,
330.614,9550.5131,
327.703,9579.9293,
324.793,9626.6548,
321.882,9677.2548,
318.971,9730.7827,
316.061,9837.9982,
313.150,9949.3702,
310.240,10007.997,
307.329,10072.298,
304.418,10105.332,
301.508,10107.248,
298.597,10077.631,
295.687,10066.321,
292.776,10097.542,
289.866,10175.772,
286.955,10311.698,
284.044,10427.897,
281.134,10544.112,
278.223,10652.053,
275.313,10692.58,
272.402,10787.68,
269.492,10791.19,
266.581,10664.388,
263.670,10668.064,
260.760,10798.676,
257.849,10994.883,
254.939,11217.249,
252.028,11230.259,
249.117,11272.499,
246.207,11343.885,
243.296,11443.442,
240.386,11497.875,
237.475,11592.584,
234.565,11708.62,
231.654,11718.115,
228.743,11713.796,
225.833,11721.016,
222.922,11750.061,
220.012,11791.589,
217.101,11879.223,
214.191,11957.218,
211.280,11960.855,
208.369,12027.734,
205.459,12091.666,
202.548,12127.718,
199.638,12061.684,
196.727,12052.735,
193.816,12106.998,
190.906,12222.408,
187.995,12144.937,
185.085,12159.736,
182.174,12235.703,
179.264,12344.841,
176.353,12252.678,
173.442,12235.094,
170.532,12294.608,
167.621,12187.183,
164.711,11982.585,
161.800,11655.285,
158.890,11160.832,
155.979,10519.515,
153.068,9739.8995,
150.158,8807.681,
147.247,7629.5214,
144.337,6357.7979,
141.426,5066.5045,
138.516,3786.8537,
135.605,2707.3796,
132.694,1846.4289,
129.784,1196.8898,
126.873,805.71373,
123.963,546.86791,
121.052,373.44753,
118.141,278.49857,
115.231,209.19968,
112.320,165.87411,
109.410,141.30705,
106.499,121.36671,
103.589,116.56475,
100.678,107.43311,
97.767,84.683103,
94.857,77.888099,
91.946,75.528111,
89.036,75.108919,
86.125,68.726071,
83.215,60.223035,
80.304,53.646135,
77.393,52.229795,
74.483,47.539055,
71.572,45.849704,
68.662,47.817675,
65.751,54.882186,
62.840,44.600748,
59.930,34.683438,
57.019,48.079995,
54.109,35.79314,
51.198,28.537874,
48.288,34.108013,
45.377,31.997878,
42.466,30.712781,
39.556,29.204051,
36.645,23.58653,
33.735,22.125,
30.824,21.241452,
27.914,18.436751,
25.003,21.238187,
22.092,21.833382,
19.182,18.598694,
16.271,2.5104211,
13.361,-79.737436,
10.450,-243.00836,
7.539,-586.57952,
4.629,-962.95169,
1.718,-1169.2266,
-1.192,-964.96325,
-4.103,-644.1553,
-7.013,-317.36896,
-9.924,-4.875,
