,PLECFE~1,
Wavenumbers [1/cm],Intensity,
1206.698,3270.0479,
1203.787,3268.3379,
1200.877,3229.6594,
1197.966,3341.1551,
1195.055,3413.3034,
1192.145,3505.1437,
1189.234,3653.0742,
1186.324,3722.023,
1183.413,3732.2576,
1180.503,3742.7618,
1177.592,3738.2448,
1174.681,3709.0206,
1171.771,3656.3476,
1168.860,3682.2472,
1165.950,3668.6242,
1163.039,3624.2426,
1160.129,3609.6993,
1157.218,3608.8656,
1154.307,3592.7641,
1151.397,3568.6646,
1148.486,3564.6981,
1145.576,3573.8226,
1142.665,3529.427,
1139.754,3514.3592,
1136.844,3459.2273,
1133.933,3422.6739,
1131.023,3424.5524,
1128.112,3430.9653,
1125.202,3420.9239,
1122.291,3429.5047,
1119.380,3441.3343,
1116.470,3398.9729,
1113.559,3404.5755,
1110.649,3427.3954,
1107.738,3418.4605,
1104.828,3393.428,
1101.917,3371.0987,
1099.006,3348.9046,
1096.096,3362.7824,
1093.185,3346.9784,
1090.275,3425.8678,
1087.364,3448.1806,
1084.453,3475.0609,
1081.543,3519.7286,
1078.632,3547.6759,
1075.722,3535.741,
1072.811,3524.7977,
1069.901,3553.6153,
1066.990,3547.6667,
1064.079,3480.4207,
1061.169,3474.6036,
1058.258,3501.5258,
1055.348,3510.456,
1052.437,3517.7854,
1049.527,3559.992,
1046.616,3592.1386,
1043.705,3578.7932,
1040.795,3568.642,
1037.884,3582.9451,
1034.974,3593.7912,
1032.063,3600.4417,
1029.153,3654.7886,
1026.242,3663.4382,
1023.331,3671.2495,
1020.421,3717.3645,
1017.510,3735.0692,
1014.600,3770.5449,
1011.689,3816.4739,
1008.778,3807.8026,
1005.868,3820.7153,
1002.957,3928.2596,
1000.047,4091.0781,
997.136,4215.6418,
994.226,4314.7185,
991.315,4369.1386,
988.404,4352.5607,
985.494,4356.0403,
982.583,4324.3478,
979.673,4307.312,
976.762,4314.492,
973.852,4354.1327,
970.941,4380.7092,
968.030,4358.1663,
965.120,4405.8323,
962.209,4425.4408,
959.299,4410.3355,
956.388,4412.8294,
953.477,4421.9831,
950.567,4435.7755,
947.656,4474.095,
944.746,4507.2277,
941.835,4441.5355,
938.925,4440.8852,
936.014,4416.3771,
933.103,4384.75,
930.193,4367.9704,
927.282,4299.6043,
924.372,4278.4641,
921.461,4196.9552,
918.551,4148.9983,
915.640,4101.6044,
912.729,4021.5953,
909.819,3930.5318,
906.908,3966.7561,
903.998,3979.8851,
901.087,3945.8326,
898.176,3985.831,
895.266,4043.8628,
892.355,4040.613,
889.445,4125.379,
886.534,4160.8146,
883.624,4205.4286,
880.713,4238.04,
877.802,4231.6013,
874.892,4130.8744,
871.981,3848.5935,
869.071,3714.9275,
866.160,3840.0913,
863.250,4022.5988,
860.339,4123.0963,
857.428,4119.5327,
854.518,4135.3208,
851.607,3982.22,
848.697,3862.2069,
845.786,3825.4586,
842.875,3861.5103,
839.965,3942.639,
837.054,4051.9268,
834.144,4067.6731,
831.233,4056.0844,
828.323,4011.6571,
825.412,3985.0187,
822.501,3990.1325,
819.591,3886.8326,
816.680,3826.0576,
813.770,3778.5454,
