,PLD8DD~1,
Wavenumbers [1/cm],Intensity,
927.282,7165.5585,
924.372,7143.5727,
921.461,7007.4616,
918.551,6886.5524,
915.640,6787.0062,
912.729,6699.5979,
909.819,6629.0794,
906.908,6593.6975,
903.998,6548.8003,
901.087,6583.5784,
898.176,6656.5151,
895.266,6730.9201,
892.355,6776.8235,
889.445,6755.8418,
886.534,6885.1551,
883.624,6976.0147,
880.713,7054.1924,
877.802,7030.3138,
874.892,6850.6406,
871.981,6618.8377,
869.071,6410.8199,
866.160,6478.2439,
863.250,6707.1726,
860.339,6862.7267,
857.428,6832.8888,
854.518,6781.3538,
851.607,6733.0938,
848.697,6488.1409,
845.786,6391.1293,
842.875,6485.6903,
839.965,6659.9155,
837.054,6734.2338,
834.144,6777.3289,
831.233,6780.4171,
828.323,6724.3362,
825.412,6662.6668,
822.501,6633.7497,
819.591,6556.0681,
816.680,6447.1793,
813.770,6304.2205,
810.859,6201.3582,
807.949,6154.9622,
805.038,6136.6637,
802.127,6111.1468,
799.217,6116.9493,
796.306,6087.966,
793.396,6060.2461,
790.485,6052.223,
787.574,6046.6422,
784.664,6149.1562,
781.753,6201.9702,
778.843,6266.7781,
775.932,6323.54,
773.022,6334.4389,
770.111,6306.6412,
767.200,6251.4581,
764.290,6220.3031,
761.379,6204.2359,
758.469,6171.2658,
755.558,6080.0143,
752.648,6122.3737,
749.737,6077.2213,
746.826,6037.5607,
743.916,5995.1522,
741.005,5896.2823,
738.095,5697.3725,
735.184,5584.3675,
732.274,5581.8815,
729.363,5706.567,
726.452,5904.2748,
723.542,5962.5511,
720.631,6055.2011,
717.721,6096.4983,
714.810,6139.8691,
711.899,6189.9876,
708.989,6173.8491,
706.078,6165.737,
703.168,6137.6395,
700.257,6093.1077,
697.347,6056.7932,
694.436,6067.379,
691.525,6053.7143,
688.615,6046.9765,
685.704,6052.0888,
682.794,6081.4094,
679.883,6147.0476,
676.973,6175.8969,
674.062,6192.5974,
671.151,6200.9417,
668.241,6178.0192,
665.330,6093.3298,
662.420,6042.2109,
659.509,6076.1952,
656.598,6105.212,
653.688,6167.2606,
650.777,6358.8859,
647.867,6333.4034,
644.956,6260.8818,
642.046,6154.6581,
639.135,6057.5098,
636.224,6037.8694,
633.314,6061.6875,
630.403,6073.0709,
627.493,6084.8156,
624.582,6093.6889,
621.672,6075.473,
618.761,6063.3509,
615.850,6082.3405,
612.940,6120.2175,
610.029,6150.5163,
607.119,6107.0866,
604.208,6099.1999,
601.297,6090.7708,
598.387,6084.3233,
595.476,6089.5382,
592.566,6129.6787,
589.655,6055.1158,
586.745,5995.9951,
583.834,5978.2871,
580.923,5983.8732,
578.013,6004.2763,
575.102,5988.5272,
572.192,5996.6881,
569.281,6046.2176,
566.371,6082.2183,
563.460,6111.8523,
560.549,6111.0553,
557.639,6097.4072,
554.728,6097.4946,
551.818,6156.7986,
548.907,6204.4866,
545.996,6243.8567,
543.086,6268.7368,
540.175,6259.3931,
537.265,6258.75,
534.354,6292.865,
531.444,6318.1116,
528.533,6300.5509,
525.622,6368.0583,
522.712,6464.0549,
519.801,6551.883,
516.891,6625.9655,
513.980,6711.1381,
511.070,6739.8804,
508.159,6814.1766,
505.248,6914.041,
502.338,7002.4325,
499.427,7128.2411,
496.517,7257.9115,
493.606,7343.5272,
490.695,7375.5227,
487.785,7438.6456,
484.874,7452.6273,
481.964,7429.0027,
479.053,7393.3016,
476.143,7395.6055,
473.232,7378.4843,
470.321,7395.1057,
467.411,7412.4055,
464.500,7392.1075,
461.590,7445.7093,
458.679,7516.3298,
455.769,7617.2013,
452.858,7735.2049,
449.947,7710.7591,
447.037,7763.999,
444.126,7852.7682,
441.216,7952.4497,
438.305,8025.5951,
435.395,8021.9816,
432.484,8036.4211,
429.573,8064.0875,
426.663,8052.6854,
423.752,7704.4353,
420.842,7299.3759,
417.931,7003.8605,
415.020,7028.8863,
412.110,7753.3154,
409.199,8214.3488,
406.289,8409.8947,
403.378,8382.102,
400.468,8190.8354,
397.557,8249.0327,
394.646,8438.7828,
391.736,8645.3838,
388.825,8571.4691,
385.915,8581.6816,
383.004,8642.3019,
380.094,8729.0861,
377.183,8833.6803,
374.272,8906.7152,
371.362,8945.8103,
368.451,8952.984,
365.541,8989.7602,
362.630,9047.2729,
359.719,9097.1089,
356.809,9121.2063,
353.898,9112.2207,
350.988,9076.1158,
348.077,9064.3033,
345.167,9106.1501,
342.256,9133.7917,
339.345,9134.8414,
336.435,9129.5828,
333.524,9133.8874,
330.614,9201.6966,
327.703,9223.2634,
324.793,9232.2571,
321.882,9256.9465,
318.971,9337.9818,
316.061,9427.2776,
313.150,9525.9309,
310.240,9635.764,
307.329,9674.7672,
304.418,9682.8226,
301.508,9679.4915,
298.597,9693.5595,
295.687,9648.6977,
292.776,9677.5836,
289.866,9767.7442,
286.955,9857.8688,
284.044,9982.0699,
281.134,10101.923,
278.223,10203.618,
275.313,10257.408,
272.402,10343.106,
269.492,10357.777,
266.581,10275.116,
263.670,10294.231,
260.760,10376.54,
257.849,10520.659,
254.939,10732.017,
252.028,10710.139,
