,PLBFB8~1,
Wavenumbers [1/cm],Intensity,
310.240,5632.3205,
307.329,5700.5862,
304.418,5731.6845,
301.508,5721.3711,
298.597,5662.1378,
295.687,5586.0148,
292.776,5600.4586,
289.866,5686.3408,
286.955,5772.7717,
284.044,5865.4524,
281.134,5932.4908,
278.223,5968.095,
275.313,5974.7267,
272.402,5976.7059,
269.492,5964.134,
266.581,5934.9163,
263.670,5918.0072,
260.760,6016.0345,
257.849,6124.2395,
254.939,6164.603,
252.028,6241.8526,
249.117,6273.4091,
246.207,6269.3062,
243.296,6242.9529,
240.386,6310.6481,
237.475,6361.9557,
234.565,6380.5589,
231.654,6357.9171,
228.743,6332.4117,
225.833,6324.1376,
222.922,6336.9994,
220.012,6269.9723,
217.101,6291.308,
214.191,6333.5023,
211.280,6324.7727,
208.369,6324.125,
205.459,6331.3115,
202.548,6338.3645,
199.638,6316.5951,
196.727,6360.5271,
193.816,6400.6403,
190.906,6411.5059,
187.995,6422.3663,
185.085,6414.7765,
182.174,6428.5693,
179.264,6526.1427,
176.353,6567.8824,
173.442,6575.6985,
170.532,6549.6322,
167.621,6468.162,
164.711,6368.8665,
161.800,6191.4801,
158.890,5876.2394,
155.979,5642.7019,
153.068,5278.5698,
150.158,4782.9789,
147.247,4159.0784,
144.337,3420.6628,
141.426,2696.9288,
138.516,2049.576,
135.605,1468.6916,
132.694,1003.2648,
129.784,652.68336,
126.873,450.30162,
123.963,303.84703,
121.052,199.76213,
118.141,138.36656,
115.231,113.25504,
112.320,89.992286,
109.410,71.306868,
106.499,67.033937,
103.589,62.763473,
100.678,54.964188,
97.767,41.456374,
94.857,39.739022,
91.946,41.543665,
89.036,43.318633,
86.125,31.971349,
83.215,30.717761,
80.304,29.49124,
77.393,21.701371,
74.483,21.780135,
71.572,24.299113,
68.662,28.194267,
65.751,28.900719,
62.840,26.71649,
59.930,23.937714,
57.019,23.232632,
54.109,12.973266,
51.198,8.8394835,
48.288,15.108013,
45.377,12.997878,
42.466,12.537219,
39.556,12.31917,
36.645,7.4038384,
