,PL5BD3~1,
Raman shift [1/cm],Intensity,
519.801,981.52289,
516.891,1027.4045,
513.980,1021.9844,
511.070,1017.2739,
508.159,1041.7662,
505.248,1070.7504,
502.338,1072.3133,
499.427,1100.0993,
496.517,1097.8838,
493.606,1097.5663,
490.695,1111.393,
487.785,1110.6232,
484.874,1113.0849,
481.964,1125.7125,
479.053,1134.8811,
476.143,1107.2345,
473.232,1088.2343,
470.321,1090.2584,
467.411,1096.9674,
464.500,1089.6745,
461.590,1096.5662,
458.679,1097.3994,
455.769,1099.3356,
452.858,1105.7386,
449.947,1108.0304,
447.037,1098.1851,
444.126,1108.5061,
441.216,1140.1458,
438.305,1155.3844,
435.395,1158.8113,
432.484,1156.5827,
429.573,1158.7126,
426.663,1185.3175,
423.752,1193.0794,
420.842,1213.7674,
417.931,1234.2072,
415.020,1229.657,
412.110,1222.9155,
409.199,1222.945,
406.289,1241.9806,
403.378,1292.3438,
400.468,1246.2281,
397.557,1232.5283,
394.646,1217.0699,
391.736,1172.9588,
388.825,1187.2891,
385.915,1166.4869,
383.004,1147.3554,
380.094,1156.3811,
377.183,1193.2524,
374.272,1249.0936,
371.362,1283.6737,
368.451,1275.5486,
365.541,1292.8109,
362.630,1277.8353,
359.719,1262.9798,
356.809,1267.7233,
353.898,1287.9409,
350.988,1291.8725,
348.077,1292.8233,
345.167,1298.273,
342.256,1293.7905,
339.345,1288.2485,
336.435,1283.9448,
333.524,1283.2986,
330.614,1308.6339,
327.703,1322.1475,
324.793,1314.0949,
321.882,1275.5541,
318.971,1297.8574,
316.061,1312.8247,
313.150,1312.4167,
310.240,1286.4426,
307.329,1336.9539,
304.418,1322.8476,
301.508,1279.1369,
298.597,1270.2519,
295.687,1264.0821,
292.776,1268.5834,
289.866,1287.6857,
286.955,1331.2705,
284.044,1380.51,
281.134,1444.3802,
278.223,1510.7156,
275.313,1512.1893,
272.402,1526.4417,
269.492,1556.7786,
266.581,1603.6005,
263.670,1646.9761,
260.760,1652.1866,
257.849,1649.606,
254.939,1661.3482,
252.028,1639.0608,
249.117,1644.2048,
246.207,1654.2494,
243.296,1630.0922,
240.386,1648.3957,
237.475,1643.7483,
234.565,1613.2084,
231.654,1579.6108,
228.743,1547.7592,
225.833,1527.0608,
222.922,1522.1455,
220.012,1535.9881,
217.101,1520.3807,
214.191,1487.6977,
211.280,1448.4148,
208.369,1440.7903,
205.459,1478.0258,
202.548,1531.1072,
199.638,1494.0991,
196.727,1499.1768,
193.816,1515.7245,
190.906,1530.5954,
187.995,1476.2935,
185.085,1495.8013,
182.174,1536.9329,
179.264,1531.1508,
176.353,1509.9951,
173.442,1514.4525,
170.532,1542.164,
167.621,1539.2801,
164.711,1506.4404,
161.800,1462.7541,
158.890,1419.5705,
155.979,1325.0639,
