,PLFA52~1,
Raman shift [1/cm],Intensity,
429.573,5875.9325,
426.663,5885.8144,
423.752,5943.8134,
420.842,5893.7285,
417.931,5833.9288,
415.020,5937.0655,
412.110,6019.6392,
409.199,6070.6299,
406.289,6098.0526,
403.378,6111.6762,
400.468,6126.7961,
397.557,6114.6581,
394.646,6111.0149,
391.736,6144.6009,
388.825,6143.8466,
385.915,6111.6934,
383.004,6104.1841,
380.094,6158.6193,
377.183,6217.3125,
374.272,6309.6143,
371.362,6368.9158,
368.451,6365.2387,
365.541,6490.5782,
362.630,6538.8273,
359.719,6533.7548,
356.809,6501.4182,
353.898,6630.2114,
350.988,6627.1084,
348.077,6592.8825,
345.167,6590.5549,
342.256,6628.6554,
339.345,6663.5395,
336.435,6672.6885,
333.524,6643.8798,
330.614,6715.4148,
327.703,6749.4333,
324.793,6757.7893,
321.882,6749.8035,
318.971,6823.4043,
316.061,6881.8304,
313.150,6924.7083,
310.240,6950.6824,
307.329,7039.5253,
304.418,7127.0596,
301.508,7173.0834,
298.597,7110.8884,
295.687,7120.5243,
292.776,7231.3756,
289.866,7413.6793,
286.955,7589.496,
284.044,7808.1698,
281.134,7993.5717,
278.223,8138.8578,
275.313,8284.0183,
272.402,8436.6147,
269.492,8575.0046,
266.581,8697.1831,
263.670,8886.8596,
260.760,9067.5194,
257.849,9229.0745,
254.939,9361.9073,
252.028,9427.3233,
249.117,9486.8007,
246.207,9529.9509,
243.296,9535.0751,
240.386,9541.5019,
237.475,9520.4212,
234.565,9466.3255,
231.654,9369.1844,
228.743,9304.897,
225.833,9225.671,
222.922,9117.2321,
220.012,9087.3613,
217.101,9042.7842,
214.191,8987.8288,
211.280,8925.267,
208.369,8953.5928,
205.459,8962.0392,
202.548,8944.859,
199.638,8911.4791,
196.727,8933.4358,
193.816,8965.7628,
190.906,8994.5708,
187.995,9078.5577,
185.085,9124.175,
182.174,9150.2645,
179.264,9178.4523,
176.353,9241.8582,
173.442,9281.7885,
170.532,9277.9238,
167.621,9151.753,
164.711,9008.3069,
161.800,8793.1326,
158.890,8451.9817,
155.979,7992.6164,
153.068,7397.9337,
150.158,6662.3219,
147.247,5731.8558,
144.337,4695.4154,
141.426,3673.4389,
138.516,2723.558,
135.605,1932.4725,
132.694,1319.0401,
129.784,866.45899,
126.873,578.26167,
123.963,397.27492,
121.052,277.71252,
118.141,209.89183,
115.231,169.12249,
112.320,136.95047,
109.410,112.21612,
106.499,94.412238,
103.589,86.142964,
100.678,77.735809,
97.767,64.938933,
94.857,62.546033,
91.946,57.19078,
89.036,50.625,
86.125,50.625,
83.215,51.15592,
80.304,47.794077,
77.393,36.463358,
74.483,33.659595,
71.572,33.349704,
68.662,33.932325,
65.751,26.867814,
62.840,28.478616,
59.930,30.564852,
57.019,22.80895,
54.109,20.430678,
51.198,21.736265,
48.288,26.568376,
45.377,19.534595,
42.466,21.159413,
39.556,26.704051,
36.645,21.08653,
33.735,19.105752,
30.824,20.171209,
27.914,25.079436,
25.003,22.511813,
22.092,19.979191,
19.182,19.174189,
16.271,35.961952,
13.361,117.22306,
10.450,244.50428,
7.539,389.05556,
4.629,325.4253,
1.718,97.203153,
-1.192,-337.81504,
-4.103,-309.51661,
-7.013,-177.8493,
-9.924,-0.375,
