,PLC2FF~1,
Raman shift [1/cm],Intensity,
1308.568,4884.3143,
1305.657,4940.5228,
1302.747,4989.8838,
1299.836,5126.6996,
1296.926,5304.5197,
1294.015,5393.6941,
1291.105,5613.1077,
1288.194,5741.4191,
1285.283,5915.3036,
1282.373,6038.9216,
1279.462,6118.6487,
1276.552,6199.8319,
1273.641,6245.0237,
1270.731,6249.8989,
1267.820,6300.8149,
1264.909,6326.1003,
1261.999,6328.5122,
1259.088,6250.0698,
1256.178,6168.2939,
1253.267,6032.6237,
1250.356,5872.1148,
1247.446,5701.8968,
1244.535,5511.8798,
1241.625,5347.1048,
1238.714,5210.6594,
1235.804,5041.6422,
1232.893,4903.3966,
1229.982,4803.4125,
1227.072,4745.4725,
1224.161,4711.1169,
1221.251,4591.4651,
1218.340,4530.9972,
1215.430,4502.8589,
1212.519,4448.1739,
1209.608,4402.2731,
1206.698,4403.2472,
1203.787,4395.3449,
1200.877,4450.6566,
1197.966,4471.3372,
1195.055,4563.6726,
1192.145,4710.1088,
1189.234,4815.6591,
1186.324,4918.1089,
1183.413,5008.9385,
1180.503,5039.2338,
1177.592,4996.3241,
1174.681,4922.4778,
1171.771,4847.0247,
1168.860,4831.8422,
1165.950,4731.2014,
1163.039,4666.1692,
1160.129,4631.8591,
1157.218,4593.4538,
1154.307,4543.9686,
1151.397,4505.7255,
1148.486,4486.983,
1145.576,4437.1392,
1142.665,4385.6403,
1139.754,4384.6295,
1136.844,4315.3447,
1133.933,4229.6569,
1131.023,4216.8124,
1128.112,4246.0179,
1125.202,4242.4765,
1122.291,4237.3858,
1119.380,4265.5482,
1116.470,4283.1988,
1113.559,4291.561,
1110.649,4267.836,
1107.738,4254.9108,
1104.828,4271.6029,
1101.917,4283.7237,
1099.006,4265.3851,
1096.096,4296.6549,
1093.185,4268.5588,
1090.275,4281.7511,
1087.364,4268.9081,
1084.453,4251.2506,
1081.543,4256.0834,
1078.632,4264.5401,
1075.722,4243.2377,
1072.811,4227.8571,
1069.901,4262.7875,
1066.990,4282.35,
1064.079,4283.6529,
1061.169,4348.0988,
1058.258,4400.528,
1055.348,4425.5373,
1052.437,4493.9506,
1049.527,4523.3484,
1046.616,4548.5445,
1043.705,4562.1657,
1040.795,4580.0606,
1037.884,4609.616,
1034.974,4645.6443,
1032.063,4663.2676,
1029.153,4646.5149,
1026.242,4722.631,
1023.331,4727.8748,
1020.421,4738.1344,
1017.510,4767.5874,
1014.600,4803.4463,
1011.689,4839.9136,
1008.778,4892.7954,
1005.868,4990.5527,
1002.957,5233.1726,
1000.047,5373.023,
997.136,5526.4908,
994.226,5607.8211,
991.315,5577.0161,
988.404,5499.8626,
985.494,5470.3776,
982.583,5425.8367,
979.673,5392.3041,
976.762,5365.9361,
973.852,5366.3093,
970.941,5375.7438,
968.030,5364.7797,
965.120,5378.4251,
962.209,5390.3607,
959.299,5423.538,
956.388,5378.1387,
953.477,5398.9615,
950.567,5487.3166,
947.656,5461.4702,
944.746,5416.4438,
941.835,5449.197,
938.925,5461.9814,
936.014,5445.6594,
933.103,5442.5581,
930.193,5440.4115,
927.282,5320.375,
924.372,5320.375,
921.461,5205.4966,
918.551,5146.947,
915.640,5108.8784,
912.729,5062.0306,
909.819,5021.7027,
906.908,4971.1572,
903.998,4967.5796,
901.087,5027.2066,
898.176,5077.5996,
895.266,5147.4284,
892.355,5262.9874,
889.445,5282.2905,
886.534,5335.8068,
883.624,5332.2455,
880.713,5360.5896,
877.802,5416.9555,
874.892,5439.1519,
871.981,5349.592,
869.071,5358.7815,
866.160,5384.5236,
863.250,5383.8425,
860.339,5371.2272,
857.428,5361.827,
854.518,5336.1845,
851.607,5260.4662,
848.697,5231.5552,
845.786,5201.0215,
842.875,5201.047,
839.965,5232.5738,
837.054,5192.6076,
834.144,5213.3264,
831.233,5202.0428,
828.323,5177.5596,
825.412,5154.5797,
822.501,5136.1195,
819.591,5101.4108,
816.680,5009.0287,
813.770,5005.1701,
810.859,5000.5816,
807.949,4957.3968,
805.038,4896.2666,
802.127,4911.906,
799.217,4830.6366,
796.306,4786.483,
793.396,4775.543,
790.485,4782.8501,
787.574,4803.9355,
784.664,4818.6975,
781.753,4801.2455,
778.843,4824.2105,
775.932,4873.1896,
773.022,4901.4299,
770.111,4869.5443,
767.200,4843.7743,
764.290,4873.9371,
761.379,4885.2264,
758.469,4857.236,
755.558,4845.0832,
752.648,4835.308,
749.737,4806.6106,
746.826,4761.1382,
743.916,4681.5367,
741.005,4557.3704,
738.095,4459.9452,
735.184,4251.7336,
732.274,4217.0245,
729.363,4339.7602,
726.452,4520.6007,
723.542,4610.4434,
720.631,4761.402,
717.721,4771.4314,
714.810,4758.3181,
711.899,4769.2166,
708.989,4725.6426,
706.078,4709.3489,
703.168,4695.6595,
700.257,4660.495,
697.347,4616.3318,
694.436,4605.4186,
691.525,4607.0263,
688.615,4626.8712,
685.704,4659.0963,
682.794,4680.29,
679.883,4661.4563,
676.973,4685.4974,
674.062,4660.3851,
671.151,4618.8285,
668.241,4605.7201,
665.330,4664.0347,
662.420,4656.8461,
659.509,4675.0579,
656.598,4663.4393,
653.688,4642.1166,
650.777,4670.5379,
647.867,4645.8518,
644.956,4642.8516,
642.046,4643.9604,
639.135,4635.6195,
636.224,4606.7092,
633.314,4673.4,
630.403,4722.3004,
627.493,4738.2298,
624.582,4738.0864,
621.672,4781.6461,
618.761,4814.5325,
615.850,4809.4983,
612.940,4838.7007,
610.029,4916.5337,
607.119,4905.4789,
604.208,4869.5843,
601.297,4895.7549,
598.387,4920.6102,
595.476,4885.9803,
592.566,4934.7785,
589.655,4906.4453,
586.745,4877.6956,
583.834,4850.5649,
580.923,4794.4461,
578.013,4806.2171,
575.102,4815.1109,
572.192,4832.9518,
569.281,4853.5788,
566.371,4832.448,
563.460,4896.689,
560.549,4943.3789,
557.639,4955.5867,
554.728,4937.3313,
551.818,4984.1502,
548.907,5040.081,
545.996,5046.4364,
543.086,5010.8783,
540.175,5013.2142,
537.265,5061.1774,
534.354,5110.9815,
531.444,5160.7664,
528.533,5211.0789,
525.622,5249.1003,
522.712,5294.9937,
519.801,5347.2523,
516.891,5404.1129,
513.980,5462.1851,
511.070,5528.6532,
508.159,5621.7119,
505.248,5717.9076,
502.338,5787.1598,
499.427,5848.1345,
496.517,5933.385,
493.606,6009.2564,
490.695,6052.2353,
487.785,6036.8395,
484.874,6097.7049,
481.964,6112.0264,
479.053,6071.7919,
476.143,6023.4103,
473.232,5995.1959,
470.321,6004.8381,
467.411,6010.4326,
464.500,5966.5495,
461.590,5973.4412,
458.679,6007.2921,
455.769,6036.8407,
452.858,6050.022,
449.947,6104.2611,
447.037,6105.0601,
444.126,6100.2235,
441.216,6097.5543,
438.305,6064.0293,
435.395,6084.2892,
432.484,6088.6232,
429.573,6087.7351,
426.663,6136.3841,
423.752,6101.3195,
420.842,6060.1706,
417.931,6054.8611,
415.020,6137.5221,
412.110,6256.7015,
409.199,6327.7368,
406.289,6344.83,
403.378,6306.4339,
400.468,6323.8218,
397.557,6357.6532,
394.646,6355.8244,
391.736,6278.3991,
388.825,6279.1534,
385.915,6307.0491,
383.004,6348.5076,
380.094,6395.4059,
377.183,6474.4159,
374.272,6524.0568,
371.362,6583.8716,
368.451,6672.4236,
365.541,6689.6859,
362.630,6749.5453,
359.719,6802.7742,
356.809,6819.9672,
353.898,6813.228,
350.988,6839.0418,
348.077,6862.6654,
345.167,6865.759,
342.256,6912.8243,
339.345,6930.6265,
336.435,6954.3617,
333.524,7004.9422,
330.614,6959.4877,
327.703,7010.5775,
324.793,7074.9529,
321.882,7082.3714,
318.971,7080.8845,
316.061,7104.7907,
313.150,7144.4631,
310.240,7189.7321,
307.329,7273.5582,
304.418,7329.6286,
301.508,7354.815,
298.597,7345.1896,
295.687,7336.9254,
292.776,7416.7088,
289.866,7567.7826,
286.955,7731.0409,
284.044,7991.5623,
281.134,8215.6521,
278.223,8375.8476,
275.313,8467.9545,
272.402,8665.7123,
269.492,8876.123,
266.581,9056.3163,
263.670,9111.4548,
260.760,9228.195,
257.849,9391.7174,
254.939,9595.7367,
252.028,9659.9018,
249.117,9701.1913,
246.207,9715.1774,
243.296,9687.36,
240.386,9706.5767,
237.475,9661.1311,
234.565,9553.1552,
231.654,9450.1711,
228.743,9378.318,
225.833,9302.0434,
222.922,9210.4725,
220.012,9169.6734,
217.101,9114.6642,
214.191,9068.3152,
211.280,9058.1307,
208.369,9048.6284,
205.459,9012.8342,
202.548,8970.1383,
199.638,8997.7129,
196.727,9058.1155,
193.816,9067.0686,
190.906,8996.7621,
187.995,9064.8204,
185.085,9169.7062,
182.174,9256.6532,
179.264,9242.9207,
176.353,9259.9576,
173.442,9271.4627,
170.532,9263.1261,
167.621,9175.1671,
164.711,9071.4887,
161.800,8894.6793,
158.890,8588.0753,
155.979,8059.1564,
153.068,7417.961,
150.158,6664.2706,
147.247,5746.7276,
144.337,4791.2349,
141.426,3817.7209,
138.516,2832.7124,
135.605,2027.7716,
132.694,1373.6135,
129.784,873.20899,
126.873,585.01167,
123.963,407.43934,
121.052,284.23016,
118.141,200.70363,
115.231,154.18793,
112.320,126.90228,
109.410,113.05696,
106.499,100.95032,
103.589,87.16991,
100.678,75.387161,
97.767,67.566848,
94.857,59.059131,
91.946,54.568778,
89.036,52.584715,
86.125,47.620278,
83.215,49.029602,
80.304,48.022942,
77.393,38.108563,
74.483,34.099325,
71.572,33.099704,
68.662,33.890128,
65.751,28.94497,
62.840,24.96649,
59.930,22.187714,
57.019,21.482632,
54.109,18.389196,
51.198,20.295921,
48.288,29.341025,
45.377,25.120757,
42.466,20.489465,
39.556,17.295949,
36.645,22.91347,
33.735,17.62477,
30.824,12.037661,
27.914,14.141187,
25.003,15.620275,
22.092,14.437573,
19.182,10.489414,
16.271,13.986865,
13.361,-8.2266467,
10.450,-77.643446,
7.539,-292.72458,
4.629,-678.55666,
1.718,-997.24677,
-1.192,-1028.6183,
-4.103,-706.91415,
-7.013,-345.52588,
-9.924,0.375,
