,PLA93A~1,
Wavenumbers [1/cm],Intensity,
444.126,5281.4454,
441.216,5335.6749,
438.305,5353.9613,
435.395,5387.3149,
432.484,5426.0046,
429.573,5435.6672,
426.663,5342.1699,
423.752,5057.6246,
420.842,4753.9122,
417.931,4525.5884,
415.020,4490.704,
412.110,5098.2021,
409.199,5451.0842,
406.289,5588.7138,
403.378,5595.2003,
400.468,5506.749,
397.557,5509.8631,
394.646,5599.5641,
391.736,5763.3451,
388.825,5789.7432,
385.915,5812.9336,
383.004,5823.6446,
380.094,5820.8764,
377.183,5906.6587,
374.272,5967.4091,
371.362,6002.0319,
368.451,6010.5912,
365.541,6012.0923,
362.630,6059.4767,
359.719,6102.0516,
356.809,6112.992,
353.898,6154.1759,
350.988,6153.5653,
348.077,6144.0808,
345.167,6148.0354,
342.256,6198.089,
339.345,6169.454,
336.435,6130.3896,
333.524,6130.1776,
330.614,6215.1254,
327.703,6187.0791,
324.793,6153.2876,
321.882,6204.6713,
318.971,6275.2983,
316.061,6382.5134,
313.150,6464.881,
310.240,6450.0386,
307.329,6505.2417,
304.418,6545.2822,
301.508,6542.6722,
298.597,6453.0818,
295.687,6406.2201,
292.776,6446.2503,
289.866,6554.8117,
286.955,6679.6563,
284.044,6772.7674,
281.134,6828.3492,
278.223,6854.6435,
275.313,6896.6443,
272.402,6913.0517,
269.492,6892.8349,
266.581,6837.1321,
263.670,6831.9859,
260.760,6881.6936,
257.849,6999.0725,
254.939,7200.8902,
252.028,7123.1532,
249.117,7107.1185,
246.207,7135.4858,
243.296,7177.944,
240.386,7230.8214,
237.475,7291.8452,
234.565,7348.7301,
231.654,7350.1908,
228.743,7304.4706,
225.833,7282.391,
222.922,7308.4468,
220.012,7285.8616,
217.101,7237.7706,
214.191,7216.9189,
211.280,7288.2103,
208.369,7297.5369,
205.459,7308.6828,
202.548,7322.124,
199.638,7319.947,
196.727,7326.9908,
193.816,7339.4235,
190.906,7354.8651,
187.995,7336.7645,
185.085,7373.5299,
182.174,7438.5419,
179.264,7501.4225,
176.353,7489.2766,
173.442,7478.8626,
170.532,7477.9039,
167.621,7464.2053,
164.711,7327.5314,
161.800,7105.0162,
158.890,6804.8898,
155.979,6437.1887,
153.068,5982.6923,
150.158,5432.1619,
147.247,4730.7226,
144.337,3921.5044,
141.426,3107.7534,
138.516,2336.3785,
135.605,1664.8659,
132.694,1130.8537,
129.784,733.15601,
126.873,510.75063,
123.963,350.54783,
121.052,232.33819,
118.141,153.80897,
115.231,127.91947,
