,PL12CC~1,
Wavenumbers [1/cm],Intensity,
1247.446,1062.1018,
1244.535,1073.5089,
1241.625,1052.7186,
1238.714,1021.0091,
1235.804,1020.0873,
1232.893,1034.6279,
1229.982,1022.5426,
1227.072,1053.3232,
1224.161,1044.5735,
1221.251,1033.5659,
1218.340,999.40503,
1215.430,993.51071,
1212.519,994.35033,
1209.608,961.46558,
1206.698,933.28757,
1203.787,970.07286,
1200.877,953.17163,
1197.966,980.1464,
1195.055,990.03249,
1192.145,1025.3105,
1189.234,1097.4865,
1186.324,1129.409,
1183.413,1122.7589,
1180.503,1134.7236,
1177.592,1159.7219,
1174.681,1120.6678,
1171.771,1142.4382,
1168.860,1139.7589,
1165.950,1119.3428,
1163.039,1104.024,
1160.129,1078.8551,
1157.218,1084.2102,
1154.307,1108.8392,
1151.397,1112.6752,
1148.486,1115.2925,
1145.576,1158.2665,
1142.665,1129.8533,
1139.754,1160.8588,
1136.844,1143.2891,
1133.933,1134.2595,
1131.023,1107.1742,
1128.112,1088.3553,
1125.202,1117.7802,
1122.291,1132.2358,
1119.380,1095.6732,
1116.470,1113.3238,
1113.559,1106.9943,
1110.649,1069.1383,
1107.738,1059.6089,
1104.828,1087.8889,
1101.917,1093.4221,
1099.006,1044.9844,
1096.096,1073.1886,
1093.185,1035.4345,
1090.275,1084.2933,
1087.364,1087.5804,
1084.453,1100.3739,
1081.543,1107.8031,
1078.632,1097.0527,
1075.722,1096.4582,
1072.811,1124.7625,
1069.901,1100.3112,
1066.990,1086.375,
1064.079,1084.1805,
1061.169,1087.8138,
1058.258,1087.1121,
1055.348,1092.4946,
1052.437,1109.9405,
1049.527,1076.9699,
1046.616,1089.1335,
1043.705,1077.397,
1040.795,1092.0166,
1037.884,1100.9828,
1034.974,1094.6585,
1032.063,1088.8845,
1029.153,1098.8888,
1026.242,1118.7828,
1023.331,1087.8354,
1020.421,1120.5377,
1017.510,1121.8123,
1014.600,1115.844,
1011.689,1119.0837,
1008.778,1106.9661,
1005.868,1115.5232,
1002.957,1118.1042,
1000.047,1167.276,
997.136,1188.4366,
994.226,1205.2228,
991.315,1221.9777,
988.404,1209.5828,
985.494,1163.4808,
982.583,1162.6243,
979.673,1150.7937,
976.762,1144.7387,
973.852,1150.5722,
970.941,1160.0928,
968.030,1159.6965,
965.120,1149.5609,
962.209,1164.0541,
959.299,1179.2485,
956.388,1182.8201,
953.477,1187.2544,
950.567,1193.1472,
947.656,1189.8423,
944.746,1215.329,
941.835,1197.0645,
938.925,1219.4801,
936.014,1234.0058,
933.103,1228.1443,
930.193,1214.7022,
927.282,1206.8126,
924.372,1194.1285,
921.461,1218.274,
918.551,1199.0343,
915.640,1175.1005,
912.729,1179.8925,
909.819,1201.719,
906.908,1173.0766,
903.998,1188.998,
901.087,1183.3159,
898.176,1174.6368,
895.266,1190.2265,
892.355,1220.2911,
889.445,1165.7387,
886.534,1195.5554,
883.624,1240.5243,
880.713,1256.9482,
877.802,1231.2248,
874.892,1172.4246,
871.981,1102.1462,
869.071,960.12605,
866.160,977.58754,
863.250,1081.4209,
860.339,1166.3754,
857.428,1186.4306,
854.518,1210.2483,
851.607,1166.9807,
848.697,1101.0355,
845.786,1050.6276,
842.875,1069.7467,
839.965,1167.6948,
837.054,1265.0024,
834.144,1309.755,
831.233,1313.1671,
828.323,1294.6737,
825.412,1289.7687,
822.501,1314.3936,
819.591,1319.352,
816.680,1284.2435,
813.770,1286.1505,
810.859,1281.219,
807.949,1263.3658,
805.038,1252.4004,
802.127,1251.5773,
799.217,1211.9943,
796.306,1219.5002,
793.396,1262.7522,
790.485,1294.7604,
787.574,1255.8389,
784.664,1291.1037,
781.753,1311.5907,
778.843,1309.6785,
775.932,1310.685,
773.022,1332.232,
770.111,1324.0562,
767.200,1299.138,
764.290,1269.5406,
761.379,1259.8019,
758.469,1275.9873,
755.558,1300.9619,
752.648,1316.4394,
749.737,1301.2219,
746.826,1278.912,
743.916,1267.5715,
741.005,1272.4737,
738.095,1245.6818,
735.184,1172.4241,
732.274,1091.9103,
729.363,1092.9172,
726.452,1192.1544,
723.542,1212.3893,
720.631,1257.8433,
717.721,1277.2285,
714.810,1303.9601,
711.899,1337.4901,
708.989,1324.5793,
706.078,1326.1026,
703.168,1318.6061,
700.257,1316.8006,
697.347,1318.2395,
694.436,1305.9545,
691.525,1285.8593,
688.615,1290.3048,
685.704,1301.5437,
682.794,1322.8403,
679.883,1366.1035,
676.973,1357.2884,
674.062,1356.7762,
671.151,1342.5968,
668.241,1331.8387,
665.330,1356.1176,
662.420,1305.7975,
659.509,1318.9924,
656.598,1342.4532,
653.688,1357.8004,
650.777,1366.8771,
647.867,1407.4898,
644.956,1381.8276,
642.046,1343.0869,
639.135,1311.1637,
636.224,1283.8462,
633.314,1352.9188,
630.403,1351.5813,
627.493,1352.7108,
624.582,1372.6749,
621.672,1360.003,
618.761,1342.7813,
615.850,1357.8865,
612.940,1387.4783,
610.029,1407.3706,
607.119,1376.575,
604.208,1389.8303,
601.297,1405.4733,
598.387,1395.8689,
595.476,1352.2483,
592.566,1381.3699,
589.655,1398.162,
586.745,1407.1038,
583.834,1411.1588,
580.923,1413.3484,
578.013,1388.2369,
575.102,1380.3528,
572.192,1399.1506,
569.281,1433.3752,
566.371,1427.1142,
563.460,1420.8563,
560.549,1448.7113,
557.639,1485.0656,
554.728,1492.8192,
551.818,1418.6892,
548.907,1406.1565,
545.996,1434.9377,
543.086,1474.1513,
540.175,1463.2503,
537.265,1453.0844,
534.354,1443.4797,
531.444,1441.4012,
528.533,1454.4798,
525.622,1496.381,
522.712,1478.1961,
519.801,1436.0597,
516.891,1399.9431,
513.980,1416.9776,
511.070,1449.4913,
508.159,1461.0673,
505.248,1462.5043,
502.338,1471.0482,
499.427,1455.6115,
496.517,1446.9748,
493.606,1448.2109,
490.695,1460.2816,
487.785,1480.2962,
484.874,1473.8066,
481.964,1442.7527,
479.053,1405.5807,
476.143,1401.7409,
473.232,1439.6284,
470.321,1445.255,
467.411,1423.5968,
464.500,1389.3727,
461.590,1423.831,
458.679,1445.6065,
455.769,1462.1163,
452.858,1476.8181,
449.947,1479.8739,
447.037,1455.0161,
444.126,1452.5485,
441.216,1477.2937,
438.305,1481.8653,
435.395,1497.5796,
432.484,1473.8268,
429.573,1419.5599,
426.663,1376.992,
423.752,1270.282,
420.842,1118.1788,
417.931,961.62718,
415.020,860.0072,
412.110,1086.2265,
409.199,1268.7884,
406.289,1371.008,
403.378,1369.3335,
400.468,1320.1939,
397.557,1330.2075,
394.646,1378.7411,
391.736,1444.4759,
388.825,1443.7216,
385.915,1428.5986,
383.004,1415.5,
380.094,1416.9204,
377.183,1444.762,
374.272,1438.9305,
371.362,1453.1065,
368.451,1512.9955,
365.541,1488.2278,
362.630,1473.8526,
359.719,1473.4194,
356.809,1486.2767,
353.898,1466.0591,
350.988,1492.5067,
