,PL5B8D~1,
Wavenumbers [1/cm],Intensity,
333.524,2676.807,
330.614,2710.339,
327.703,2733.5851,
324.793,2753.2259,
321.882,2774.741,
318.971,2771.0238,
316.061,2727.755,
313.150,2696.9143,
310.240,2739.2149,
307.329,2758.6159,
304.418,2763.9262,
301.508,2771.7931,
298.597,2809.5544,
295.687,2814.1045,
292.776,2820.1667,
289.866,2837.4028,
286.955,2883.2038,
284.044,2925.8025,
281.134,2948.6014,
278.223,2943.882,
275.313,2890.0916,
272.402,2871.1983,
269.492,2843.2535,
266.581,2790.651,
263.670,2733.307,
260.760,2794.5851,
257.849,2885.2537,
254.939,2941.0287,
252.028,2917.1393,
249.117,2850.1897,
246.207,2792.357,
243.296,2833.3511,
240.386,2844.2799,
237.475,2835.456,
234.565,2810.3434,
231.654,2776.0154,
228.743,2803.8475,
225.833,2800.7848,
222.922,2733.2212,
220.012,2700.4362,
217.101,2731.9516,
214.191,2768.7561,
211.280,2745.4773,
208.369,2686.5609,
205.459,2644.7762,
202.548,2629.3907,
199.638,2662.0449,
196.727,2635.3295,
193.816,2613.4592,
190.906,2617.7438,
187.995,2560.5459,
185.085,2545.0057,
182.174,2525.6563,
179.264,2436.7561,
176.353,2422.2645,
173.442,2433.8898,
170.532,2448.2491,
167.621,2358.1272,
164.711,2268.5796,
161.800,2144.6224,
158.890,1953.8946,
155.979,1796.8522,
153.068,1621.3906,
150.158,1422.9299,
147.247,1188.8775,
144.337,960.53598,
141.426,744.6145,
138.516,546.03562,
135.605,392.95827,
132.694,268.87298,
129.784,173.46105,
126.873,115.53553,
123.963,82.694405,
121.052,59.101191,
118.141,39.825837,
115.231,39.75,
112.320,32.124553,
109.410,21.886355,
106.499,22.59851,
103.589,18.828219,
100.678,15.478378,
97.767,14.767441,
94.857,13.364022,
91.946,15.168665,
89.036,18.411306,
86.125,16.28369,
83.215,14.688159,
80.304,11.595106,
77.393,5.2215764,
74.483,9.9910797,
71.572,11.662944,
68.662,9.19586,
65.751,3.5442514,
62.840,6.5670198,
59.930,10.438997,
57.019,5.5034227,
54.109,-1.8187693,
51.198,-2.932298,
48.288,4.7216878,
45.377,1.2047975,
42.466,2.223316,
39.556,5.0592885,
36.645,0.84614724,
33.735,5.4617331,
30.824,7.6575824,
27.914,-2.1588711,
25.003,-4.495275,
22.092,-5.5729046,
19.182,-5.9525228,
16.271,3.1408489,
13.361,-8.0010292,
10.450,-74.162488,
7.539,-340.91896,
4.629,-843.96298,
1.718,-1306.9115,
-1.192,-1491.6548,
-4.103,-1139.1026,
-7.013,-623.84595,
-9.924,-0.25,
