,PL1DEA~1,
Wavenumbers [1/cm],Intensity,
857.428,804.35353,
854.518,850.70854,
851.607,775.8223,
848.697,724.35724,
845.786,677.29393,
842.875,683.43165,
839.965,764.01628,
837.054,847.01455,
834.144,859.44584,
831.233,901.20549,
828.323,882.2984,
825.412,848.34837,
822.501,868.81139,
819.591,918.39535,
816.680,902.24676,
813.770,880.33293,
810.859,877.54609,
807.949,879.15789,
805.038,862.55864,
802.127,893.01435,
799.217,888.42109,
796.306,879.63171,
793.396,886.94383,
790.485,899.97875,
787.574,878.74685,
784.664,901.71,
781.753,905.875,
778.843,919.10722,
775.932,920.83817,
773.022,897.29853,
770.111,919.37315,
767.200,910.97794,
764.290,913.0759,
761.379,918.84434,
758.469,918.52673,
755.558,906.11813,
752.648,914.26416,
749.737,925.66684,
746.826,924.81413,
743.916,930.44012,
741.005,966.35979,
738.095,997.21111,
735.184,1012.316,
732.274,964.81116,
729.363,915.18516,
726.452,907.82851,
723.542,896.49701,
720.631,913.4594,
717.721,925.74915,
714.810,938.10791,
711.899,951.75619,
708.989,959.82544,
706.078,939.04112,
703.168,927.80279,
700.257,946.56646,
697.347,977.78816,
694.436,972.36928,
691.525,916.90673,
688.615,948.26987,
685.704,960.4925,
682.794,950.36428,
679.883,973.7937,
676.973,949.75258,
674.062,955.08431,
671.151,954.30005,
668.241,947.78099,
665.330,953.26994,
662.420,940.49024,
659.509,930.25583,
656.598,942.3195,
653.688,976.75738,
650.777,1018.3359,
647.867,972.94517,
644.956,965.3516,
642.046,939.09692,
639.135,890.23298,
636.224,854.19728,
633.314,918.5063,
630.403,957.93221,
627.493,976.9476,
624.582,979.57957,
621.672,969.28365,
618.761,967.35512,
615.850,1008.7501,
612.940,1036.7274,
610.029,1022.5076,
607.119,1008.2942,
604.208,1024.6253,
601.297,1038.8542,
598.387,1041.8621,
595.476,1030.6865,
592.566,1018.0934,
589.655,1003.5651,
586.745,1014.2337,
583.834,1034.0204,
580.923,1023.9982,
578.013,1044.4013,
575.102,1029.2258,
572.192,1024.5935,
569.281,1047.8118,
566.371,1069.7253,
563.460,1038.0125,
560.549,1039.4679,
557.639,1056.1436,
554.728,1055.791,
551.818,1038.6241,
548.907,1028.1715,
545.996,1027.3741,
543.086,1032.5395,
540.175,1030.9822,
537.265,1044.6363,
534.354,1033.8209,
531.444,1020.6616,
528.533,1030.1375,
525.622,1061.9513,
522.712,1067.0547,
519.801,1045.6354,
516.891,1022.5783,
513.980,1070.5847,
511.070,1058.675,
508.159,1042.8012,
505.248,1033.1254,
502.338,1034.1461,
499.427,1043.4081,
496.517,1052.0972,
493.606,1073.0266,
490.695,1098.6699,
487.785,1054.022,
484.874,1059.7995,
481.964,1060.6458,
479.053,1052.4266,
476.143,1054.7305,
473.232,1039.7675,
470.321,1033.3884,
467.411,1026.037,
464.500,1006.1853,
461.590,1018.4371,
458.679,1051.0406,
455.769,1069.834,
452.858,1062.7722,
449.947,1100.2048,
447.037,1054.4801,
444.126,1045.3841,
441.216,1088.0813,
438.305,1083.5097,
435.395,1069.7623,
432.484,1050.7892,
429.573,1032.9875,
426.663,1029.1868,
423.752,917.98537,
420.842,724.64886,
417.931,527.52703,
415.020,441.83256,
412.110,672.99121,
409.199,868.41033,
406.289,973.03582,
403.378,942.8417,
400.468,933.01377,
397.557,928.8467,
394.646,953.73218,
391.736,1025.372,
388.825,1072.1343,
385.915,1083.7462,
383.004,1087.8714,
380.094,1103.0669,
377.183,1106.8293,
374.272,1087.7921,
371.362,1064.9885,
368.451,1051.4677,
365.541,1061.2247,
362.630,1091.187,
359.719,1104.996,
356.809,1082.9235,
353.898,1067.1987,
350.988,1076.4372,
348.077,1081.486,
345.167,1064.2857,
342.256,1032.9088,
339.345,1046.1952,
336.435,1059.4904,
333.524,1043.4152,
330.614,1060.5538,
327.703,1083.8442,
324.793,1096.2348,
321.882,1082.9399,
318.971,1109.7038,
316.061,1105.6905,
313.150,1090.9512,
310.240,1087.9827,
307.329,1090.0189,
304.418,1115.9524,
301.508,1157.4935,
298.597,1201.1781,
295.687,1193.3619,
292.776,1161.2082,
289.866,1129.7912,
286.955,1157.8628,
284.044,1161.2425,
281.134,1191.9792,
278.223,1238.8393,
275.313,1197.5754,
272.402,1219.082,
269.492,1223.7649,
266.581,1181.147,
263.670,1101.0123,
260.760,1120.7104,
257.849,1186.051,
254.939,1260.907,
252.028,1224.2351,
