,PLB08E~1,
Wavenumbers [1/cm],Intensity,
787.574,2068.3078,
784.664,2102.7525,
781.753,2143.8912,
778.843,2162.9603,
775.932,2154.815,
773.022,2139.8615,
770.111,2190.5513,
767.200,2163.5475,
764.290,2145.9097,
761.379,2145.908,
758.469,2151.4425,
755.558,2139.3372,
752.648,2184.1404,
749.737,2161.0133,
746.826,2143.5338,
743.916,2148.3053,
741.005,2168.5111,
738.095,2226.1543,
735.184,2260.1723,
732.274,2223.6692,
729.363,2145.6958,
726.452,2080.093,
723.542,2102.756,
720.631,2133.0525,
717.721,2144.8642,
714.810,2155.3749,
711.899,2175.7723,
708.989,2204.8216,
706.078,2188.1726,
703.168,2162.14,
700.257,2173.1669,
697.347,2196.3926,
694.436,2151,
691.525,2151,
688.615,2143.4531,
685.704,2145.9071,
682.794,2169.0424,
679.883,2214.7117,
676.973,2208.3007,
674.062,2221.6759,
671.151,2216.8501,
668.241,2207.3857,
665.330,2230.9244,
662.420,2229.3269,
659.509,2185.1898,
656.598,2205.006,
653.688,2271.3614,
650.777,2296.9451,
647.867,2324.8166,
644.956,2304.9957,
642.046,2274.9037,
639.135,2258.773,
636.224,2273.0637,
633.314,2285.7667,
630.403,2270.0813,
627.493,2263.9133,
624.582,2276.9423,
621.672,2285.6542,
618.761,2263.2018,
615.850,2274.1826,
612.940,2314.9566,
610.029,2364.3424,
607.119,2360.3942,
604.208,2344.3797,
601.297,2333.0148,
598.387,2315.9614,
595.476,2287.1885,
592.566,2299.7816,
589.655,2352.5354,
586.745,2355.6978,
583.834,2330.1484,
580.923,2351.9242,
578.013,2339.3684,
575.102,2325.1018,
572.192,2338.4371,
569.281,2378.5466,
566.371,2387.1555,
563.460,2377.418,
560.549,2376.8982,
557.639,2392.0111,
554.728,2422.9854,
551.818,2438.5917,
548.907,2419.4517,
545.996,2411.2206,
543.086,2410.431,
540.175,2361.3763,
537.265,2382.6255,
534.354,2398.522,
531.444,2394.1323,
528.533,2366.3311,
525.622,2370.9868,
522.712,2362.2919,
519.801,2351.7993,
516.891,2342.3394,
513.980,2329.1764,
511.070,2360.4,
508.159,2364.4487,
505.248,2364.2649,
502.338,2395.1807,
499.427,2401.3554,
496.517,2384.899,
493.606,2395.5639,
490.695,2438.0089,
487.785,2394.9006,
484.874,2389.9387,
481.964,2363.1764,
479.053,2327.6772,
476.143,2343.0364,
473.232,2308.0298,
470.321,2309.5704,
467.411,2327.7728,
464.500,2333.3879,
461.590,2348.7027,
458.679,2370.0591,
455.769,2369.507,
452.858,2342.454,
449.947,2385.2341,
447.037,2381.8648,
444.126,2375.8485,
441.216,2381.9103,
438.305,2398.6728,
435.395,2376.0858,
432.484,2379.2533,
429.573,2400.225,
426.663,2392.6236,
423.752,2410.1329,
420.842,2391.5122,
417.931,2327.2487,
415.020,2211.9783,
412.110,2339.6904,
409.199,2452.5476,
406.289,2502.7814,
403.378,2450.0564,
400.468,2466.6882,
397.557,2438.0661,
394.646,2415.1578,
391.736,2440.4588,
388.825,2454.7891,
385.915,2459,
383.004,2459,
380.094,2458.3474,
377.183,2445.5553,
374.272,2443.6283,
371.362,2451.1809,
368.451,2465.4985,
365.541,2457.2426,
362.630,2435.3353,
359.719,2431.7266,
356.809,2459.8705,
353.898,2424.677,
350.988,2449.1767,
348.077,2468.7069,
345.167,2444.0322,
342.256,2405.1847,
339.345,2407.2858,
336.435,2421.4983,
333.524,2428.8925,
330.614,2457.2085,
327.703,2480.3753,
324.793,2491.6799,
321.882,2485.0559,
318.971,2508.1026,
316.061,2510.6285,
313.150,2520.9357,
310.240,2572.1417,
307.329,2577.5732,
304.418,2607.7251,
301.508,2648.3016,
298.597,2671.9949,
295.687,2702.4441,
292.776,2757.2502,
289.866,2811.1077,
286.955,2792.6396,
284.044,2870.3274,
281.134,2925.8869,
278.223,2937.4432,
275.313,2913.127,
272.402,2967.2521,
269.492,3015.0696,
266.581,3023.0572,
263.670,2981.8871,
260.760,3025.895,
257.849,3078.5398,
254.939,3082.9431,
252.028,3124.2592,
249.117,3102.997,
246.207,3059.1894,
243.296,3059.9214,
240.386,3062.612,
237.475,3054.0111,
234.565,3037.3098,
231.654,3032.9275,
228.743,3055.0147,
225.833,3040.2908,
222.922,2967.8301,
220.012,2964.1874,
217.101,2976.2493,
214.191,2981.2576,
211.280,2952.1591,
208.369,2890.7924,
205.459,2867.5895,
202.548,2876.8774,
199.638,2881.957,
196.727,2870.8995,
193.816,2877.0511,
190.906,2908.851,
187.995,2819.072,
185.085,2824.4099,
182.174,2852.4635,
179.264,2806.2064,
176.353,2800.3592,
173.442,2789.4858,
170.532,2761.9272,
167.621,2684.0619,
164.711,2629.8892,
161.800,2537.5758,
158.890,2354.765,
155.979,2212.4812,
153.068,2010.1412,
150.158,1761.5692,
147.247,1523.927,
144.337,1264.6735,
141.426,998.20333,
138.516,730.086,
135.605,525.23641,
132.694,368.25616,
129.784,250.85752,
126.873,162.89655,
123.963,111.42486,
121.052,74.101853,
118.141,44.117969,
115.231,41.868289,
112.320,35.069097,
109.410,27.409066,
106.499,29.545531,
103.589,26.078219,
100.678,20.555405,
97.767,14.156966,
94.857,11.921033,
91.946,17.046663,
89.036,24.306531,
86.125,13.668452,
83.215,13.123681,
80.304,13.323971,
77.393,8.3667816,
74.483,13.896215,
71.572,13.738831,
68.662,7.9307325,
65.751,7.2242814,
62.840,8.9268079,
59.930,10.063569,
57.019,6.5381591,
54.109,6,
51.198,6.3016093,
48.288,6.9943376,
45.377,6.2909595,
42.466,1.4655873,
39.556,-4.6546443,
36.645,-2.5480736,
33.735,4.2309816,
30.824,7.5702433,
27.914,-0.1426844,
25.003,-3.4905499,
22.092,-4.0312863,
19.182,-2,
16.271,-2,
13.361,-18.858319,
10.450,-79.739584,
7.539,-299.01061,
4.629,-762.34776,
1.718,-1198.1648,
-1.192,-1378.0281,
-4.103,-1020.5989,
-7.013,-539.68668,
-9.924,-1,
