,PL6F2C~1,
Wavenumbers [1/cm],Intensity,
161.800,1178.2243,
158.890,1055.1508,
155.979,947.22793,
153.068,871.99753,
150.158,807.16413,
147.247,671.47116,
144.337,563.1805,
141.426,450.67624,
138.516,318.76825,
135.605,226.63337,
132.694,159.58294,
129.784,110.74845,
126.873,67.125526,
123.963,41.746966,
121.052,24.150794,
118.141,11.300558,
115.231,10.53943,
112.320,8.9790922,
109.410,8.340842,
106.499,14.038084,
103.589,10.767964,
100.678,7.25,
97.767,7.25,
94.857,5.1710329,
91.946,7.0717761,
89.036,11.25,
86.125,11.25,
83.215,12.311841,
80.304,9.419077,
77.393,-1.9116419,
74.483,7.0770244,
71.572,10.075887,
68.662,6.0421975,
65.751,3.9228443,
62.840,3.731702,
59.930,4.25,
57.019,4.25,
54.109,-0.52728678,
51.198,-2.8451722,
48.288,-0.74433756,
45.377,-0.040959491,
42.466,0.66221934,
39.556,1.4802372,
36.645,2.8846176,
33.735,0.1345092,
30.824,-4.2962088,
27.914,-9.2044355,
25.003,-12.863187,
22.092,-10.552241,
19.182,-1.7957657,
16.271,-3.194746,
13.361,-24.401441,
10.450,-102.74894,
7.539,-393.24813,
4.629,-877.67938,
1.718,-1322.7569,
-1.192,-1524.9289,
-4.103,-1135.1041,
-7.013,-602.85858,
-9.924,1.25,
