,PLC1D2~1,
Wavenumbers [1/cm],Intensity,
1229.982,1031.6508,
1227.072,991.81706,
1224.161,995.72403,
1221.251,993.27745,
1218.340,946.00535,
1215.430,943.02141,
1212.519,948.77549,
1209.608,937.89813,
1206.698,952.91509,
1203.787,967.7437,
1200.877,925.61888,
1197.966,967.87937,
1195.055,946.96229,
1192.145,997.09672,
1189.234,1050.6836,
1186.324,1101.0939,
1183.413,1113.3096,
1180.503,1100.7216,
1177.592,1109.303,
1174.681,1106.3664,
1171.771,1101.7733,
1168.860,1091.9494,
1165.950,1071.6491,
1163.039,1074.6824,
1160.129,1070.9217,
1157.218,1094.3634,
1154.307,1137.6149,
1151.397,1151.4403,
1148.486,1130,
1145.576,1130.9251,
1142.665,1152.2351,
1139.754,1162.9499,
1136.844,1153.0949,
1133.933,1147.4135,
1131.023,1119.1463,
1128.112,1096.5702,
1125.202,1113.9324,
1122.291,1117.4933,
1119.380,1100.1905,
1116.470,1119.6062,
1113.559,1114.2675,
1110.649,1084.4965,
1107.738,1064.106,
1104.828,1066.9059,
1101.917,1071.4908,
1099.006,1061.2576,
1096.096,1083.0973,
1093.185,1035.6852,
1090.275,1065.1801,
1087.364,1080.5474,
1084.453,1107.061,
1081.543,1115.3591,
1078.632,1115.5358,
1075.722,1141.6836,
1072.811,1134.0764,
1069.901,1107.0053,
1066.990,1104.1917,
1064.079,1113.5272,
1061.169,1101.431,
1058.258,1093.0818,
1055.348,1094.7087,
1052.437,1084.9518,
1049.527,1100,
1046.616,1100,
1043.705,1086.897,
1040.795,1105.9862,
1037.884,1111.9197,
1034.974,1097.5515,
1032.063,1088.0999,
1029.153,1096.3382,
1026.242,1082.4989,
1023.331,1096.999,
1020.421,1152.2826,
1017.510,1157.0712,
1014.600,1148.0752,
1011.689,1159.8462,
1008.778,1170.6805,
1005.868,1163.0154,
1002.957,1164.7362,
1000.047,1205.04,
997.136,1219.4127,
994.226,1220.7846,
991.315,1219.3465,
988.404,1205.1633,
985.494,1175.211,
