,PLDA33~1,
Wavenumbers [1/cm],Intensity,
100.678,11.516891,
97.767,7.9622036,
94.857,9.2609781,
91.946,11.890554,
89.036,14.197613,
86.125,9.9423809,
83.215,5.6894779,
80.304,1.1989712,
77.393,-3.7582184,
74.483,5.0468894,
71.572,7.7008873,
68.662,3.9442675,
65.751,4.6507186,
62.840,3.429894,
59.930,2.9987172,
57.019,7.2292091,
54.109,0.70906982,
51.198,-2.9185629,
48.288,-0.13066244,
45.377,-0.83404051,
42.466,-0.30056132,
39.556,0.75988142,
36.645,0.057691207,
33.735,1.4327454,
30.824,1.7705651,
27.914,-1.7353111,
25.003,-5.2381874,
22.092,-7.7708091,
19.182,-9.2165315,
16.271,-12.014492,
13.361,-48.52747,
10.450,-155.05646,
7.539,-491.64447,
4.629,-1023.1645,
1.718,-1492.3654,
-1.192,-1665.9544,
-4.103,-1212.9275,
-7.013,-630.68073,
-9.924,-0.125,
