,PL0AD7~1,
Wavenumbers [1/cm],Intensity,
1221.251,931.56298,
1218.340,923.47812,
1215.430,926.44946,
1212.519,910.60618,
1209.608,888.10187,
1206.698,873.34024,
1203.787,854.58292,
1200.877,873.88856,
1197.966,872.09024,
1195.055,895.89096,
1192.145,964.61553,
1189.234,1000.9222,
1186.324,1024.2742,
1183.413,1033.467,
1180.503,1052.9451,
1177.592,1076.7672,
1174.681,1001.0137,
1171.771,1007.4849,
1168.860,985.15763,
1165.950,992.67547,
1163.039,991.50799,
1160.129,978.2029,
1157.218,977.69178,
1154.307,976.35334,
1151.397,963.12815,
1148.486,976.64556,
1145.576,1001.3039,
1142.665,962.23574,
1139.754,987.47701,
1136.844,985.59637,
1133.933,991.3841,
1131.023,972.03473,
1128.112,948.71346,
1125.202,963.10627,
1122.291,974.9973,
1119.380,968.1559,
1116.470,984.04141,
1113.559,955.07004,
1110.649,927.66432,
1107.738,918.53582,
1104.828,928.98639,
1101.917,932.9404,
1099.006,912.15456,
1096.096,927.37627,
1093.185,933.52229,
1090.275,977.70059,
1087.364,944.77426,
1084.453,950.31089,
1081.543,961.23558,
1078.632,960.02862,
1075.722,982,
1072.811,982.37231,
1069.901,987.61188,
1066.990,957.28341,
1064.079,964.29079,
1061.169,959.95398,
1058.258,984.03187,
1055.348,1011.0685,
1052.437,961.27648,
1049.527,928.40979,
1046.616,964.90062,
1043.705,978.24918,
1040.795,985.46953,
1037.884,966.75902,
1034.974,959.03479,
1032.063,973.13104,
1029.153,954.02401,
1026.242,1004.1915,
1023.331,971.00224,
1020.421,998.85507,
1017.510,1000.5534,
1014.600,993.38344,
1011.689,1000.2806,
1008.778,1008.639,
1005.868,1023.8378,
1002.957,1005.7704,
1000.047,1050.32,
997.136,1082.6831,
994.226,1105.046,
991.315,1116.9554,
988.404,1101.8935,
985.494,1060.1534,
982.583,1067.0059,
979.673,1019.7113,
976.762,1000.8258,
973.852,1024.7526,
970.941,1058.6674,
968.030,1060.1907,
965.120,1033.1969,
962.209,1080.0867,
959.299,1073.835,
956.388,1072.4797,
953.477,1069.0125,
950.567,1067.1041,
947.656,1092.6739,
944.746,1113.0632,
941.835,1125.3374,
938.925,1112.8648,
936.014,1116.1282,
933.103,1125.2345,
930.193,1113.81,
927.282,1079.8085,
924.372,1057.8227,
921.461,1049.8452,
918.551,1068.3327,
915.640,1065.5773,
912.729,1044.1469,
909.819,1052.8913,
906.908,1074.7944,
903.998,1072.8185,
901.087,1076.4555,
898.176,1067.0701,
895.266,1065.4264,
892.355,1082.9323,
889.445,1045.1653,
886.534,1100.1015,
883.624,1096.8705,
880.713,1099.1864,
877.802,1102.4417,
874.892,1069.5707,
871.981,967.08025,
869.071,843.43915,
866.160,804.75101,
863.250,928.0507,
860.339,1054.8754,
857.428,1077.9915,
854.518,1113.8095,
851.607,1038.0912,
848.697,967.22336,
845.786,922.83618,
842.875,947.24672,
839.965,1036.3936,
837.054,1093.6885,
834.144,1155.0161,
831.233,1192.3315,
828.323,1186.2063,
825.412,1166.3561,
822.501,1163.0638,
819.591,1152.3206,
816.680,1127.9615,
813.770,1121.3735,
810.859,1109.2677,
807.949,1098.8586,
805.038,1109.3982,
802.127,1112.6907,
799.217,1088.4021,
796.306,1061.2701,
793.396,1064.9086,
790.485,1089.6307,
787.574,1077.4671,
784.664,1089.7687,
781.753,1118.1684,
778.843,1141.2917,
775.932,1152,
773.022,1151.2392,
770.111,1146.3337,
767.200,1130.7738,
764.290,1114.4424,
761.379,1112.3019,
758.469,1123.8834,
755.558,1131.6808,
752.648,1154.4897,
749.737,1129.6245,
746.826,1136.8448,
743.916,1172.4936,
741.005,1206.1705,
738.095,1287.3582,
735.184,1318.4518,
732.274,1270.2031,
729.363,1191.0929,
726.452,1136.2924,
723.542,1137.9111,
720.631,1152.5262,
717.721,1144.3974,
714.810,1155.9374,
711.899,1183.9802,
708.989,1158.1586,
706.078,1178.0326,
703.168,1170.2484,
700.257,1155.8114,
697.347,1143.0874,
694.436,1129.4583,
691.525,1146.3382,
688.615,1138.6796,
685.704,1120.3443,
682.794,1111.3191,
679.883,1134.2347,
676.973,1183.9197,
674.062,1185.7049,
671.151,1180.1233,
668.241,1177.094,
665.330,1171,
662.420,1171,
659.509,1205.9212,
656.598,1222.9708,
653.688,1228.2017,
650.777,1257.4609,
647.867,1212.0702,
644.956,1205.7149,
642.046,1178.5635,
639.135,1134.0655,
636.224,1123.1751,
633.314,1158.1084,
630.403,1168.7736,
627.493,1190.74,
624.582,1212.1697,
621.672,1159.1061,
618.761,1175.2385,
615.850,1199.1826,
612.940,1231.0767,
610.029,1264.3946,
607.119,1266.7635,
604.208,1277.6502,
601.297,1296.9555,
598.387,1291.9357,
595.476,1241.7772,
592.566,1239.416,
589.655,1257.7888,
586.745,1271.9057,
583.834,1274.5846,
580.923,1266.1896,
578.013,1297.5789,
575.102,1273.3055,
572.192,1271.1516,
569.281,1304.9542,
566.371,1271.3014,
563.460,1287.0476,
560.549,1280.8689,
557.639,1277.2797,
554.728,1307.1131,
551.818,1293.0674,
548.907,1286.3435,
545.996,1292.9422,
543.086,1301.7994,
540.175,1277.6613,
537.265,1268.0329,
534.354,1277.0406,
531.444,1281.1976,
528.533,1263.3177,
525.622,1295.9074,
522.712,1287.8312,
519.801,1259.6698,
516.891,1237.6687,
513.980,1275.6092,
511.070,1295.9043,
508.159,1301.0897,
505.248,1286.2315,
502.338,1249.9203,
499.427,1315.526,
496.517,1308.6768,
493.606,1291.6825,
490.695,1297.9956,
487.785,1319.5497,
484.874,1292.6275,
481.964,1270.1861,
479.053,1262.5516,
476.143,1264.8555,
473.232,1280.1075,
470.321,1274.8087,
467.411,1276.4228,
464.500,1315.7867,
461.590,1307.3635,
458.679,1303.3491,
455.769,1299.1644,
452.858,1298.0107,
449.947,1346.1384,
447.037,1313.5268,
444.126,1304.1151,
441.216,1331.2959,
438.305,1309.9618,
435.395,1326.6691,
432.484,1333.666,
429.573,1320.1249,
426.663,1282.1179,
423.752,1149.9775,
420.842,974.80496,
417.931,809.08296,
415.020,724.90521,
412.110,945.87362,
409.199,1143.4033,
406.289,1272.3633,
403.378,1297.7208,
400.468,1215.3174,
397.557,1215.7358,
394.646,1271.7054,
391.736,1355.9658,
388.825,1386.135,
385.915,1381.6952,
383.004,1373.9976,
380.094,1384.7678,
377.183,1399.8173,
374.272,1385.0027,
371.362,1379.3015,
368.451,1402.5867,
365.541,1379.3201,
362.630,1368.6301,
359.719,1384.2379,
356.809,1427.6439,
353.898,1388.7064,
350.988,1389.3922,
348.077,1403.9369,
345.167,1414.3728,
342.256,1382.2489,
339.345,1398.5088,
336.435,1420.1672,
333.524,1417.3658,
330.614,1397.2466,
327.703,1417.1837,
324.793,1439.9377,
321.882,1433.9585,
318.971,1416.8594,
316.061,1410.0234,
313.150,1423.0881,
310.240,1468.3571,
307.329,1499.3001,
304.418,1534.2536,
301.508,1562,
298.597,1562,
295.687,1585.0262,
292.776,1591.4166,
289.866,1586.2455,
286.955,1592.1553,
284.044,1599.325,
281.134,1628.5499,
278.223,1668.7666,
275.313,1646.6609,
272.402,1644.9045,
269.492,1650.8022,
266.581,1651.5378,
263.670,1547.1422,
260.760,1572.3726,
257.849,1634.5482,
254.939,1667.5729,
252.028,1667.2762,
249.117,1687.1004,
246.207,1706.6436,
243.296,1689.8067,
240.386,1705.6308,
237.475,1721.5312,
234.565,1733.2654,
231.654,1741.2996,
228.743,1779.8236,
225.833,1774.3761,
222.922,1701.5288,
220.012,1734.3138,
217.101,1753.8329,
214.191,1753.6019,
211.280,1722.321,
208.369,1704.5253,
