,PL36EA~1,
Wavenumbers [1/cm],Intensity,
554.728,602.97814,
551.818,626.38762,
548.907,605.90465,
545.996,592.22153,
543.086,595.49342,
540.175,590.82155,
537.265,594.84568,
534.354,601.51691,
531.444,605.66403,
528.533,605.87283,
525.622,639.23857,
522.712,628.2974,
519.801,601.98855,
516.891,586.16874,
513.980,624.10925,
511.070,616.23044,
508.159,602.9038,
505.248,606.01812,
502.338,643.11594,
499.427,629.99479,
496.517,602.74245,
493.606,594.59476,
490.695,615.78381,
487.785,625.0213,
484.874,606.46706,
481.964,593.42361,
479.053,589.39685,
476.143,584.78908,
473.232,613.27615,
470.321,599.19803,
467.411,585.16301,
464.500,621.80184,
461.590,594.23519,
458.679,605.21002,
455.769,611.04807,
452.858,594.47674,
449.947,632.67331,
447.037,615.62282,
444.126,617.24545,
441.216,644.19279,
438.305,625.1445,
435.395,634.30146,
432.484,625.49692,
429.573,592.25236,
426.663,539.80265,
423.752,372.30395,
420.842,173.62792,
417.931,-19.223601,
415.020,-162.55328,
412.110,122.2188,
409.199,377.64409,
406.289,511.60783,
403.378,444.40779,
400.468,417.19199,
397.557,449.63197,
394.646,504.12205,
391.736,547.36922,
388.825,574.52154,
385.915,587.28974,
383.004,586.93131,
380.094,576.11423,
377.183,588.15385,
374.272,600.72727,
371.362,619.09579,
368.451,643.36022,
365.541,624.59682,
362.630,624.96241,
359.719,628.31613,
356.809,626.36087,
353.898,640.58804,
350.988,639.61762,
348.077,631.43428,
345.167,621.46216,
342.256,620.71509,
339.345,616.77997,
336.435,619.32944,
333.524,634.6879,
330.614,640.64915,
327.703,667.14345,
324.793,678.38381,
321.882,643.50901,
318.971,647.22623,
316.061,655.3364,
313.150,657.18811,
310.240,640.11944,
307.329,675.23185,
304.418,693.14763,
301.508,692.57691,
298.597,674.06649,
295.687,665.05036,
292.776,652.33328,
289.866,644.17072,
286.955,666.33248,
284.044,684.04749,
281.134,719.53101,
278.223,764.9611,
275.313,761.27682,
272.402,768.05174,
269.492,760.82589,
266.581,726.93117,
263.670,635.03364,
260.760,644.02206,
257.849,704.21574,
254.939,783.47506,
252.028,795.35767,
249.117,757.01504,
246.207,722.59992,
243.296,784.82305,
240.386,799.98889,
237.475,825.63028,
234.565,861.45558,
231.654,873.8721,
228.743,877.07537,
225.833,868.35311,
222.922,846.03913,
220.012,814.71125,
217.101,845.22941,
214.191,877.22766,
211.280,843.03691,
208.369,847.90095,
205.459,811.17572,
202.548,766.16859,
199.638,856.87473,
196.727,846.11299,
193.816,844.06647,
190.906,886.0209,
187.995,786.82954,
185.085,771.41423,
182.174,799.94357,
179.264,827.40868,
176.353,837.54857,
173.442,838.9621,
170.532,829.96362,
167.621,791.03093,
164.711,736.87788,
161.800,670.71166,
158.890,592.26135,
155.979,509.75814,
153.068,476.72885,
150.158,467.69734,
147.247,386.56873,
144.337,342.84859,
141.426,283.74511,
138.516,182.66344,
135.605,144.68699,
132.694,105.34253,
129.784,68.179538,
126.873,46.010513,
123.963,27.842317,
121.052,11.550926,
118.141,-3.4410156,
115.231,5.7374146,
112.320,9.5,
109.410,9.9090658,
106.499,12.045531,
103.589,9.1384731,
100.678,6.5,
97.767,6.5,
94.857,4.4210329,
91.946,5.9186652,
89.036,8.8226126,
86.125,4.5673809,
83.215,4.0309204,
80.304,2.5845385,
77.393,-3.080821,
74.483,1.0859447,
71.572,3.8623521,
68.662,4.1536625,
65.751,0.62140711,
62.840,0.94510595,
59.930,2.8745724,
57.019,4.2847364,
54.109,2.7085175,
51.198,1.1983907,
48.288,0.53397465,
45.377,4.7542431,
42.466,4.8511226,
39.556,2.9604743,
36.645,5.7692352,
33.735,5.4615031,
30.824,2.9537912,
27.914,-1.9544355,
25.003,1.2358249,
