,PLAE70~1,
Wavenumbers [1/cm],Intensity,
356.809,934.31396,
353.898,956.02911,
350.988,978.81709,
348.077,984.57815,
345.167,963.96216,
342.256,963.21509,
339.345,962.46857,
336.435,960.05685,
333.524,955.07046,
330.614,957.30593,
327.703,974.94237,
324.793,1002.3428,
321.882,1034.9513,
318.971,1014.8784,
316.061,1006.0467,
313.150,1011.8524,
310.240,1037.0843,
307.329,1020.8487,
304.418,1021.2953,
301.508,1032.7569,
298.597,1043.1228,
295.687,1037.2276,
292.776,1013.1666,
289.866,997.54507,
286.955,1061.8142,
284.044,1069.1025,
281.134,1096.8825,
278.223,1144.2755,
275.313,1132.4858,
272.402,1118.3819,
269.492,1122.991,
266.581,1146.1128,
263.670,1077.741,
260.760,1072.6267,
257.849,1128.3435,
254.939,1249.4341,
252.028,1182.9586,
249.117,1143.2952,
246.207,1140.0693,
243.296,1190.5799,
240.386,1182.2872,
237.475,1184.2205,
234.565,1203.0262,
231.654,1228.5896,
228.743,1197.1764,
225.833,1170.9147,
222.922,1170.9616,
220.012,1127.2483,
217.101,1144.4058,
214.191,1174.3773,
211.280,1165.6477,
208.369,1140.1059,
205.459,1114.0262,
202.548,1104.0307,
199.638,1167.8878,
196.727,1125.1071,
193.816,1090.6225,
190.906,1104.1716,
187.995,1052.0418,
185.085,1043.4571,
182.174,1049.6906,
179.264,1033.7897,
176.353,1026.8738,
173.442,1023.6374,
170.532,1018.1276,
167.621,976.311,
164.711,945.02843,
161.800,897.99978,
158.890,813.07192,
155.979,763.80902,
153.068,703.44654,
150.158,631.19734,
147.247,550.06873,
144.337,471.21732,
141.426,379.02281,
138.516,264.32022,
135.605,183.71045,
132.694,124.29964,
129.784,82.84332,
126.873,56.383516,
123.963,37.911387,
121.052,23.184083,
118.141,11.047749,
115.231,18.105704,
112.320,16.340005,
109.410,9.7272895,
106.499,8.302979,
103.589,6.3192366,
100.678,3.6418915,
97.767,0.087203603,
94.857,0,
91.946,2.8217761,
89.036,7,
86.125,7,
83.215,2.2217168,
80.304,-1.7605673,
77.393,-1.0523974,
74.483,5.5513496,
71.572,6.8258873,
68.662,2.44586,
65.751,-3.2057486,
62.840,3.6706357,
59.930,11.127138,
57.019,4.0763182,
54.109,-1.1801259,
51.198,-2.1903443,
48.288,2,
45.377,2,
42.466,2.8244387,
39.556,4.6907115,
36.645,8.9038528,
33.735,4.8075153,
30.824,0.66266092,
27.914,2.7661867,
25.003,1.1320876,
22.092,0.32290456,
19.182,1.5949544,
16.271,19.781698,
13.361,80.103705,
10.450,168.74486,
7.539,260.22417,
4.629,159.04936,
1.718,-74.744116,
-1.192,-455.38503,
-4.103,-457.20945,
-7.013,-296.87842,
-9.924,1,
