,PL6D1D~1,
Wavenumbers [1/cm],Intensity,
674.062,1358.625,
671.151,1358.1867,
668.241,1344.0449,
665.330,1301.1544,
662.420,1312.3367,
659.509,1331.7681,
656.598,1342.9232,
653.688,1355.667,
650.777,1392.301,
647.867,1382.745,
644.956,1347.1909,
642.046,1283.9214,
639.135,1235.1535,
636.224,1278.7643,
633.314,1306.5521,
630.403,1332.5437,
627.493,1349.4657,
624.582,1350.3279,
621.672,1326.568,
618.761,1338.544,
615.850,1381.1941,
612.940,1423.2126,
610.029,1437.575,
607.119,1401.252,
604.208,1414.6653,
601.297,1417.1383,
598.387,1396.287,
595.476,1356.0707,
592.566,1360.7931,
589.655,1412.1604,
586.745,1404.0396,
583.834,1368.8238,
580.923,1408.5776,
578.013,1400.7303,
575.102,1369.9456,
572.192,1381.8525,
569.281,1448.9362,
566.371,1489.6326,
563.460,1452.0024,
560.549,1438.036,
557.639,1453.7103,
554.728,1486.0337,
551.818,1476.67,
548.907,1437.4508,
545.996,1419.4568,
543.086,1427.2829,
540.175,1421.0537,
537.265,1435.8349,
534.354,1425.5709,
531.444,1418.8207,
528.533,1440.6384,
525.622,1412.7043,
522.712,1429.6816,
519.801,1443.4794,
516.891,1434.8953,
513.980,1401.6006,
511.070,1408.4859,
508.159,1429.8174,
505.248,1452.8812,
502.338,1465.2861,
499.427,1453.7086,
496.517,1437.6149,
493.606,1435.3643,
490.695,1451.1599,
487.785,1455.0089,
484.874,1445.2854,
481.964,1433.3958,
479.053,1425.5443,
476.143,1429.3841,
473.232,1426.7474,
470.321,1444.1149,
467.411,1448.1761,
464.500,1403.0517,
461.590,1419.8979,
458.679,1435.6309,
455.769,1427.6115,
452.858,1395.7152,
449.947,1444.6068,
447.037,1434.6019,
444.126,1436.7826,
441.216,1464.8739,
438.305,1477.8267,
435.395,1463.2341,
432.484,1458.3758,
429.573,1448.5373,
426.663,1383.9254,
423.752,1225.8902,
420.842,1053.6739,
417.931,885.39312,
415.020,736.75493,
412.110,1031.5864,
409.199,1261.9183,
406.289,1379.9996,
403.378,1356.6096,
400.468,1352.0737,
397.557,1362.4504,
394.646,1395.9807,
391.736,1457.4459,
388.825,1483.0898,
385.915,1475.7236,
383.004,1461.7684,
380.094,1459.4714,
377.183,1456.4615,
374.272,1479.5073,
371.362,1493.1498,
368.451,1478.9016,
365.541,1499.9166,
362.630,1495.7927,
359.719,1495.6161,
356.809,1511.8158,
353.898,1465.3904,
350.988,1485.1742,
348.077,1520.466,
345.167,1536.7112,
342.256,1479.1869,
339.345,1464.2193,
336.435,1463.1267,
333.524,1456.8599,
330.614,1464.3114,
327.703,1519.5057,
324.793,1559.8289,
321.882,1531.5529,
318.971,1501.8152,
316.061,1515.5524,
313.150,1549.6321,
310.240,1578.5746,
307.329,1592.4885,
304.418,1606.7441,
301.508,1621.7604,
298.597,1637.3091,
295.687,1650.8153,
292.776,1633.7082,
289.866,1614.5473,
286.955,1675.8615,
284.044,1712.455,
281.134,1748.9908,
278.223,1776.6192,
275.313,1728.7237,
272.402,1765.6782,
269.492,1778.3959,
266.581,1729.5245,
263.670,1686.1489,
260.760,1702.3561,
257.849,1752.4913,
254.939,1820.7424,
252.028,1792.6712,
249.117,1799.8981,
246.207,1820.8674,
243.296,1817.9392,
240.386,1833.2968,
237.475,1842.7776,
234.565,1848.4211,
231.654,1872.5238,
228.743,1894.3107,
225.833,1890.1606,
222.922,1851.4359,
220.012,1825.9365,
217.101,1827.93,
214.191,1833.3796,
211.280,1815.9204,
208.369,1817.9891,
205.459,1796.8677,
202.548,1760.6194,
199.638,1749.009,
196.727,1750.0823,
193.816,1766.171,
190.906,1795.2633,
187.995,1727.929,
185.085,1723.5392,
182.174,1740.7073,
179.264,1726.252,
176.353,1725.2658,
173.442,1711.8478,
