,PL75BA~1,
Wavenumbers [1/cm],Intensity,
234.565,1299.383,
231.654,1362.9263,
228.743,1352.7849,
225.833,1318.9106,
222.922,1281.1032,
220.012,1275.2748,
217.101,1283.1893,
214.191,1286.3811,
211.280,1263.1023,
208.369,1234.4625,
205.459,1239.3413,
202.548,1271.8903,
199.638,1303.8189,
196.727,1290.2074,
193.816,1279.2883,
190.906,1285.1245,
187.995,1192.4493,
185.085,1187.8006,
182.174,1208.1891,
179.264,1170.6052,
176.353,1170.8605,
173.442,1178.8134,
170.532,1178.4622,
167.621,1093.387,
164.711,1084.5653,
161.800,1052.1543,
158.890,919.72444,
155.979,849.6968,
153.068,771.53858,
150.158,681.29718,
147.247,575.04024,
144.337,481.67009,
141.426,378.27495,
138.516,252.81899,
135.605,186.2443,
132.694,137.76043,
129.784,101.26714,
126.873,64.795522,
123.963,42.579177,
121.052,24.292769,
118.141,6.4452195,
115.231,13.480704,
112.320,12.985913,
109.410,9.1931315,
106.499,13.466063,
103.589,8.7724552,
100.678,3.5601349,
97.767,1.4273222,
94.857,6.2259233,
91.946,6.3594456,
89.036,3.7136937,
86.125,5.8413095,
83.215,5.8440796,
80.304,3.4595385,
77.393,-2.205821,
74.483,3.2712146,
71.572,3.4761831,
68.662,-0.932325,
65.751,6.1321858,
62.840,5.9664901,
59.930,4.8732896,
57.019,10.513945,
54.109,3.611909,
51.198,0.7878742,
48.288,6.3353629,
45.377,1.4117164,
42.466,0.19943868,
39.556,2.0657115,
36.645,6.2788528,
33.735,3.7402607,
30.824,0.375,
27.914,0.375,
25.003,0.99763748,
22.092,-0.56242735,
19.182,-4.3504056,
16.271,4.0434759,
13.361,41.513096,
10.450,79.240578,
7.539,26.168611,
4.629,-255.59766,
1.718,-592.15183,
-1.192,-871.00964,
-4.103,-716.42445,
-7.013,-413.33973,
-9.924,-0.625,
