,PLA0ED~1,
Wavenumbers [1/cm],Intensity,
383.004,806.92251,
380.094,758.77667,
377.183,781.35096,
374.272,797.39505,
371.362,800.62143,
368.451,790.58542,
365.541,822.85847,
362.630,816.33026,
359.719,802.14516,
356.809,798.30784,
353.898,793.06625,
350.988,797.59235,
348.077,804.36745,
345.167,806.80861,
342.256,770.94933,
339.345,796.23098,
336.435,822.62834,
333.524,809.36663,
330.614,801.16992,
327.703,814.54056,
324.793,824.72697,
321.882,810.64483,
318.971,818.8227,
316.061,823.08994,
313.150,829.01308,
310.240,843.11329,
307.329,858.63238,
304.418,882.86313,
301.508,902.06499,
298.597,892.43957,
295.687,899.75188,
292.776,879.4582,
289.866,850.76279,
286.955,875.14073,
284.044,896.96748,
281.134,942.80235,
278.223,1003.1639,
275.313,1006.8482,
272.402,990.1979,
269.492,984.59576,
266.581,992.00515,
263.670,885.40402,
260.760,897.98281,
257.849,956.61541,
254.939,1010.9227,
252.028,1013.7965,
249.117,986.3017,
246.207,966.83081,
243.296,1021.7336,
240.386,1032.1959,
237.475,1040.3878,
234.565,1048.1296,
231.654,1038.6346,
228.743,1055.0368,
225.833,1052.7704,
222.922,1015.2321,
220.012,985.36131,
217.101,972.68071,
214.191,963.28675,
211.280,942.19033,
208.369,921.78623,
205.459,932.98677,
202.548,964.12639,
199.638,967.02899,
196.727,941.69528,
193.816,947.00784,
190.906,998.95233,
187.995,865.73183,
185.085,856.03489,
182.174,901.13032,
179.264,917.75394,
176.353,900.40163,
173.442,924.06799,
170.532,970.4278,
167.621,848.58293,
164.711,790.39775,
161.800,744.52313,
158.890,676.86873,
155.979,610.63151,
153.068,569.11319,
150.158,538.16596,
147.247,464.93483,
144.337,410.14789,
141.426,337.57182,
138.516,227.88746,
135.605,165.03401,
132.694,127.33436,
129.784,99.196681,
126.873,40.556035,
123.963,28.05593,
121.052,22.525794,
118.141,9.675558,
115.231,13.888422,
112.320,11.812277,
109.410,7.3067763,
106.499,10.867552,
103.589,7.1429642,
100.678,3.8966217,
97.767,4.6075593,
94.857,5.317989,
91.946,7.6405544,
89.036,9.8347146,
86.125,4.8702777,
83.215,7.3414425,
80.304,7.0335097,
77.393,-3.5890393,
74.483,-0.44419025,
71.572,0.53794366,
68.662,-1.4442675,
65.751,-2.1507186,
62.840,3.8871258,
59.930,9.1267104,
57.019,3.4860545,
54.109,-3.9437693,
51.198,-5.6605165,
48.288,0.61933756,
45.377,-0.084040509,
42.466,0.44943868,
39.556,1.8552372,
36.645,3.2596176,
33.735,1.0287577,
30.824,-2.7003218,
27.914,-6.9073733,
25.003,-1.7712627,
22.092,0.010477211,
19.182,-2.9859913,
