,PLDD2F~1,
Wavenumbers [1/cm],Intensity,
938.925,533.95846,
936.014,539.82839,
933.103,539.40594,
930.193,545.67524,
927.282,543.82094,
924.372,524.37199,
921.461,538.81221,
918.551,527.447,
915.640,505.10129,
912.729,495.63199,
909.819,509.09994,
906.908,533.53027,
903.998,522.14917,
901.087,509.96391,
898.176,511.07854,
895.266,520.09679,
892.355,521.26262,
889.445,501.95948,
886.534,530.26064,
883.624,529.14668,
880.713,528.93714,
877.802,519.71629,
874.892,472.4234,
871.981,360.34368,
869.071,210.80478,
866.160,212.47339,
863.250,348.06266,
860.339,471.68815,
857.428,498.23165,
854.518,519.26219,
851.607,463.51355,
848.697,407.10344,
845.786,346.95254,
842.875,355.96675,
839.965,451.19085,
837.054,503.52624,
834.144,561.53891,
831.233,596.87326,
828.323,569.80383,
825.412,543.39744,
822.501,574.1091,
819.591,586.50509,
816.680,575.65703,
813.770,575.38101,
810.859,558.37413,
807.949,539.73355,
805.038,550.17367,
802.127,552.64306,
799.217,548.40265,
796.306,537.79385,
793.396,542.55451,
790.485,560.03268,
787.574,557.8714,
784.664,584.11499,
781.753,574.11335,
778.843,585.00804,
775.932,599.86272,
773.022,588.59264,
770.111,573.87624,
767.200,577.44287,
764.290,582.92015,
761.379,574.05897,
758.469,560.68814,
755.558,579.36126,
752.648,595.65333,
749.737,580.5969,
746.826,581.13186,
743.916,594.55035,
741.005,598.69159,
738.095,597.06784,
735.184,566.84249,
732.274,519.11398,
729.363,488.21992,
726.452,494.09091,
723.542,511.89756,
720.631,567.92181,
717.721,583.72931,
714.810,598.10217,
711.899,622.49876,
708.989,620.88491,
706.078,627.28542,
703.168,593.04897,
700.257,570.70014,
697.347,571.22289,
694.436,569.22415,
691.525,582.08503,
688.615,580.47262,
685.704,571.3996,
682.794,575.7472,
679.883,618.45169,
676.973,631.27363,
674.062,623.0276,
671.151,596.71182,
668.241,583.7404,
665.330,623.96741,
662.420,604.79785,
659.509,612.93869,
656.598,617.71125,
653.688,620.16598,
650.777,637.57797,
647.867,628.81837,
644.956,611.39625,
642.046,569.12175,
639.135,515.32907,
636.224,487.17739,
633.314,547.51671,
630.403,587.11464,
627.493,598.49796,
624.582,589.69843,
621.672,588.90643,
618.761,590.39488,
615.850,608.50661,
612.940,633.80411,
610.029,654.875,
607.119,654.875,
604.208,658.42507,
601.297,669.34684,
598.387,665.97655,
595.476,632.83509,
592.566,621.81614,
589.655,663.93153,
586.745,670.08229,
583.834,651.70585,
580.923,668.83709,
578.013,662.55922,
575.102,614.41435,
572.192,603.81306,
569.281,652.35839,
566.371,682.88072,
563.460,685.16953,
560.549,696.56969,
557.639,712.09776,
554.728,718.55924,
551.818,681.88439,
548.907,653.15495,
545.996,651.1499,
543.086,669.04276,
540.175,669.82141,
537.265,664.80504,
534.354,675.91896,
531.444,687.76037,
528.533,685.15091,
525.622,689.03065,
522.712,674.09941,
519.801,651.27295,
516.891,639.48277,
513.980,682.06905,
511.070,677.42283,
508.159,684.85903,
505.248,694.62174,
502.338,687.44575,
499.427,672.78094,
496.517,693.76386,
493.606,709.84657,
490.695,703.55405,
487.785,701.24467,
484.874,691.18164,
481.964,673.83193,
479.053,658.16201,
476.143,663.53774,
473.232,658.83917,
470.321,671.95887,
467.411,685.59566,
464.500,678.15745,
461.590,649.82506,
458.679,660.58502,
455.769,684.38173,
452.858,702.71593,
449.947,701.18807,
447.037,690.56007,
444.126,687.94167,
441.216,694.875,
438.305,694.875,
435.395,699.46446,
432.484,683.12115,
429.573,654.38997,
426.663,643.748,
423.752,485.95572,
420.842,284.97938,
417.931,91.753588,
415.020,-31.858785,
412.110,256.52026,
409.199,486.12425,
406.289,594.44262,
403.378,534.8084,
400.468,515.15255,
397.557,534.58248,
394.646,586.07891,
391.736,660.74422,
388.825,687.89654,
385.915,680.44138,
383.004,665.44728,
380.094,662.18211,
377.183,668.20192,
374.272,666.07554,
371.362,678.18002,
368.451,713.14253,
365.541,684.62217,
362.630,691.62349,
359.719,697.65968,
356.809,682.92031,
353.898,683.66911,
350.988,708.82939,
348.077,718.83947,
345.167,691.72363,
342.256,688.73536,
339.345,702.22368,
336.435,711.82148,
333.524,703.42873,
330.614,689.27077,
327.703,706.43802,
324.793,724.55488,
321.882,717.8732,
318.971,717.12975,
316.061,729.08285,
313.150,745.10833,
310.240,755.49795,
307.329,766.59455,
304.418,768.13928,
301.508,767.63193,
298.597,777.99777,
295.687,770.07087,
292.776,753.7916,
289.866,736.71931,
286.955,735.98058,
284.044,756.11498,
281.134,807.4958,
278.223,869.70152,
275.313,834.33246,
