,PLEB4C~1,
Raman shift [1/cm],Intensity,
144.337,4950.5022,
141.426,3902.4013,
138.516,2890.1509,
135.605,2044.5438,
132.694,1399.5912,
129.784,930.84975,
126.873,624.77418,
123.963,433.32108,
121.052,298.6724,
118.141,205.86514,
115.231,164.99749,
112.320,134.94365,
109.410,112.13663,
106.499,89.347664,
103.589,83.939746,
100.678,77.795944,
97.767,62.866255,
94.857,59.728044,
91.946,60.918665,
89.036,63.145225,
86.125,54.634762,
83.215,50.376319,
80.304,47.063404,
77.393,42.814384,
74.483,44.465405,
71.572,44.050592,
68.662,40.183918,
65.751,26.761347,
62.840,25.390212,
59.930,29.811003,
57.019,34.746577,
54.109,28.33407,
51.198,25.912874,
48.288,31.449038,
45.377,25.118635,
42.466,24.973316,
39.556,27.809289,
36.645,23.596147,
33.735,20.423006,
30.824,17.174678,
27.914,12.967627,
25.003,17.4811,
22.092,21.468714,
19.182,23.362703,
16.271,19.165762,
13.361,44.473311,
10.450,50.851612,
7.539,-127.21881,
4.629,-380.02999,
1.718,-661.80645,
-1.192,-949.72714,
-4.103,-703.32602,
-7.013,-363.62446,
-9.924,-4.5,
