,PLD703~1,
Raman shift [1/cm],Intensity,
1055.348,1385.6346,
1052.437,1380.5057,
1049.527,1403.4073,
1046.616,1368.6542,
1043.705,1363.9792,
1040.795,1359.919,
1037.884,1365.3361,
1034.974,1380.9433,
1032.063,1382.112,
1029.153,1343.6195,
1026.242,1359.1887,
1023.331,1391.4146,
1020.421,1411.692,
1017.510,1442.4021,
1014.600,1470.2086,
1011.689,1476.3337,
1008.778,1469.4941,
1005.868,1508.7732,
1002.957,1511.3542,
1000.047,1556.158,
997.136,1569.8134,
994.226,1559.2732,
991.315,1545.401,
988.404,1532.724,
985.494,1506.7116,
982.583,1504.9985,
979.673,1509.8715,
976.762,1513.5113,
973.852,1497.9536,
970.941,1492.1618,
968.030,1529.3512,
965.120,1532.7178,
962.209,1525.0449,
959.299,1521.6253,
956.388,1530.8294,
953.477,1527.6523,
950.567,1521.9455,
947.656,1547.6305,
944.746,1523.8429,
941.835,1540.5659,
938.925,1556.5949,
936.014,1542.517,
933.103,1524.8686,
930.193,1524.1556,
927.282,1505.0167,
924.372,1491.487,
921.461,1468.3944,
918.551,1434.608,
915.640,1417.8747,
912.729,1413.236,
909.819,1395.6413,
906.908,1417.5444,
903.998,1406.0242,
901.087,1439.6674,
898.176,1452.6377,
895.266,1446.2892,
892.355,1461.0165,
889.445,1510.5333,
886.534,1531.6218,
883.624,1508.1639,
880.713,1507.5089,
877.802,1521.1396,
874.892,1524.1177,
871.981,1525.5527,
869.071,1517.1986,
866.160,1539.8986,
863.250,1523.4915,
860.339,1507.3414,
857.428,1520.4543,
854.518,1511.1111,
851.607,1523.5921,
848.697,1527.8135,
845.786,1508.5103,
842.875,1504.7806,
839.965,1530.0557,
837.054,1518.0942,
834.144,1548.7581,
831.233,1521.4191,
828.323,1534.4243,
825.412,1553.8033,
822.501,1537.7502,
819.591,1576.5909,
816.680,1532.8781,
813.770,1504.2079,
810.859,1491.4938,
807.949,1490.1281,
805.038,1492.9535,
802.127,1486.3685,
799.217,1506.6209,
796.306,1485.939,
793.396,1455.7957,
790.485,1451.6473,
787.574,1487.5979,
784.664,1457.2538,
781.753,1480.6023,
778.843,1471.2261,
775.932,1459.4041,
773.022,1485.214,
770.111,1468.8625,
767.200,1476.8857,
764.290,1482.6394,
761.379,1490.658,
758.469,1492.4257,
755.558,1464.9445,
752.648,1471.4613,
749.737,1438.1522,
746.826,1363.3372,
743.916,1276.412,
741.005,1194.9984,
738.095,984.72232,
735.184,764.5387,
732.274,726.19231,
729.363,881.44804,
726.452,1148.7396,
723.542,1320.331,
720.631,1366.4479,
717.721,1393.7897,
714.810,1417.1704,
711.899,1437.4431,
708.989,1444.7054,
706.078,1446.3526,
703.168,1426.1045,
700.257,1416.0506,
697.347,1428.1405,
694.436,1453.5716,
691.525,1410.1661,
688.615,1424.6486,
685.704,1433.138,
682.794,1424.1117,
679.883,1420.408,
676.973,1457.271,
674.062,1439.8648,
671.151,1447.2282,
668.241,1469.5085,
665.330,1453.0903,
662.420,1460.2789,
659.509,1473.1788,
656.598,1489.7032,
653.688,1487.5672,
650.777,1437.3981,
647.867,1456.5099,
644.956,1461.9883,
642.046,1473.115,
639.135,1478.9464,
636.224,1445.8017,
633.314,1456.1229,
630.403,1491.2666,
627.493,1503.38,
624.582,1483.7483,
621.672,1470.2844,
618.761,1483.4289,
615.850,1477.8322,
612.940,1481.3622,
610.029,1503.8815,
607.119,1504.6712,
604.208,1527.4704,
601.297,1514.3167,
598.387,1481.7179,
595.476,1460.3897,
592.566,1498.956,
589.655,1477.2428,
586.745,1453.5046,
583.834,1442.5304,
580.923,1441.4941,
578.013,1399.1185,
575.102,1433.0635,
572.192,1488.5444,
569.281,1524.7974,
566.371,1508.3623,
563.460,1544.8453,
560.549,1548.568,
557.639,1547.2982,
554.728,1578.8485,
551.818,1580.4092,
548.907,1591.7194,
545.996,1592.9182,
543.086,1589.4539,
540.175,1615.9279,
537.265,1617.0257,
534.354,1604.7094,
531.444,1589.6848,
528.533,1584.0125,
525.622,1615.8263,
522.712,1618.5027,
519.801,1619.9507,
516.891,1630.1931,
513.980,1647.2276,
511.070,1645.2283,
508.159,1657.5994,
505.248,1669.996,
502.338,1662.6311,
499.427,1692.7325,
496.517,1705.8409,
493.606,1707.3946,
490.695,1704.0338,
487.785,1713.2713,
484.874,1716.6887,
481.964,1684.1125,
479.053,1644.6559,
476.143,1677.6783,
473.232,1668.2395,
470.321,1669.5889,
467.411,1669.4185,
464.500,1650.4009,
461.590,1636.6176,
458.679,1646.5074,
455.769,1664.0513,
452.858,1679.2612,
449.947,1693.7759,
447.037,1686.4351,
444.126,1687.1439,
441.216,1702.7926,
438.305,1720.3171,
435.395,1707.6704,
432.484,1705.1678,
429.573,1711.5075,
426.663,1706.1865,
423.752,1712.7242,
420.842,1727.1671,
417.931,1743.982,
415.020,1755.3574,
412.110,1792.3307,
409.199,1801.349,
406.289,1788.6327,
403.378,1763.7602,
400.468,1766.7842,
397.557,1751.2972,
394.646,1714.741,
391.736,1655.6252,
388.825,1589.2529,
385.915,1562.8315,
383.004,1567.3151,
380.094,1595.5159,
377.183,1630.1298,
374.272,1720.6243,
371.362,1794.3422,
368.451,1808.7986,
365.541,1826.0609,
362.630,1823.1026,
359.719,1834.804,
356.809,1876.7532,
353.898,1860.2796,
350.988,1836.2205,
348.077,1822.0733,
345.167,1828.1284,
342.256,1835.5991,
339.345,1845.7215,
336.435,1851.0844,
333.524,1847.3607,
330.614,1866.7347,
327.703,1856.321,
324.793,1848.2259,
321.882,1869.869,
318.971,1918.9362,
316.061,1932.3318,
313.150,1925.5167,
310.240,1915.1271,
307.329,1940.4769,
304.418,1922.9369,
301.508,1877.7377,
298.597,1832.5722,
295.687,1788.1156,
292.776,1802.9169,
289.866,1875.3491,
286.955,1992.0677,
284.044,2146.0024,
281.134,2257.5948,
278.223,2330.2883,
275.313,2457.0274,
272.402,2498.2726,
269.492,2544.8712,
266.581,2627.1643,
263.670,2688.9194,
260.760,2715.1081,
257.849,2738.6609,
254.939,2784.1616,
252.028,2817.323,
249.117,2792.747,
246.207,2754.8111,
243.296,2778.2363,
240.386,2776.1791,
237.475,2738.789,
234.565,2676.4231,
231.654,2636.252,
228.743,2605.886,
225.833,2580.6031,
222.922,2557.7456,
220.012,2514.7608,
217.101,2470.8163,
214.191,2443.6841,
211.280,2456.7784,
208.369,2411.3259,
205.459,2359.2055,
202.548,2318.0091,
199.638,2336.8759,
196.727,2368.9846,
193.816,2387.3418,
190.906,2382.5626,
187.995,2405.7314,
185.085,2427.9357,
182.174,2444.1418,
179.264,2445.5873,
176.353,2475.8666,
173.442,2469.1837,
170.532,2426.2379,
167.621,2413.2603,
164.711,2370.858,
161.800,2308.9617,
158.890,2230.5114,
155.979,2054.2026,
153.068,1916.227,
150.158,1778.4481,
147.247,1476.9081,
144.337,1202.3082,
141.426,953.09392,
138.516,732.29142,
135.605,508.16403,
132.694,341.73471,
129.784,224.5587,
126.873,146.60955,
123.963,99.451143,
121.052,69.517637,
118.141,53.811793,
115.231,42.380874,
112.320,31.819097,
109.410,24.295421,
106.499,27.144042,
103.589,26.629491,
100.678,23.033783,
97.767,15.924407,
94.857,19.214945,
91.946,17.525113,
89.036,12.637102,
86.125,11.927897,
83.215,15.997363,
80.304,18.313404,
77.393,14.064384,
74.483,15.06027,
71.572,11.401775,
68.662,4.442675,
65.751,11.507186,
62.840,8.9329802,
59.930,5.9974344,
57.019,14.458418,
54.109,10.972713,
51.198,8.9564371,
48.288,11.721688,
45.377,8.2047975,
42.466,7.986658,
39.556,9.75,
36.645,9.75,
33.735,14.423236,
30.824,18.529113,
27.914,17.827938,
25.003,18.372637,
22.092,21.333236,
19.182,27.413603,
16.271,47.698817,
13.361,148.89221,
10.450,372.54124,
7.539,929.09858,
4.629,1471.8366,
1.718,1795.1444,
-1.192,1633.4069,
-4.103,1000.8268,
-7.013,419.99233,
-9.924,-5.25,
