,PL1EBD~1,
Raman shift [1/cm],Intensity,
1069.901,3036.8234,
1066.990,3088.2332,
1064.079,3114.1103,
1061.169,3149.2197,
1058.258,3187.322,
1055.348,3219.2583,
1052.437,3241.2684,
1049.527,3210.507,
1046.616,3236.5719,
1043.705,3263.3937,
1040.795,3280.0776,
1037.884,3263.2475,
1034.974,3250.0657,
1032.063,3263.3077,
1029.153,3258.773,
1026.242,3252.7183,
1023.331,3287.4978,
1020.421,3279.1638,
1017.510,3306.1166,
1014.600,3357.0299,
1011.689,3415.5862,
1008.778,3484.2178,
1005.868,3518.4112,
1002.957,3619.933,
1000.047,3798.5721,
997.136,3908.248,
994.226,3922.4234,
991.315,3867.0545,
988.404,3786.7994,
985.494,3730.0423,
982.583,3664.944,
979.673,3656.2316,
976.762,3616.5771,
973.852,3574.7977,
970.941,3565.7987,
968.030,3580.5404,
965.120,3552.4964,
962.209,3551.6439,
959.299,3593.2867,
956.388,3598.1808,
953.477,3586.0338,
950.567,3584.8528,
947.656,3598.9645,
944.746,3655.8848,
941.835,3596.9542,
938.925,3619.3508,
936.014,3653.6748,
933.103,3667.7938,
930.193,3659.109,
927.282,3627.1169,
924.372,3583.1454,
921.461,3518.588,
918.551,3463.8059,
915.640,3419.9526,
912.729,3389.4747,
909.819,3375.8311,
906.908,3355.6129,
903.998,3419.7199,
901.087,3449.2301,
898.176,3435.9806,
895.266,3439.2093,
892.355,3501.2536,
889.445,3537.3421,
886.534,3595.1062,
883.624,3614.574,
880.713,3641.466,
877.802,3652.7309,
874.892,3617.7923,
871.981,3552.6578,
869.071,3559.3411,
866.160,3586.7185,
863.250,3602.1694,
860.339,3618.3871,
857.428,3623.517,
854.518,3547.7648,
851.607,3556.9176,
848.697,3529.6117,
845.786,3522.2086,
842.875,3525.7523,
839.965,3525.5535,
837.054,3540.1885,
834.144,3601.5161,
831.233,3582.1689,
828.323,3564.0271,
825.412,3560.8561,
822.501,3555.0318,
819.591,3530.2398,
816.680,3478.2179,
813.770,3429.1628,
810.859,3388.0966,
807.949,3364.7756,
805.038,3369.4823,
802.127,3402.4074,
799.217,3395.8099,
796.306,3335.7428,
793.396,3324.424,
790.485,3361.0229,
787.574,3311.0293,
784.664,3324.9712,
781.753,3292.6088,
778.843,3297.5537,
775.932,3332.2282,
773.022,3359.8948,
770.111,3368.8881,
767.200,3316.9694,
764.290,3331.1275,
761.379,3344.441,
758.469,3332.3834,
755.558,3338.26,
752.648,3296.7153,
749.737,3256.5133,
746.826,3231.5742,
743.916,3186.2008,
741.005,3075.8097,
738.095,2928.0481,
735.184,2744.6061,
732.274,2690.5956,
729.363,2806.4039,
726.452,3038.0578,
723.542,3174.0359,
