,PLD587~1,
Wavenumbers [1/cm],Intensity,
741.005,936.22316,
738.095,897.25307,
735.184,863.30755,
732.274,819.01936,
729.363,819.21328,
726.452,883.03357,
723.542,912.98112,
720.631,946.73564,
717.721,960.06207,
714.810,964.5284,
711.899,966.6844,
708.989,962.64978,
706.078,1012.3058,
703.168,984.54842,
700.257,974.71531,
697.347,989.79974,
694.436,961.34131,
691.525,950.89185,
688.615,968.75016,
685.704,973.28621,
682.794,962.4548,
679.883,958.625,
676.973,958.625,
674.062,971.38664,
671.151,993.52822,
668.241,1005.9541,
665.330,983.79305,
662.420,966.22095,
659.509,970.8791,
656.598,996.82974,
653.688,1017.0336,
650.777,991.13896,
647.867,976.80505,
644.956,987.86545,
642.046,1002.844,
639.135,1003.031,
636.224,970.62898,
633.314,971.42292,
630.403,991.13495,
627.493,1013.8428,
624.582,1017.1479,
621.672,965.66824,
618.761,950.70603,
615.850,971.97044,
612.940,995.69881,
610.029,999.78368,
607.119,988.72886,
604.208,980.52487,
601.297,976.12945,
598.387,978.92448,
595.476,989.84784,
592.566,992.20904,
589.655,979.6672,
586.745,976.53072,
583.834,992.38462,
580.923,1030.5444,
578.013,1017.204,
575.102,997.56453,
572.192,989.19784,
569.281,1005.0452,
566.371,1057.481,
563.460,1013.2422,
560.549,1004.3197,
557.639,1004.2711,
554.728,973.28566,
551.818,1015.4227,
548.907,1004.5144,
545.996,1004.4551,
543.086,1021.9408,
540.175,1009.4825,
537.265,1010.7978,
534.354,1009.1165,
531.444,1005.5104,
528.533,1004.1701,
525.622,1025.8966,
522.712,1036.6925,
519.801,1046.3532,
516.891,1059.8506,
513.980,1080.7566,
511.070,1037.5468,
508.159,1047.7566,
505.248,1068.8594,
502.338,1038.455,
499.427,1100.9733,
496.517,1114.2311,
493.606,1106.9141,
490.695,1098.5879,
487.785,1105.516,
484.874,1104.6863,
481.964,1109.0236,
479.053,1113.4994,
476.143,1100.444,
473.232,1103.9414,
470.321,1131.9001,
467.411,1137.8446,
464.500,1074.6722,
461.590,1116.0222,
458.679,1166.1456,
455.769,1179.0362,
452.858,1138.2273,
449.947,1134.4077,
447.037,1145.1535,
444.126,1152.625,
441.216,1157.7842,
438.305,1187.4996,
435.395,1167.3664,
432.484,1169.6281,
429.573,1184.9449,
426.663,1160.6204,
423.752,1222.0901,
420.842,1286.6166,
417.931,1302.3986,
415.020,1203.0537,
412.110,1221.5734,
409.199,1232.559,
406.289,1246.9401,
403.378,1281.6916,
400.468,1301.3475,
397.557,1264.4364,
394.646,1223.8943,
391.736,1223.7799,
388.825,1197.3818,
385.915,1180.0455,
383.004,1191.613,
380.094,1241.5866,
377.183,1240.8341,
374.272,1245.51,
371.362,1254.0399,
368.451,1264.625,
365.541,1264.625,
362.630,1274.4573,
359.719,1286.4726,
356.809,1295.1719,
353.898,1287.6839,
350.988,1305.1545,
348.077,1303.9101,
345.167,1261.5332,
342.256,1279.4628,
339.345,1267.6192,
336.435,1277.0531,
333.524,1339.5211,
330.614,1304.4987,
327.703,1299.7859,
324.793,1303.5627,
321.882,1297.6322,
318.971,1300.606,
316.061,1322.6225,
313.150,1338.8512,
310.240,1320.2983,
307.329,1344.6373,
304.418,1341.4024,
301.508,1310.4619,
298.597,1253.4498,
295.687,1252.6884,
292.776,1273.7918,
289.866,1309.188,
286.955,1349.8179,
284.044,1336.0175,
281.134,1340.5474,
278.223,1368.1639,
275.313,1371.8482,
272.402,1377.2722,
269.492,1393.2991,
266.581,1423.6204,
263.670,1465.5257,
260.760,1457.2521,
257.849,1449.1467,
254.939,1479.2359,
252.028,1457.9097,
249.117,1448.7113,
246.207,1448.5721,
243.296,1452.2322,
240.386,1435.6472,
237.475,1418.5571,
234.565,1404.2446,
231.654,1395.48,
228.743,1366.5827,
225.833,1345.4054,
222.922,1342.1494,
220.012,1331.9496,
217.101,1323.7178,
214.191,1321.9034,
211.280,1332.8153,
208.369,1327.5697,
205.459,1301.0692,
202.548,1260.4857,
199.638,1230.7341,
196.727,1304.1428,
193.816,1342.1555,
190.906,1294.3203,
187.995,1285.632,
185.085,1304.3764,
182.174,1325.295,
179.264,1313.008,
