,PL1CEB~1,
Wavenumbers [1/cm],Intensity,
697.347,951.89263,
694.436,906.74004,
691.525,915.5819,
688.615,949.57447,
685.704,949.50548,
682.794,933.15948,
679.883,961.35583,
676.973,958.15034,
674.062,966.43315,
671.151,970.18501,
668.241,964.44978,
665.330,951.15966,
662.420,943.97107,
659.509,959.00821,
656.598,970.66375,
653.688,972.11974,
650.777,967.527,
647.867,968.32333,
644.956,961.68935,
642.046,956.6708,
639.135,960.94984,
636.224,981.42042,
633.314,965.54166,
630.403,956.77031,
627.493,964.25409,
624.582,980.97029,
621.672,978.5943,
618.761,946.58255,
615.850,953.02963,
612.940,959.32777,
610.029,945.63152,
607.119,946.42115,
604.208,967.09039,
601.297,978.98962,
598.387,979.63368,
595.476,974.57982,
592.566,996.61773,
589.655,976.52807,
586.745,963.5,
583.834,976.01629,
580.923,1020.3057,
578.013,988.13161,
575.102,995.56047,
572.192,995.35233,
569.281,980.52998,
566.371,1019.6612,
563.460,998.80861,
560.549,1011.8894,
557.639,1021.1919,
554.728,980.8796,
551.818,1002.7284,
548.907,1000.187,
545.996,999.3879,
543.086,1007.0099,
540.175,1014.0177,
537.265,1016.6728,
534.354,1006.9645,
531.444,988.97624,
528.533,970.38292,
525.622,982.79807,
522.712,980.64597,
519.801,986.66512,
516.891,1012.2988,
513.980,1065.7253,
511.070,1038.8044,
508.159,1028.3654,
505.248,1038.5101,
502.338,1059.2515,
499.427,1050.7613,
496.517,1065.4697,
493.606,1076.481,
490.695,1073.5698,
487.785,1081.2678,
484.874,1103.8254,
481.964,1116.7458,
479.053,1115.926,
476.143,1105.1745,
473.232,1098.7448,
470.321,1093.5805,
467.411,1072.5185,
464.500,1020.7218,
461.590,1068.9634,
458.679,1116.6183,
455.769,1136.3083,
452.858,1115.2391,
449.947,1083.9179,
447.037,1104.8042,
444.126,1119.5424,
441.216,1117.9395,
438.305,1137.7497,
435.395,1132.6324,
432.484,1131.0005,
429.573,1129.5299,
426.663,1108.246,
423.752,1103.7103,
420.842,1124.4209,
417.931,1152.6547,
415.020,1160.2383,
412.110,1162.6948,
409.199,1151.2751,
406.289,1137.2701,
403.378,1133.7228,
400.468,1199.4944,
397.557,1182.9671,
394.646,1151.2708,
391.736,1161.8139,
388.825,1171.6189,
385.915,1144.6972,
383.004,1142.2001,
380.094,1200.6554,
377.183,1184.101,
374.272,1188.1845,
371.362,1194.3227,
368.451,1192.1383,
365.541,1202.6458,
362.630,1205.5,
359.719,1201.3565,
356.809,1190.6391,
353.898,1176.412,
350.988,1205.5917,
