,PLF12D~1,
Wavenumbers [1/cm],Intensity,
941.835,2005.4355,
938.925,1986.3102,
936.014,1988.669,
933.103,1996.2912,
930.193,1981.0036,
927.282,1966.9377,
924.372,1928.8854,
921.461,1896.7532,
918.551,1869.572,
915.640,1847.2263,
912.729,1829.9747,
909.819,1820.6681,
906.908,1833.3044,
903.998,1828.4325,
901.087,1827.6365,
898.176,1829.4316,
895.266,1850.6787,
892.355,1897.0836,
889.445,1918.9045,
886.534,1853.88,
883.624,1894.1537,
880.713,1932.2485,
877.802,1913.7769,
874.892,1825.5622,
871.981,1686.5129,
869.071,1708.2337,
866.160,1727.8691,
863.250,1811.0094,
860.339,1896.4668,
857.428,1922.9391,
854.518,1908.8927,
851.607,1870.6175,
848.697,1822.0432,
845.786,1804.0379,
842.875,1831.2161,
839.965,1882.8739,
837.054,1896.1861,
834.144,1912.7611,
831.233,1939.3316,
828.323,1946.0543,
825.412,1944.8636,
822.501,1945.1062,
819.591,1901.307,
816.680,1922.4359,
813.770,1884.7713,
810.859,1877.0496,
807.949,1892.9366,
805.038,1876.4027,
802.127,1871.4639,
799.217,1847.1475,
796.306,1825.3783,
793.396,1805.2671,
790.485,1788.3154,
787.574,1783.0587,
784.664,1810.9425,
781.753,1777.0829,
778.843,1779.0735,
775.932,1794.8273,
773.022,1789.4954,
770.111,1844.2732,
767.200,1823.638,
764.290,1803.2867,
761.379,1816.8443,
758.469,1846.5591,
755.558,1825.3436,
752.648,1803.3493,
749.737,1824.4588,
746.826,1840.3311,
743.916,1832.9479,
741.005,1808.3756,
738.095,1820.5537,
735.184,1746.9187,
732.274,1703.8526,
729.363,1691.3275,
726.452,1707.3951,
723.542,1803.7129,
720.631,1765.4213,
717.721,1746.2715,
714.810,1754.9431,
711.899,1774.6832,
708.989,1769.0347,
706.078,1780.2182,
703.168,1762.3545,
700.257,1765.9155,
697.347,1783.6963,
694.436,1760.6072,
691.525,1746.1387,
688.615,1729.7929,
685.704,1739.2677,
682.794,1766.2127,
679.883,1780.7209,
676.973,1796.7483,
674.062,1789.7907,
671.151,1796.2732,
668.241,1799.1346,
665.330,1758.4916,
662.420,1768.8751,
659.509,1790.0479,
656.598,1812.6842,
653.688,1830.0704,
650.777,1835.1098,
647.867,1779.3669,
644.956,1750.9021,
642.046,1723.1723,
639.135,1703.8691,
636.224,1726.1273,
633.314,1751.5334,
630.403,1781.0572,
627.493,1806.6019,
624.582,1816.8794,
621.672,1793.9116,
618.761,1814.2783,
615.850,1820.449,
612.940,1820.3415,
610.029,1825.8663,
607.119,1855.0827,
604.208,1843.7997,
601.297,1830.5222,
598.387,1836.7583,
595.476,1868.8459,
592.566,1846.0209,
589.655,1847.831,
586.745,1837.9809,
583.834,1835.273,
580.923,1885.8815,
578.013,1866.2632,
575.102,1866.7359,
572.192,1864.9262,
569.281,1859.4834,
566.371,1890.0057,
563.460,1895.8219,
560.549,1877.9961,
557.639,1853.9716,
554.728,1845.365,
551.818,1882.8202,
548.907,1866.0141,
545.996,1867.4955,
543.086,1893.8257,
540.175,1888.3751,
537.265,1890.1728,
534.354,1903.5423,
531.444,1912.3774,
528.533,1903.2207,
525.622,1906.3245,
522.712,1893.6514,
519.801,1899.5114,
516.891,1933.0163,
513.980,1982.5713,
511.070,1971.5044,
508.159,1984.1027,
505.248,1999.492,
502.338,1984.8977,
499.427,2049.7316,
496.517,2074.3535,
493.606,2086.3933,
490.695,2098.4651,
487.785,2094.6161,
484.874,2075.9057,
481.964,2076.382,
479.053,2099.2736,
476.143,2133.8319,
473.232,2103.6268,
470.321,2089.5403,
467.411,2091.2924,
464.500,2101.2327,
461.590,2110.4216,
458.679,2136.1124,
455.769,2155,
452.858,2155.7158,
449.947,2162.5912,
447.037,2182.8096,
444.126,2174.6667,
441.216,2149.3925,
438.305,2203.4896,
435.395,2224.7684,
432.484,2237.4178,
429.573,2244.1125,
426.663,2240.3118,
423.752,2075.4091,
420.842,1953.3079,
417.931,1892.1381,
415.020,1889.1047,
412.110,2078.4878,
409.199,2228.6845,
406.289,2299.7171,
403.378,2259.1229,
400.468,2295.4107,
397.557,2276.6652,
394.646,2284.0923,
391.736,2380.9376,
388.825,2347.7514,
385.915,2368.335,
383.004,2395.2855,
380.094,2395.6929,
377.183,2389.6731,
374.272,2398.8556,
371.362,2411.5319,
368.451,2420.9574,
365.541,2436.7187,
362.630,2455.2023,
359.719,2446.2823,
356.809,2398.9483,
353.898,2431.1466,
350.988,2453.0197,
348.077,2450.9316,
345.167,2420.665,
342.256,2453.536,
339.345,2444.9313,
336.435,2437.3278,
333.524,2459.4228,
330.614,2472.8356,
327.703,2488.8083,
324.793,2513.1474,
321.882,2550.9225,
318.971,2518.9544,
316.061,2511.9065,
313.150,2531.0119,
310.240,2579.2494,
307.329,2602.4391,
304.418,2608.2643,
301.508,2597.9107,
298.597,2571.2557,
295.687,2577.1269,
292.776,2609.3335,
289.866,2660.6768,
286.955,2716.0812,
284.044,2709.4525,
281.134,2727.2904,
278.223,2776.0957,
275.313,2804.0962,
272.402,2791.4111,
269.492,2784.3371,
266.581,2800.7326,
263.670,2838.962,
260.760,2866.1939,
257.849,2899.2205,
254.939,2951.3262,
252.028,2957.0669,
249.117,2972.7048,
